100 291
0 1 56
0 2 78
0 3 26
0 4 64
0 5 9
0 6 47
0 7 47
0 8 92
0 9 33
0 10 51
0 13 50
0 15 84
0 16 18
0 18 72
0 24 40
0 25 45
0 27 2
0 32 44
0 33 4
0 34 16
0 36 53
0 40 41
0 44 22
0 46 55
0 53 35
0 55 94
0 59 69
0 60 41
0 62 60
0 64 18
0 68 64
0 69 7
0 74 17
0 79 21
0 90 38
0 91 26
0 92 88
1 12 31
1 49 73
1 58 85
1 75 21
1 86 62
1 89 16
2 4 45
2 5 18
2 7 63
2 9 34
2 10 73
2 11 95
2 13 10
2 14 61
2 16 64
2 17 26
2 18 4
2 19 95
2 20 95
2 21 26
2 22 70
2 25 79
2 29 2
2 31 35
2 34 45
2 43 39
2 50 100
2 54 16
2 61 73
2 63 68
2 70 67
2 73 20
2 79 77
2 80 11
3 4 44
3 6 91
3 7 80
3 24 92
3 35 59
3 38 73
3 48 23
3 70 59
3 78 80
4 5 23
4 8 67
4 9 60
4 10 9
4 12 55
4 14 69
4 19 40
4 21 37
4 23 3
4 24 49
4 33 6
4 51 73
4 67 27
4 73 52
4 74 81
4 77 73
4 83 64
4 89 86
4 97 5
5 6 47
5 11 4
5 20 14
5 28 20
5 30 65
5 33 70
5 45 46
5 51 45
5 87 35
5 88 19
6 12 42
6 66 40
7 8 37
7 11 59
7 15 30
7 32 44
7 54 6
8 15 10
8 16 14
8 45 95
8 90 99
9 22 9
9 29 56
9 30 100
9 37 49
9 40 47
9 50 46
9 52 70
9 64 15
9 77 68
10 28 80
10 45 54
10 47 49
10 71 36
11 13 9
11 58 98
11 65 14
12 14 46
12 17 70
12 28 68
12 39 72
12 78 92
13 20 75
13 47 86
13 64 82
13 68 70
13 94 83
14 27 28
14 37 70
14 41 4
14 82 28
14 87 26
14 94 8
15 17 62
15 18 98
15 19 86
15 23 38
15 27 68
15 36 64
15 42 59
15 43 61
15 52 51
16 22 6
16 32 10
16 41 16
16 46 47
16 48 45
16 74 51
16 90 78
16 96 78
17 21 41
17 26 65
17 30 21
17 42 35
17 59 6
17 86 93
18 26 20
18 73 7
18 83 44
19 25 17
19 35 55
19 56 99
19 57 31
19 76 29
20 47 44
20 49 35
20 60 69
20 71 68
21 23 34
21 35 30
21 52 8
21 88 90
21 96 56
22 26 70
22 31 18
22 38 59
22 44 21
22 48 51
22 55 73
22 56 53
22 70 47
22 78 48
22 80 89
22 81 76
22 99 26
23 95 14
24 29 15
24 31 52
24 34 53
24 37 48
24 44 15
24 46 19
24 62 33
24 66 63
24 76 55
24 84 17
24 93 30
25 38 49
25 40 23
25 50 17
25 53 54
25 55 11
25 60 37
25 66 25
25 71 76
25 81 57
25 99 86
26 42 39
26 61 81
26 67 3
27 41 76
27 63 30
27 72 2
27 93 71
28 36 28
29 39 69
29 59 48
29 62 50
29 65 63
29 85 5
29 94 48
30 92 17
33 51 13
33 86 59
34 97 24
35 97 56
36 75 22
36 79 34
37 81 27
38 39 75
38 77 68
39 89 82
40 43 94
40 67 12
41 76 67
42 57 40
43 49 36
43 54 67
43 56 27
43 84 11
43 88 29
43 91 86
43 93 84
43 95 34
43 98 44
44 58 52
44 72 63
45 63 8
45 84 35
45 92 33
46 53 54
47 65 49
47 69 84
48 82 97
49 69 89
49 87 6
50 99 21
52 57 40
52 68 71
52 83 57
54 61 42
55 85 39
62 91 8
63 82 92
67 98 3
68 72 5
70 85 59
70 98 70
73 75 80
79 80 94
87 96 71
90 95 41
