Tempo,Ocupacao,NumeroMedioRequisicoes,TempoMedioEspera,TamanhoFila
10,0.539337,0.249732,3.644798,3
20,0.639333,4.011829,4.204648,11
30,0.752571,7.059207,5.814223,22
40,0.839998,10.681811,8.185208,22
50,0.850200,12.517185,10.110722,22
60,0.893453,13.248327,10.718261,8
70,0.921774,12.675787,11.866319,12
80,0.907921,12.359470,12.693694,10
90,0.902031,11.299795,11.391532,2
100,0.916342,10.580229,7.771095,4
110,0.908650,10.035917,11.176828,5
120,0.919509,9.818487,9.574203,9
130,0.923550,9.698623,7.384469,9
140,0.931854,9.914424,9.393262,17
150,0.934328,10.436570,9.732955,22
160,0.942875,11.248205,9.773646,19
170,0.951181,11.697948,11.354112,19
180,0.946522,12.087475,12.312301,19
190,0.947906,12.334452,12.392541,16
200,0.949864,12.737721,12.375431,23
210,0.952397,12.959639,11.725074,16
220,0.957524,13.198902,11.360755,15
230,0.960230,13.231627,12.281834,17
240,0.959526,13.448166,12.910143,20
250,0.963360,13.662269,11.992148,13
260,0.962022,13.700615,13.244970,13
270,0.963199,13.695238,11.924171,11
280,0.964894,13.589063,13.495809,13
290,0.975659,13.441041,12.961574,6
300,0.973742,13.260417,12.739623,7
310,0.968851,13.102297,20.001532,12
320,0.970811,13.118274,12.360934,15
330,0.971048,13.042088,11.369463,10
340,0.964453,12.875714,9.660251,0
350,0.962275,12.567515,15.226039,7
360,0.963273,12.422915,12.150543,7
370,0.962425,12.339094,15.257703,13
380,0.963966,12.244474,12.529027,12
390,0.966606,12.139403,10.746595,5
400,0.970178,11.975032,10.285986,2
410,0.969579,11.784336,9.856365,4
420,0.966769,11.689918,11.376742,10
430,0.968908,11.720042,10.005309,19
440,0.970567,11.932240,11.795716,20
450,0.974128,12.115760,12.378734,21
460,0.969926,12.305880,10.259221,19
470,0.970700,12.438844,10.872363,20
480,0.976148,12.548872,13.830451,15
490,0.971676,12.666897,13.614356,25
500,0.972455,12.995382,12.223331,27
510,0.972837,13.227647,10.778871,26
520,0.973954,13.514938,12.912058,24
530,0.973629,13.656628,12.929451,15
540,0.975024,13.620463,12.504350,9
550,0.984362,13.507666,12.633459,3
560,0.975469,13.420763,12.369722,8
570,0.976635,13.365209,12.975272,14
580,0.978160,13.336154,12.663825,9
590,0.976526,13.213165,13.563660,5
600,0.977337,13.111291,13.988207,9
610,0.977109,13.019181,9.549779,2
620,0.975840,12.837338,15.582433,6
630,0.974692,12.717630,15.071055,7
640,0.976991,12.704297,11.643356,13
650,0.980465,12.735478,11.320337,15
660,0.975810,12.816991,12.009207,18
670,0.978253,12.851468,9.812931,9
680,0.976745,12.819120,11.484156,8
690,0.977416,12.791272,16.093987,19
700,0.981109,12.864068,12.344404,15
710,0.978385,12.926036,10.872171,19
720,0.980472,13.018300,13.358503,23
730,0.982980,13.151631,13.160642,24
