Tempo,Ocupacao,NumeroMedioRequisicoes,TempoMedioEspera,TamanhoFila
10,0.308010,0.188505,1.568956,1
20,0.279097,0.315902,0.382533,0
30,0.291611,0.345765,-0.744812,0
40,0.422319,0.671915,-0.222225,2
50,0.551432,1.545000,0.924488,3
60,0.584483,1.480094,2.813768,3
70,0.642821,1.718531,-0.377743,3
80,0.662847,1.817206,1.847237,0
90,0.665587,1.690527,4.700198,3
100,0.688478,1.801008,-0.416069,2
110,0.686321,1.766842,2.985646,2
120,0.712545,1.926982,5.480330,5
130,0.735979,2.131560,2.374990,7
140,0.765805,2.433283,1.342438,4
150,0.749165,2.508412,2.363566,0
160,0.760693,2.512025,0.899331,3
170,0.790650,2.477253,3.484852,3
180,0.763951,2.550581,2.716636,0
190,0.765019,2.480504,1.845033,1
200,0.774432,2.431255,3.797584,7
210,0.787817,2.564518,4.816853,6
220,0.791898,2.699855,3.470620,3
230,0.771755,2.628921,2.288397,0
240,0.745328,2.523778,4.984950,1
250,0.755363,2.515797,4.013190,4
260,0.765591,2.633635,2.551636,7
270,0.772357,2.706163,3.682999,5
280,0.788691,2.801803,3.476641,3
290,0.788194,2.827866,5.495531,4
300,0.793119,2.838787,4.155618,1
310,0.803365,2.878928,0.941262,5
320,0.804913,2.935916,2.404380,2
330,0.811025,2.890961,4.497448,2
340,0.800847,2.831539,3.891813,2
350,0.808137,2.843352,4.205936,8
360,0.810961,2.983706,3.478083,5
370,0.819968,3.030838,5.979619,9
380,0.826958,3.142772,4.128991,4
390,0.827622,3.177637,4.050771,6
400,0.829837,3.263318,4.203060,7
410,0.841393,3.339992,4.446967,7
420,0.838727,3.427484,4.677485,5
430,0.842115,3.502505,5.747113,10
440,0.847238,3.624572,2.150244,6
450,0.848247,3.586109,4.841018,3
460,0.849698,3.612312,5.905631,6
470,0.852823,3.699768,5.143748,9
480,0.862877,3.830257,5.309977,16
490,0.860181,4.162365,7.060991,21
500,0.866652,4.454173,5.391430,15
510,0.864726,4.616744,6.058354,11
520,0.866236,4.758972,7.778108,11
530,0.872560,4.827163,4.685306,12
540,0.875266,5.045446,9.085762,17
550,0.874013,5.357984,6.735782,23
560,0.876896,5.644584,8.749893,22
570,0.879555,5.837636,5.510171,9
580,0.883536,5.893379,6.012001,8
590,0.883777,5.956019,9.259846,12
600,0.884064,6.057953,6.875090,10
610,0.886198,6.052019,9.016670,7
620,0.885179,6.007647,6.262758,0
630,0.887904,5.948137,7.770198,4
640,0.884374,5.906398,2.806198,0
650,0.886185,5.868518,8.215879,8
660,0.889395,5.857050,6.527460,5
670,0.887678,5.823612,7.485478,1
680,0.877519,5.744305,6.613025,0
690,0.876531,5.692919,6.231453,1
700,0.878790,5.647135,5.573221,2
710,0.881292,5.630606,8.637301,11
720,0.882909,5.685374,6.924651,9
730,0.883992,5.762942,6.826954,11
740,0.885058,5.778296,5.542254,3
750,0.887200,5.760876,8.192769,10
