Tempo(s),Fila,E[N],E[W]
10,0,0.000000,0.000000
20,1,0.052627,1.052549
30,2,0.387280,5.809201
40,5,1.128126,9.025010
50,6,1.988521,16.571009
60,6,2.680221,22.973326
70,6,3.166999,27.711237
80,6,3.521124,35.211237
90,5,3.650816,36.508157
100,5,3.759093,37.590926
110,4,3.799183,41.791010
120,4,3.813837,41.605493
130,3,3.816365,41.343957
140,2,3.701773,43.187347
150,1,3.559397,41.069961
160,3,3.447027,34.470272
170,4,3.441940,34.419401
180,2,3.442789,36.453058
190,3,3.418742,36.086722
200,3,3.397805,37.753389
210,4,3.392672,37.497959
220,6,3.447238,36.113919
230,7,3.601851,36.018508
240,8,3.760548,37.605485
250,8,3.930127,40.938818
260,7,4.084722,44.251154
270,6,4.169707,46.909200
280,6,4.235074,49.409200
290,6,4.295934,51.909200
300,7,4.361634,52.339614
310,7,4.452472,53.087167
320,6,4.529972,55.753497
330,6,4.581517,53.996455
340,6,4.623237,56.139312
350,3,4.599499,57.493732
360,1,4.524759,58.175467
370,0,4.408985,58.261584
380,1,4.299362,56.336466
390,1,4.214763,56.681293
400,1,4.135959,53.367219
410,4,4.089958,49.320078
420,4,4.087816,50.496549
430,4,4.071443,50.020586
440,7,4.107673,47.562533
450,4,4.156567,49.222509
460,3,4.119852,48.593120
470,2,4.077216,49.135681
480,1,4.022291,49.505116
490,4,4.008315,46.763680
500,4,4.008149,47.716061
510,3,3.996269,48.526122
520,4,3.982869,48.164930
530,6,4.015602,46.266722
540,8,4.062682,45.705175
550,8,4.121430,46.260948
560,8,4.190850,46.937517
570,8,4.245211,47.446473
580,6,4.300908,48.912287
590,5,4.328549,50.075371
600,3,4.324702,50.878848
610,5,4.321828,49.741799
620,5,4.320423,49.604860
630,3,4.331134,49.611174
640,1,4.302855,50.069589
650,0,4.244981,49.272102
660,0,4.182037,48.423583
670,0,4.119618,48.423583
680,0,4.065279,47.661891
690,0,4.018569,46.996823
700,0,3.961161,46.996823
710,2,3.927894,45.718106
720,2,3.905597,44.635395
730,1,3.874912,44.899772
740,2,3.843806,44.444010
750,0,3.804604,43.899282
760,0,3.754544,43.899282
770,0,3.705784,43.899282
780,0,3.658274,43.899282
790,1,3.621969,43.353874
800,1,3.589195,43.505390
810,1,3.557229,43.656905
820,1,3.526044,43.808420
830,2,3.505578,43.427313
840,1,3.487404,43.722682
850,3,3.479419,42.862405
860,4,3.481886,41.019474
870,3,3.486925,41.556508
880,3,3.484602,41.438505
890,4,3.490380,41.419171
900,4,3.496042,41.952504
910,3,3.498160,41.885858
920,1,3.484126,42.176256
930,1,3.452255,41.696072
940,0,3.419300,41.742109
950,0,3.383308,41.742109
960,0,3.348065,41.742109
970,0,3.313549,41.742109
980,1,3.286610,40.770608
990,1,3.263513,40.897191
1000,2,3.244911,40.561393
1010,1,3.232587,40.307569
1020,0,3.209147,40.411476
1030,1,3.184820,40.004446
1040,0,3.157854,40.050827
1050,0,3.131683,39.617671
1060,0,3.102138,39.617671
1070,1,3.077473,38.739952
1080,2,3.061082,38.441498
1090,2,3.051348,38.674056
1100,1,3.042271,38.465499
1110,1,3.027086,38.182561
1120,1,3.006576,37.835564
1130,2,2.985025,37.066798
1140,2,2.981692,36.947050
1150,2,2.967281,36.692191
1160,1,2.953760,36.842603
1170,2,2.940625,36.601393
1180,0,2.925985,36.730450
1190,0,2.901397,36.730450
1200,0,2.877219,36.730450
1210,0,2.853440,36.730450
1220,0,2.830051,36.730450
1230,0,2.807043,36.730450
1240,1,2.789798,36.414210
1250,2,2.780341,35.829139
1260,1,2.767220,35.945337
1270,2,2.753650,35.685056
1280,0,2.740582,35.795358
1290,1,2.725564,35.514924
1300,0,2.706705,35.542587
1310,0,2.686043,35.542587
1320,0,2.665694,35.542587
1330,0,2.645651,35.542587
1340,1,2.627171,35.204097
1350,2,2.615270,34.956580
1360,3,2.613207,34.842758
1370,3,2.616030,35.136875
1380,3,2.617137,35.064552
1390,5,2.627123,34.778101
1400,5,2.638456,34.521859
1410,4,2.649553,34.914671
1420,2,2.655204,34.911010
1430,4,2.659358,34.571660
1440,4,2.668668,34.935296
1450,4,2.677850,35.298932
1460,3,2.686591,35.658388
1470,4,2.692030,35.651203
1480,4,2.700867,36.011563
1490,5,2.715256,36.122606
1500,5,2.730329,36.243306
1510,4,2.743588,36.662106
1520,3,2.749091,36.978926
1530,3,2.750731,37.244413
1540,4,2.754252,36.883033
1550,5,2.767343,36.661386
1560,5,2.776813,36.401912
1570,2,2.776089,36.625708
1580,0,2.762169,36.674176
1590,1,2.745048,36.371891
1600,1,2.734142,36.455224
1610,1,2.725373,36.263223
1620,0,2.710147,36.284613
1630,0,2.693520,36.284613
1640,1,2.680722,36.035939
1650,2,2.676362,35.902412
1660,2,2.677058,35.838034
1670,1,2.672846,35.997203
1680,0,2.661690,36.061607
1690,2,2.652313,35.574676
1700,3,2.653176,35.514961
1710,6,2.661782,34.745392
1720,7,2.686579,35.006938
1730,6,2.711646,35.271784
1740,7,2.734473,35.507337
1750,8,2.761532,35.797643
1760,6,2.787355,36.338848
1770,2,2.798104,36.686257
1780,0,2.785323,36.454961
1790,1,2.770998,36.205009
1800,0,2.759110,36.251076
1810,0,2.751998,35.835371
1820,2,2.740901,35.379006
1830,1,2.733439,35.226716
1840,1,2.724018,35.297139
1850,1,2.714699,35.367561
1860,0,2.704282,35.174575
1870,0,2.689820,35.174575
1880,0,2.675513,35.174575
1890,2,2.668464,34.782043
1900,2,2.664945,34.919974
1910,2,2.663438,34.843600
1920,4,2.665622,34.348961
1930,3,2.669759,34.581438
1940,3,2.672133,34.330718
1950,4,2.680001,34.156877
1960,2,2.686119,34.186968
1970,3,2.684433,34.118273
1980,3,2.686329,34.095712
1990,4,2.695348,33.947743
2000,4,2.701909,33.986275
2010,3,2.707512,34.227041
2020,1,2.707156,34.392800
2030,0,2.696535,34.427465
2040,1,2.683829,34.218825
2050,0,2.674811,34.271015
2060,0,2.661826,34.271015
2070,0,2.648967,34.271015
2080,1,2.638568,34.088337
2090,1,2.630728,34.150448
2100,1,2.622963,34.212560
2110,0,2.614982,34.059332
2120,0,2.602913,33.853843
2130,2,2.593702,33.482339
2140,2,2.590826,33.399802
2150,2,2.584817,33.277585
2160,0,2.576275,33.321886
2170,0,2.564403,33.321886
2180,0,2.554642,33.149521
2190,0,2.542977,33.149521
2200,0,2.531418,33.149521
2210,1,2.522588,32.793647
2220,1,2.515699,32.659950
2230,3,2.512145,32.381981
2240,3,2.512855,32.349399
2250,1,2.508234,32.434061
2260,0,2.500304,32.289638
2270,0,2.489289,32.289638
2280,2,2.483165,31.986531
2290,1,2.476802,31.864469
2300,0,2.466700,31.873086
2310,1,2.459019,31.733704
2320,0,2.451706,31.776297
2330,0,2.441183,31.776297
2340,0,2.430751,31.776297
2350,2,2.425313,31.488868
2360,3,2.426874,31.469351
2370,2,2.431246,31.486626
2380,2,2.429434,31.595915
2390,0,2.421564,31.625888
2400,0,2.412048,31.461499
2410,0,2.402040,31.461499
2420,0,2.392114,31.461499
2430,1,2.384657,31.322798
2440,1,2.376495,31.175522
2450,0,2.368704,31.033827
2460,1,2.361488,30.900327
2470,1,2.355976,30.953518
2480,3,2.354983,30.577788
2490,2,2.357903,30.579051
2500,2,2.356471,30.683218
2510,1,2.355327,30.631458
2520,1,2.349188,30.050523
2530,1,2.345201,29.966454
2540,1,2.337584,29.836498
2550,0,2.330449,29.862543
2560,1,2.323992,29.599108
2570,2,2.319386,29.363658
2580,2,2.318981,29.185227
2590,4,2.319247,28.879088
2600,4,2.325712,29.071396
2610,3,2.328889,29.223082
2620,4,2.333344,29.250536
2630,3,2.335783,29.252895
2640,3,2.338298,29.395752
2650,4,2.342408,29.418865
2660,4,2.350879,29.496874
2670,4,2.357055,29.685553
2680,3,2.360192,29.836384
2690,2,2.360868,29.956296
2700,0,2.354042,29.980726
2710,0,2.345356,29.980726
2720,1,2.338902,29.728100
2730,1,2.333934,29.635538
2740,1,2.329066,29.682050
2750,3,2.325066,29.329959
2760,3,2.329038,29.352262
2770,2,2.328677,29.454041
2780,0,2.323809,29.364490
2790,0,2.315479,29.364490
2800,0,2.307373,29.233680
2810,0,2.299161,29.233680
2820,0,2.291008,29.233680
2830,0,2.284303,29.119718
2840,0,2.276260,29.119718
2850,0,2.268273,29.119718
2860,1,2.261924,29.009427
2870,1,2.257527,29.054270
2880,0,2.249699,29.054403
2890,0,2.241914,29.054403
2900,0,2.234183,29.054403
2910,0,2.227043,28.931681
2920,1,2.220315,28.814750
2930,2,2.217596,28.750248
2940,0,2.212771,28.785609
2950,0,2.207630,28.563630
2960,0,2.200171,28.563630
2970,0,2.193279,28.445582
2980,1,2.188110,28.350294
2990,1,2.184136,28.393772
3000,1,2.180189,28.437251
3010,0,2.174081,28.328940
3020,1,2.167006,28.208435
3030,1,2.160950,28.101625
3040,1,2.157131,28.144544
3050,1,2.153337,28.187462
3060,1,2.149572,28.109783
3070,0,2.145010,28.141795
3080,0,2.138045,28.141795
3090,0,2.131580,28.028011
3100,2,2.127220,27.824401
3110,0,2.125259,27.771239
3120,0,2.118609,27.541911
3130,0,2.111840,27.541911
3140,1,2.107609,27.460131
3150,0,2.102563,27.481636
3160,0,2.096766,27.379256
3170,0,2.090151,27.379256
3180,0,2.083579,27.379256
3190,1,2.077228,27.268962
3200,4,2.080514,27.063596
3210,6,2.089910,27.050849
3220,5,2.099310,27.257174
3230,4,2.106123,27.430558
3240,4,2.111969,27.591848
3250,6,2.122560,27.483350
3260,6,2.134454,27.722394
3270,5,2.144020,27.932053
3280,5,2.152727,28.131256
3290,6,2.163228,28.242148
3300,8,2.179815,28.320436
3310,10,2.199243,28.435519
3320,9,2.222709,28.602307
3330,9,2.241941,28.824956
3340,9,2.260415,29.037643
3350,12,2.284880,29.103981
3360,13,2.313908,29.228310
3370,12,2.343511,29.690347
3380,11,2.370980,30.014654
3390,12,2.398257,30.223384
3400,13,2.427717,30.458440
3410,9,2.455841,30.901909
3420,8,2.474483,31.227792
3430,9,2.492804,31.319840
3440,9,2.511720,31.649510
3450,9,2.530526,31.979181
3460,7,2.545075,32.256266
3470,6,2.555730,32.484916
3480,4,2.561488,32.651931
3490,4,2.565609,32.798451
3500,3,2.567765,32.920063
3510,6,2.571872,32.707504
3520,7,2.583714,32.832754
3530,7,2.595988,32.963446
3540,7,2.609224,32.988047
3550,7,2.621592,33.238047
3560,7,2.634056,33.370958
3570,7,2.646285,33.620068
3580,7,2.658447,33.869178
3590,6,2.668589,33.972457
3600,5,2.676880,34.052188
3610,1,2.676556,34.142638
3620,0,2.670578,34.160749
3630,0,2.664741,34.059890
3640,0,2.657420,34.059890
3650,0,2.650139,34.059890
3660,0,2.642899,34.059890
3670,1,2.636438,33.949925
3680,0,2.630985,33.972018
3690,3,2.625732,33.642187
3700,2,2.624852,33.605374
3710,1,2.619891,33.401362
3720,3,2.617924,33.237803
3730,1,2.615355,33.181205
3740,1,2.610832,33.100034
3750,2,2.607013,33.028040
3760,0,2.601614,32.936264
3770,3,2.598816,32.549960
3780,2,2.599311,32.642510
3790,2,2.598299,32.607786
3800,3,2.598123,32.583723
3810,2,2.598426,32.565803
3820,2,2.596860,32.631592
3830,1,2.595257,32.696823
3840,0,2.590090,32.716921
3850,0,2.583362,32.716921
3860,0,2.577768,32.623559
3870,0,2.571107,32.623559
3880,0,2.564481,32.623559
3890,1,2.558336,32.522639
3900,3,2.558680,32.294024
3910,3,2.558179,32.266068
3920,4,2.560458,32.169851
3930,3,2.563812,32.294168
3940,2,2.563687,32.271335
3950,1,2.561719,32.328407
3960,1,2.558889,32.271344
3970,1,2.554963,32.303191
3980,0,2.549662,32.317376
3990,0,2.543272,32.317376
4000,0,2.536914,32.317376
4010,2,2.532216,32.133506
4020,2,2.529477,32.077280
4030,1,2.527632,32.133622
4040,0,2.522973,32.052866
4050,1,2.516873,31.954028
4060,3,2.514990,31.710748
4070,2,2.515495,31.795236
4080,3,2.514697,31.764592
4090,3,2.516495,31.766868
4100,2,2.516647,31.846461
4110,2,2.515390,31.908189
4120,2,2.514459,31.875604
4130,2,2.514290,31.852819
4140,2,2.513889,31.827224
4150,5,2.517556,31.660169
4160,6,2.524173,31.723750
4170,3,2.529390,31.865731
4180,2,2.528130,31.830066
4190,2,2.526869,31.890307
4200,0,2.524742,31.939504
4210,0,2.518745,31.939504
4220,1,2.514339,31.767993
4230,2,2.510808,31.703634
4240,2,2.507760,31.645547
4250,3,2.507761,31.626065
4260,4,2.508977,31.622012
4270,1,2.510226,31.712025
4280,0,2.507040,31.652299
4290,0,2.501196,31.652299
4300,0,2.495569,31.561606
4310,1,2.491238,31.487500
4320,0,2.486852,31.504981
4330,1,2.481996,31.424107
4340,2,2.479055,31.367629
4350,1,2.475939,31.400394
4360,1,2.472554,31.429549
4370,1,2.469184,31.458703
4380,0,2.465637,31.393863
4390,0,2.460020,31.393863
4400,0,2.454793,31.307507
4410,1,2.450129,31.228520
4420,2,2.448375,31.186794
4430,2,2.447810,31.160340
4440,1,2.444837,31.192751
4450,3,2.444855,30.996019
4460,4,2.447069,30.917643
4470,5,2.452361,30.966255
4480,3,2.456002,31.081605
4490,2,2.455364,31.142895
4500,1,2.452462,31.175362
4510,2,2.450246,31.128472
4520,4,2.449975,30.932645
4530,3,2.451535,30.934410
4540,5,2.453721,30.858434
4550,2,2.454327,30.934033
4560,0,2.450958,30.959470
4570,0,2.445595,30.959470
4580,0,2.440255,30.959470
4590,1,2.435212,30.877408
4600,1,2.433846,30.842127
4610,0,2.428571,30.842184
4620,1,2.424262,30.769477
4630,1,2.421186,30.796950
4640,1,2.418123,30.824422
4650,1,2.414455,30.759497
4660,1,2.410921,30.696425
4670,0,2.407245,30.631700
4680,0,2.402101,30.631700
4690,1,2.397425,30.554144
4700,1,2.394997,30.422930
4710,1,2.393958,30.392298
4720,0,2.390309,30.410405
4730,1,2.386362,30.342725
4740,2,2.385316,30.312062
4750,2,2.384733,30.287380
4760,3,2.385069,30.274472
4770,4,2.386133,30.190594
4780,1,2.387784,30.274820
4790,0,2.384049,30.290697
4800,1,2.381372,30.159850
4810,1,2.377736,30.097127
4820,1,2.374877,30.123442
4830,1,2.372031,30.149758
4840,1,2.369196,30.176074
4850,1,2.366527,30.125083
4860,1,2.361947,30.049904
4870,0,2.358402,30.066540
4880,0,2.353569,30.066540
4890,0,2.348756,30.066540
4900,0,2.343963,30.066540
4910,0,2.339189,30.066540
4920,3,2.337423,29.793065
4930,0,2.336443,29.841102
4940,0,2.333161,29.705706
4950,1,2.329102,29.637670
4960,3,2.328486,29.537822
4970,3,2.329548,29.460185
4980,3,2.331246,29.466004
4990,4,2.332732,29.469201
5000,3,2.336023,29.569912
5010,1,2.335844,29.551970
5020,2,2.333610,29.508121
5030,3,2.334877,29.508623
5040,3,2.336153,29.509306
5050,4,2.338284,29.520836
5060,4,2.341568,29.620836
5070,4,2.344555,29.569390
5080,4,2.347814,29.668893
5090,1,2.349408,29.747485
5100,1,2.346763,29.772361
5110,1,2.344127,29.797236
5120,0,2.340272,29.806446
5130,0,2.335710,29.806446
5140,1,2.332119,29.744648
5150,2,2.329495,29.621969
5160,1,2.327649,29.655972
5170,1,2.325081,29.680663
5180,2,2.323778,29.648201
5190,1,2.322698,29.546088
5200,1,2.320155,29.570598
5210,1,2.317621,29.595107
5220,2,2.316899,29.570205
5230,2,2.316293,29.619104
5240,1,2.315018,29.659396
5250,0,2.312128,29.678911
5260,1,2.308010,29.538034
5270,0,2.304674,29.479692
5280,0,2.300518,29.339942
5290,0,2.296169,29.339942
5300,0,2.291837,29.339942
5310,0,2.289090,29.218909
5320,0,2.284787,29.218909
5330,1,2.281105,29.156566
5340,0,2.277330,29.162937
5350,0,2.273074,29.162937
5360,1,2.268963,29.094839
5370,0,2.264742,29.094897
5380,0,2.260533,29.094897
5390,1,2.256405,29.026311
5400,0,2.253267,29.039716
5410,1,2.249549,28.907501
5420,0,2.247036,28.928591
5430,1,2.244385,28.879177
5440,0,2.240825,28.886459
5450,1,2.238325,28.838934
5460,1,2.235931,28.792882
5470,1,2.232665,28.735717
5480,0,2.229363,28.745671
5490,1,2.226014,28.687368
5500,1,2.223785,28.710842
5510,7,2.227425,28.344370
5520,6,2.234548,28.420975
5530,5,2.240347,28.546353
5540,5,2.245328,28.661560
5550,5,2.250225,28.709771
5560,4,2.255565,28.763624
5570,4,2.257537,28.774551
5580,4,2.260659,28.866084
5590,3,2.263547,28.888643
5600,2,2.263221,28.936164
5610,0,2.261208,28.962053
5620,0,2.257185,28.962053
5630,2,2.255508,28.860252
5640,2,2.255055,28.905706
5650,0,2.253257,28.933865
5660,0,2.249438,28.870342
5670,0,2.245471,28.870342
5680,2,2.242349,28.750657
5690,2,2.241923,28.795804
5700,2,2.241498,28.840951
5710,4,2.244031,28.729635
5720,2,2.245810,28.802761
5730,1,2.244025,28.830181
5740,1,2.241801,28.787332
5750,0,2.238106,28.789950
5760,0,2.234220,28.789950
5770,0,2.230348,28.789950
5780,1,2.228090,28.746338
5790,0,2.224318,28.747320
5800,0,2.220483,28.747320
5810,0,2.216661,28.747320
5820,2,2.215194,28.586311
5830,1,2.213266,28.610509
5840,0,2.210511,28.623918
5850,1,2.207386,28.569045
5860,3,2.205457,28.466908
5870,2,2.205956,28.521940
5880,3,2.207133,28.522952
5890,2,2.207605,28.577573
5900,2,2.207254,28.621529
5910,3,2.207680,28.612696
5920,0,2.207857,28.663405
5930,3,2.206047,28.500788
5940,2,2.206388,28.491186
5950,2,2.205606,28.467151
5960,1,2.204691,28.503166
5970,1,2.203694,28.476306
5980,2,2.202791,28.450732
5990,4,2.203763,28.388253
6000,2,2.205163,28.453713
6010,0,2.203154,28.475176
6020,0,2.199562,28.414938
6030,0,2.195914,28.414938
6040,1,2.193559,28.370659
6050,1,2.191586,28.392072
6060,1,2.188562,28.339078
6070,0,2.185710,28.348843
6080,0,2.182115,28.348843
6090,1,2.178771,28.291502
6100,1,2.177297,28.258541
6110,0,2.173868,28.260281
6120,1,2.171114,28.150889
6130,0,2.168228,28.099865
6140,0,2.164696,28.099865
6150,0,2.161195,28.040824
6160,0,2.158586,27.934648
6170,0,2.155088,27.934648
6180,0,2.151601,27.934648
6190,0,2.148134,27.876211
6200,0,2.144670,27.876211
6210,0,2.141216,27.876211
6220,0,2.137774,27.876211
6230,1,2.135762,27.836394
6240,3,2.136010,27.768124
6250,2,2.135801,27.809905
6260,2,2.135937,27.798259
6270,3,2.136001,27.785740
6280,1,2.135783,27.827216
6290,2,2.134390,27.795684
6300,1,2.132697,27.817781
6310,2,2.132279,27.798920
6320,0,2.129868,27.754155
6330,1,2.129020,27.672889
6340,1,2.127092,27.634761
6350,1,2.125492,27.600965
6360,1,2.123722,27.621415
6370,0,2.120937,27.572177
6380,0,2.117612,27.572177
6390,1,2.114415,27.517543
6400,1,2.111447,27.465976
6410,3,2.111615,27.399699
6420,2,2.112199,27.450037
6430,2,2.113049,27.448294
6440,2,2.112803,27.377159
6450,2,2.112582,27.361755
6460,2,2.112408,27.401915
6470,1,2.110710,27.422277
