Tempo,Ocupacao,NumeroMedioRequisicoes,TempoMedioEspera,TamanhoFila
10,0.806525,2.477454,1.727263,6
20,0.919740,5.005421,4.173522,6
30,0.893919,4.647173,5.218752,2
40,0.923959,4.207930,4.401966,3
50,0.960883,4.008053,4.105316,4
60,0.912552,3.844899,3.284722,0
70,0.870519,3.500394,3.071628,0
80,0.876947,3.299870,0.738149,1
90,0.864539,3.049654,2.609110,1
100,0.873189,3.189433,5.627516,7
110,0.873368,3.394272,3.308798,1
120,0.893103,3.250176,4.402174,3
130,0.880357,3.187331,2.664672,0
140,0.884506,3.040279,3.270455,3
150,0.883127,3.012823,8.284876,6
160,0.885722,3.262711,2.767092,5
170,0.910011,3.350228,2.549280,3
180,0.887850,3.300116,2.462367,0
190,0.879273,3.197027,1.346813,1
200,0.883340,3.268752,1.374495,6
210,0.885914,3.191189,4.219360,3
220,0.892339,3.282047,4.224050,6
230,0.894869,3.385372,2.888735,7
240,0.900585,3.571248,3.562122,9
250,0.909337,3.723685,3.709421,10
260,0.909428,3.944810,2.075687,2
270,0.912429,3.913258,4.001731,3
280,0.913841,3.833876,5.456471,4
290,0.912507,3.821305,4.614308,3
300,0.916447,3.839543,9.585382,9
310,0.917028,3.974341,3.859257,6
320,0.924096,4.044908,6.218507,9
330,0.926251,4.268893,5.326945,11
340,0.925424,4.437600,6.042127,10
350,0.930050,4.565571,5.044578,13
360,0.927752,4.896119,3.408335,15
370,0.931296,5.122238,6.403932,10
380,0.936083,5.358542,5.757023,18
390,0.934394,5.780111,6.717106,25
400,0.938446,6.262550,6.394147,29
410,0.936972,6.894146,7.983349,31
420,0.949026,7.582824,8.326597,44
430,0.943083,8.476356,9.598047,55
440,0.940896,9.673816,8.140809,56
450,0.944082,10.654152,10.890591,56
460,0.944378,11.412003,10.727159,56
470,0.949161,12.575570,13.069954,61
480,0.946043,13.545077,13.269323,53
490,0.948591,14.292988,14.756001,51
500,0.949179,15.086184,9.941910,46
510,0.953618,15.846759,15.189300,54
520,0.950214,16.618072,15.174301,57
530,0.951934,17.390989,16.589376,57
540,0.954463,18.034809,16.497834,49
550,0.953293,18.471728,19.253446,48
560,0.954653,19.101247,18.867335,50
570,0.961564,19.540736,20.918544,45
580,0.955510,20.047323,17.788032,48
590,0.956489,20.659255,17.356273,52
600,0.957229,21.167260,19.429934,55
610,0.959818,21.693748,21.710734,55
620,0.959523,22.270349,25.870656,60
630,0.961221,22.930542,24.129599,67
640,0.961734,23.430325,24.148493,67
650,0.960179,24.286004,24.598127,71
660,0.961770,24.974993,25.361938,70
670,0.961613,25.444094,26.073321,65
680,0.967814,26.026457,27.868383,67
690,0.963512,26.839261,25.747615,71
700,0.965002,27.468972,28.084463,78
710,0.963685,28.215421,26.520205,74
720,0.964089,28.824501,29.307882,80
730,0.966301,29.504499,31.433423,77
740,0.965321,30.187135,28.345445,82
750,0.967196,30.761941,29.663283,79
760,0.969044,31.505310,30.498366,79
770,0.966457,31.969769,31.933253,86
780,0.969142,32.849826,33.626962,86
790,0.967572,33.483243,34.665431,85
800,0.968008,34.105654,33.577633,77
810,0.969359,34.515924,34.421458,73
820,0.968306,35.096423,35.670862,75
830,0.968717,35.527381,37.432223,74
840,0.969130,35.844357,33.483153,70
850,0.970077,36.371209,37.098367,73
860,0.969922,36.622084,36.017859,67
870,0.970728,37.028402,39.302293,60
880,0.972849,37.320142,36.623014,68
890,0.970872,37.671822,37.103867,75
900,0.971333,38.183440,38.544473,83
910,0.973669,38.655623,38.490278,82
920,0.973037,39.081007,37.170823,72
930,0.972328,39.434028,40.064918,74
940,0.974653,39.843886,40.018407,73
950,0.973700,40.148703,40.184925,77
960,0.973620,40.482222,39.050379,69
970,0.973788,40.833567,40.954942,70
980,0.981256,41.123047,42.437676,72
990,0.973767,41.456699,38.742671,79
1000,0.974175,41.863155,40.724512,77
1010,0.975946,42.117290,42.876869,76
1020,0.975246,42.495785,43.167806,67
1030,0.980489,42.712275,43.542047,67
1040,0.975267,42.972216,44.173619,69
1050,0.975447,43.217117,44.238986,72
1060,0.975726,43.478683,48.251713,73
1070,0.976244,43.764456,44.042362,75
1080,0.977234,43.981286,46.996366,73
1090,0.976359,44.279110,44.310394,69
1100,0.976597,44.418999,45.614022,63
1110,0.977603,44.581325,44.783768,64
1120,0.978202,44.721438,44.669741,60
1130,0.978135,44.913568,45.021547,61
1140,0.977648,45.022640,46.192767,61
1150,0.979978,45.172557,45.181427,62
1160,0.977577,45.308795,46.237170,62
1170,0.978280,45.490547,44.828180,65
1180,0.979762,45.569282,46.006274,61
1190,0.980294,45.730610,45.720579,54
1200,0.978457,45.808589,45.231364,57
1210,0.979373,45.864222,46.142642,57
1220,0.978815,46.000743,47.695198,58
1230,0.979914,46.096008,45.592356,56
1240,0.979883,46.202198,49.876911,69
1250,0.979872,46.414681,44.391108,67
1260,0.979940,46.549225,45.011452,63
1270,0.979923,46.688365,45.836515,61
1280,0.981505,46.751857,44.460969,50
1290,0.980055,46.815487,46.424610,54
1300,0.981556,46.855964,45.397899,52
1310,0.980194,46.871454,46.287061,51
1320,0.981305,46.921727,46.476680,49
1330,0.981039,46.931467,50.633986,53
1340,0.980639,46.979780,46.333276,54
1350,0.981243,47.023092,44.762251,54
1360,0.981669,47.093422,47.964460,56
1370,0.981586,47.106818,49.049060,60
1380,0.981345,47.202081,44.639905,49
1390,0.981780,47.159228,47.300861,47
1400,0.982022,47.225254,48.993880,53
1410,0.981745,47.293739,46.061410,51
1420,0.981751,47.292939,48.442921,45
1430,0.981924,47.273681,47.988205,43
1440,0.982260,47.245946,46.003275,41
1450,0.982966,47.206845,48.798190,44
1460,0.982495,47.177996,50.724025,47
1470,0.982942,47.150653,45.765528,47
1480,0.982677,47.206371,49.619738,50
1490,0.983641,47.204071,47.354226,51
1500,0.983645,47.240825,48.791684,54
1510,0.982974,47.272666,48.871328,49
1520,0.983422,47.289323,48.795969,48
1530,0.984715,47.253792,46.754518,46
1540,0.983734,47.292305,48.479522,46
1550,0.983594,47.293094,47.225911,47
1560,0.983469,47.269630,47.865193,37
1570,0.984146,47.153618,49.543439,26
1580,0.985209,47.015094,46.983582,26
1590,0.985179,46.884261,47.570546,27
