timestamp,sample_idx,system_occupancy,avg_wait_error,q0_len,q1_len,q2_len,server_busy,little_error
10.0000,1,10.8267,0.0000,4,6,8,1,2.8488
20.0000,2,18.4707,0.0000,6,11,21,1,7.0394
30.0000,3,26.0202,0.0000,9,14,23,1,9.3770
40.0000,4,32.0232,0.0000,14,21,21,1,7.3706
50.0000,5,38.8470,0.0000,23,21,25,1,7.9193
60.0000,6,44.9812,0.0000,28,23,27,1,7.8971
70.0000,7,51.2091,0.0000,35,28,34,1,9.2070
80.0000,8,57.2407,0.0000,38,32,40,1,10.6673
90.0000,9,64.2916,0.0000,52,34,43,1,13.9849
100.0000,10,72.4202,0.0000,67,45,51,1,18.0390
110.0000,11,80.9328,0.0000,72,53,51,1,19.3279
120.0000,12,89.3085,0.0000,77,57,58,1,20.8880
130.0000,13,97.7526,0.0000,86,59,60,1,24.3393
140.0000,14,105.8703,0.0000,90,67,61,1,26.0024
150.0000,15,113.4939,0.0000,89,73,60,1,28.0161
160.0000,16,120.9474,0.0000,97,81,65,1,29.2601
170.0000,17,128.8172,0.0000,106,85,73,1,32.3604
180.0000,18,136.8375,0.0000,114,90,79,1,35.5390
190.0000,19,144.9183,0.0000,121,92,86,1,38.1227
200.0000,20,153.0741,0.0000,126,104,87,1,41.7865
210.0000,21,161.1893,0.0000,130,111,93,1,40.6414
220.0000,22,169.5077,0.0000,128,120,104,1,41.7558
230.0000,23,177.5727,0.0000,128,123,108,1,40.8077
240.0000,24,185.6818,0.0000,131,131,118,1,41.0366
250.0000,25,193.9603,0.0000,137,139,122,1,42.4780
260.0000,26,202.3106,0.0000,149,143,136,1,45.0728
270.0000,27,211.4353,0.0000,164,153,150,1,47.4841
280.0000,28,220.7834,0.0000,168,155,155,1,48.7251
290.0000,29,230.1023,0.0000,173,169,156,1,52.3057
300.0000,30,239.1912,0.0000,175,169,165,1,53.3584
310.0000,31,248.0835,0.0000,177,178,168,1,54.2982
320.0000,32,256.9702,0.0000,187,188,169,1,56.5065
330.0000,33,266.0653,0.0000,193,193,182,1,58.1157
340.0000,34,275.3574,0.0000,196,201,192,1,60.9072
350.0000,35,284.4990,0.0000,204,206,199,1,63.7441
360.0000,36,293.7688,0.0000,208,209,207,1,64.7413
370.0000,37,302.9056,0.0000,212,214,211,1,67.5138
380.0000,38,312.0003,0.0000,223,217,217,1,70.1494
390.0000,39,321.0986,0.0000,232,217,226,1,73.6520
400.0000,40,330.0771,0.0000,237,219,230,1,76.4182
410.0000,41,338.8260,0.0000,240,224,232,1,76.6789
420.0000,42,347.4199,0.0000,244,225,230,1,76.3147
430.0000,43,355.7585,0.0000,247,231,236,1,78.4113
440.0000,44,364.0517,0.0000,250,237,246,1,78.5951
450.0000,45,372.4877,0.0000,254,243,258,1,81.1364
460.0000,46,380.9610,0.0000,260,249,262,1,83.2586
470.0000,47,389.4702,0.0000,266,257,264,1,85.1983
480.0000,48,397.9621,0.0000,270,271,267,1,88.2395
490.0000,49,406.4791,0.0000,275,279,268,1,90.7226
500.0000,50,414.9419,0.0000,282,283,273,1,93.3142
510.0000,51,423.3656,0.0000,287,292,281,1,95.8666
520.0000,52,431.9376,0.0000,294,296,288,1,94.7145
530.0000,53,440.5455,0.0000,296,301,300,1,97.3195
540.0000,54,449.2076,0.0000,302,311,305,1,100.4447
550.0000,55,457.8379,0.0000,305,311,313,1,104.2527
560.0000,56,466.4545,0.0000,309,319,327,1,106.2167
570.0000,57,475.1490,0.0000,317,319,334,1,107.6359
580.0000,58,483.9267,0.0000,324,329,343,1,110.3608
590.0000,59,492.7669,0.0000,331,333,348,1,113.0876
600.0000,60,501.5923,0.0000,343,336,354,1,115.7892
610.0000,61,510.3411,0.0000,353,340,348,1,115.3303
620.0000,62,518.9730,0.0000,352,341,356,1,116.6541
630.0000,63,527.4934,0.0000,355,345,365,1,117.8931
640.0000,64,536.0896,0.0000,366,355,371,1,120.4214
650.0000,65,544.8670,0.0000,375,364,377,1,123.0155
660.0000,66,553.5623,0.0000,378,364,381,1,126.2215
670.0000,67,562.2459,0.0000,381,371,391,1,126.8250
680.0000,68,570.9434,0.0000,388,380,396,1,128.5061
690.0000,69,579.6741,0.0000,395,381,408,1,131.1861
700.0000,70,588.5138,0.0000,405,386,415,1,132.6008
710.0000,71,597.3139,0.0000,413,390,415,1,134.5942
720.0000,72,606.0834,0.0000,420,399,420,1,135.3114
730.0000,73,614.7392,0.0000,417,401,423,1,134.7140
740.0000,74,623.3487,0.0000,424,408,432,1,136.3634
750.0000,75,631.9735,0.0000,426,417,436,1,137.8923
760.0000,76,640.5968,0.0000,428,428,441,1,139.1770
770.0000,77,649.1840,0.0000,434,431,446,1,141.1920
780.0000,78,657.7813,0.0000,441,431,456,1,141.9521
790.0000,79,666.3929,0.0000,447,442,462,1,144.6817
800.0000,80,675.0809,0.0000,453,448,469,1,148.0523
810.0000,81,683.7558,0.0000,460,453,469,1,150.0666
820.0000,82,692.4267,0.0000,465,461,478,1,152.0733
830.0000,83,701.0480,0.0000,471,461,481,1,155.3673
840.0000,84,709.6072,0.0000,479,468,484,1,155.9941
850.0000,85,718.1243,0.0000,483,470,481,1,155.5640
860.0000,86,726.5124,0.0000,489,472,484,1,157.4649
870.0000,87,734.9665,0.0000,499,475,496,1,159.1456
880.0000,88,743.4505,0.0000,501,485,507,1,161.7462
890.0000,89,751.9512,0.0000,506,494,516,1,165.6637
900.0000,90,760.5282,0.0000,512,503,516,1,163.8256
910.0000,91,769.0777,0.0000,525,505,517,1,165.1539
920.0000,92,777.5989,0.0000,529,511,520,1,165.8125
930.0000,93,786.0926,0.0000,541,515,526,1,167.7317
940.0000,94,794.6349,0.0000,542,521,535,1,170.9426
950.0000,95,803.1713,0.0000,548,524,538,1,171.5838
960.0000,96,811.7100,0.0000,557,536,543,1,172.8615
970.0000,97,820.3180,0.0000,559,542,556,1,174.8310
980.0000,98,828.9430,0.0000,570,546,560,1,177.4699
990.0000,99,837.6056,0.0000,571,552,569,1,180.7440
1000.0000,100,846.2801,0.0000,587,559,580,1,182.7264
1010.0000,101,855.1115,0.0000,602,568,584,1,184.2564
1020.0000,102,863.9463,0.0000,605,571,584,1,185.1760
1030.0000,103,872.7448,0.0000,609,579,594,1,187.4914
1040.0000,104,881.5839,0.0000,612,584,606,1,190.8247
1050.0000,105,890.4464,0.0000,619,593,610,1,192.8735
1060.0000,106,899.3512,0.0000,628,601,615,1,193.6296
1070.0000,107,908.2589,0.0000,633,604,623,1,196.3262
1080.0000,108,917.1530,0.0000,639,612,621,1,195.7978
1090.0000,109,926.0066,0.0000,645,618,630,1,197.9325
1100.0000,110,934.8764,0.0000,645,628,638,1,199.2514
1110.0000,111,943.8047,0.0000,657,635,645,1,201.3431
1120.0000,112,952.7101,0.0000,656,637,652,1,203.4396
1130.0000,113,961.5373,0.0000,659,646,656,1,204.9085
1140.0000,114,970.3497,0.0000,666,651,657,1,206.3565
1150.0000,115,979.1539,0.0000,673,661,661,1,207.1534
1160.0000,116,987.9686,0.0000,681,668,662,1,207.9417
1170.0000,117,996.7929,0.0000,684,675,669,1,209.3597
1180.0000,118,1005.6143,0.0000,691,681,675,1,209.5399
1190.0000,119,1014.4593,0.0000,698,693,680,1,212.2226
1200.0000,120,1023.3433,0.0000,705,702,683,1,215.2349
1210.0000,121,1032.2412,0.0000,708,708,692,1,217.2868
1220.0000,122,1041.1172,0.0000,711,715,696,1,218.9800
1230.0000,123,1050.0167,0.0000,719,727,706,1,222.2088
1240.0000,124,1058.9828,0.0000,722,730,716,1,222.4752
1250.0000,125,1067.9199,0.0000,726,731,722,1,225.2304
1260.0000,126,1076.7721,0.0000,727,736,721,1,226.0471
1270.0000,127,1085.5814,0.0000,738,740,728,1,229.3546
1280.0000,128,1094.3406,0.0000,744,738,730,1,231.3947
1290.0000,129,1103.0848,0.0000,750,751,738,1,233.4221
1300.0000,130,1111.8886,0.0000,752,752,744,1,235.4667
1310.0000,131,1120.6202,0.0000,755,757,749,1,236.8915
1320.0000,132,1129.3228,0.0000,759,767,754,1,238.9243
1330.0000,133,1138.0040,0.0000,762,772,761,1,242.2044
1340.0000,134,1146.6987,0.0000,770,775,764,1,242.3866
1350.0000,135,1155.3518,0.0000,774,779,768,1,243.1718
1360.0000,136,1163.9668,0.0000,781,782,774,1,244.5620
1370.0000,137,1172.6101,0.0000,787,787,784,1,248.4725
1380.0000,138,1181.2847,0.0000,790,793,794,1,249.2825
1390.0000,139,1189.9412,0.0000,795,796,798,1,251.3556
1400.0000,140,1198.5654,0.0000,805,799,804,1,252.9198
1410.0000,141,1207.2210,0.0000,814,804,809,1,255.6305
1420.0000,142,1215.8686,0.0000,822,809,815,1,258.3384
1430.0000,143,1224.5251,0.0000,831,810,820,1,260.4368
1440.0000,144,1233.1768,0.0000,839,815,824,1,261.9454
1450.0000,145,1241.8214,0.0000,845,818,829,1,264.0788
1460.0000,146,1250.4539,0.0000,853,827,833,1,265.6053
1470.0000,147,1259.0909,0.0000,856,835,836,1,266.5221
1480.0000,148,1267.6976,0.0000,862,842,839,1,269.9031
1490.0000,149,1276.3273,0.0000,870,849,842,1,273.9135
1500.0000,150,1284.9499,0.0000,873,858,846,1,274.8021
1510.0000,151,1293.5961,0.0000,881,864,856,1,278.1674
1520.0000,152,1302.2528,0.0000,888,869,863,1,279.0424
1530.0000,153,1310.9116,0.0000,893,877,861,1,281.1684
1540.0000,154,1319.5461,0.0000,899,883,873,1,283.9140
1550.0000,155,1328.2128,0.0000,905,888,878,1,285.3949
1560.0000,156,1336.8969,0.0000,919,892,886,1,285.6582
1570.0000,157,1345.6429,0.0000,929,903,894,1,289.1079
1580.0000,158,1354.4410,0.0000,934,910,904,1,292.5514
1590.0000,159,1363.2363,0.0000,935,911,910,1,294.0897
1600.0000,160,1372.0462,0.0000,948,922,919,1,296.8762
1610.0000,161,1380.8821,0.0000,952,927,924,1,297.7977
1620.0000,162,1389.7007,0.0000,954,928,932,1,298.0790
1630.0000,163,1398.4811,0.0000,963,933,937,1,298.3726
1640.0000,164,1407.2750,0.0000,968,936,945,1,299.9338
1650.0000,165,1416.0535,0.0000,980,944,945,1,303.3894
1660.0000,166,1424.8664,0.0000,986,948,953,1,306.8575
1670.0000,167,1433.6641,0.0000,993,954,956,1,307.8316
