timestamp,sample_idx,system_occupancy,avg_wait_error,q0_len,q1_len,q2_len,server_busy,little_error
10.0000,1,8.1593,0.0000,4,7,7,1,2.4276
20.0000,2,16.3486,0.0000,11,11,11,1,4.4053
30.0000,3,25.5846,0.0000,19,20,20,1,5.4896
40.0000,4,35.7103,0.0000,24,24,24,1,8.4742
50.0000,5,44.7906,0.0000,33,27,32,1,10.3726
60.0000,6,55.4110,0.0000,40,41,42,1,14.1604
70.0000,7,65.9590,0.0000,44,44,47,1,16.4247
80.0000,8,75.0134,0.0000,48,48,50,1,18.0445
90.0000,9,83.8140,0.0000,54,53,57,1,18.7620
100.0000,10,92.6326,0.0000,57,59,59,1,21.7536
110.0000,11,101.6343,0.0000,68,66,66,1,23.0658
120.0000,12,111.2113,0.0000,75,74,79,1,26.3317
130.0000,13,120.8996,0.0000,82,80,83,1,30.1802
140.0000,14,130.4982,0.0000,86,87,87,1,33.2969
150.0000,15,139.8100,0.0000,93,95,98,1,35.6351
160.0000,16,149.8392,0.0000,101,105,104,1,38.2352
170.0000,17,160.0051,0.0000,110,114,113,1,40.9670
180.0000,18,170.2013,0.0000,114,120,119,1,43.2565
190.0000,19,180.3429,0.0000,123,126,127,1,47.1948
200.0000,20,190.3582,0.0000,129,129,130,1,48.2415
210.0000,21,200.1501,0.0000,134,134,133,1,48.5893
220.0000,22,209.7399,0.0000,138,139,139,1,51.1542
230.0000,23,219.3656,0.0000,146,145,148,1,52.2652
240.0000,24,228.7951,0.0000,150,150,149,1,52.8138
250.0000,25,238.0762,0.0000,156,156,158,1,54.7724
260.0000,26,247.5090,0.0000,165,164,163,1,56.8496
270.0000,27,256.8329,0.0000,171,170,171,1,58.9156
280.0000,28,266.3177,0.0000,177,176,178,1,60.1917
290.0000,29,275.6617,0.0000,186,183,181,1,62.5305
300.0000,30,285.1399,0.0000,187,192,191,1,66.6580
310.0000,31,294.5900,0.0000,193,197,196,1,66.0874
320.0000,32,304.1163,0.0000,200,204,204,1,68.9173
330.0000,33,313.6428,0.0000,206,208,210,1,72.4037
340.0000,34,322.9659,0.0000,212,213,217,1,75.1070
350.0000,35,332.3836,0.0000,218,222,222,1,78.7317
360.0000,36,341.9530,0.0000,226,229,232,1,82.7383
370.0000,37,351.6185,0.0000,234,240,240,1,86.7156
380.0000,38,361.4022,0.0000,240,246,245,1,90.7020
390.0000,39,371.0033,0.0000,245,249,251,1,93.8872
400.0000,40,380.6582,0.0000,256,255,257,1,97.0637
410.0000,41,390.2279,0.0000,259,260,261,1,97.3660
420.0000,42,399.7204,0.0000,267,267,266,1,98.3897
430.0000,43,409.1906,0.0000,270,272,272,1,100.8880
440.0000,44,418.4388,0.0000,274,276,276,1,104.0324
450.0000,45,427.7353,0.0000,282,280,284,1,107.1773
460.0000,46,437.1535,0.0000,290,289,290,1,110.3212
470.0000,47,446.6948,0.0000,298,299,299,1,113.4985
480.0000,48,456.3754,0.0000,305,308,308,1,117.4023
490.0000,49,466.0218,0.0000,312,314,312,1,119.8224
500.0000,50,475.5616,0.0000,317,317,318,1,120.7541
510.0000,51,484.8503,0.0000,319,317,318,1,123.1178
520.0000,52,494.0835,0.0000,324,324,326,1,122.5424
530.0000,53,503.3770,0.0000,330,334,334,1,126.3935
540.0000,54,512.7274,0.0000,337,340,343,1,130.2137
550.0000,55,522.1887,0.0000,345,348,351,1,134.0584
560.0000,56,531.6071,0.0000,354,353,353,1,137.1250
570.0000,57,541.0146,0.0000,358,361,358,1,140.2190
580.0000,58,550.4414,0.0000,366,367,364,1,140.2954
590.0000,59,559.8026,0.0000,370,371,370,1,140.4440
600.0000,60,569.1310,0.0000,374,375,375,1,142.0676
610.0000,61,578.3895,0.0000,381,383,383,1,144.4446
620.0000,62,587.7126,0.0000,389,388,388,1,147.5572
630.0000,63,597.0943,0.0000,399,396,397,1,148.4839
640.0000,64,606.5153,0.0000,401,405,402,1,148.0213
650.0000,65,615.9044,0.0000,410,408,409,1,150.4970
660.0000,66,625.2604,0.0000,414,415,413,1,149.4062
670.0000,67,634.5564,0.0000,417,418,417,1,151.2448
680.0000,68,643.7130,0.0000,421,421,423,1,151.6020
690.0000,69,652.7565,0.0000,426,427,424,1,151.9812
700.0000,70,661.7877,0.0000,432,432,432,1,154.5012
710.0000,71,670.7601,0.0000,433,435,436,1,156.2834
720.0000,72,679.6490,0.0000,439,439,440,1,159.4429
730.0000,73,688.3917,0.0000,442,439,441,1,156.2018
740.0000,74,697.0317,0.0000,445,444,444,1,156.6021
750.0000,75,705.6099,0.0000,449,449,452,1,158.3874
760.0000,76,714.2075,0.0000,454,455,459,1,159.4840
770.0000,77,722.7869,0.0000,462,463,460,1,161.9532
780.0000,78,731.3770,0.0000,466,466,466,1,162.3511
790.0000,79,739.8716,0.0000,470,469,470,1,162.7508
800.0000,80,748.3424,0.0000,475,477,478,1,165.2409
810.0000,81,756.8545,0.0000,481,482,481,1,169.1007
820.0000,82,765.3887,0.0000,487,487,489,1,170.8581
830.0000,83,773.9313,0.0000,496,496,495,1,171.9345
840.0000,84,782.5638,0.0000,503,505,503,1,175.1353
850.0000,85,791.2339,0.0000,509,508,507,1,177.6336
860.0000,86,799.8115,0.0000,511,511,516,1,176.6168
870.0000,87,808.4220,0.0000,520,519,518,1,180.5063
880.0000,88,816.9620,0.0000,520,522,523,1,182.9590
890.0000,89,825.4434,0.0000,527,527,525,1,182.6031
900.0000,90,833.9170,0.0000,532,532,532,1,180.2184
910.0000,91,842.3756,0.0000,539,537,537,1,182.7226
920.0000,92,850.8233,0.0000,542,546,543,1,183.8332
930.0000,93,859.3130,0.0000,549,552,548,1,187.0216
940.0000,94,867.8101,0.0000,556,554,553,1,188.1378
950.0000,95,876.3473,0.0000,566,564,562,1,191.3439
960.0000,96,884.9729,0.0000,573,576,571,1,195.2469
970.0000,97,893.6912,0.0000,580,576,580,1,195.3857
980.0000,98,902.3759,0.0000,582,583,583,1,198.0608
990.0000,99,910.9600,0.0000,584,587,585,1,199.4323
1000.0000,100,919.5209,0.0000,592,598,588,1,203.2983
1010.0000,101,928.0691,0.0000,597,596,596,1,205.8746
1020.0000,102,936.6224,0.0000,604,605,606,1,207.8178
1030.0000,103,945.2462,0.0000,614,612,611,1,210.4213
1040.0000,104,953.9342,0.0000,620,621,620,1,213.6709
1050.0000,105,962.6696,0.0000,625,626,627,1,217.5703
1060.0000,106,971.3831,0.0000,629,629,629,1,217.5335
1070.0000,107,980.0125,0.0000,632,636,637,1,218.1623
1080.0000,108,988.6415,0.0000,636,641,641,1,220.7518
1090.0000,109,997.2702,0.0000,644,647,649,1,223.9875
1100.0000,110,1005.9188,0.0000,651,651,653,1,223.2921
1110.0000,111,1014.5510,0.0000,655,662,658,1,225.8774
1120.0000,112,1023.1610,0.0000,661,662,662,1,228.4319
1130.0000,113,1031.7738,0.0000,667,667,668,1,229.6892
1140.0000,114,1040.4046,0.0000,674,675,676,1,231.6018
1150.0000,115,1049.0373,0.0000,678,684,684,1,232.8750
1160.0000,116,1057.7747,0.0000,686,692,699,1,233.5411
1170.0000,117,1066.5952,0.0000,695,699,703,1,237.0311
1180.0000,118,1075.4082,0.0000,707,705,706,1,240.2595
1190.0000,119,1084.2002,0.0000,710,710,709,1,239.3869
1200.0000,120,1092.9915,0.0000,716,716,717,1,241.9570
1210.0000,121,1101.7921,0.0000,721,721,722,1,242.4920
1220.0000,122,1110.5544,0.0000,723,725,726,1,245.0673
1230.0000,123,1119.3139,0.0000,732,733,734,1,248.9927
1240.0000,124,1128.1322,0.0000,740,740,741,1,250.8931
1250.0000,125,1136.9306,0.0000,746,746,747,1,251.4354
1260.0000,126,1145.7925,0.0000,757,752,756,1,255.4006
1270.0000,127,1154.6541,0.0000,757,759,759,1,255.9390
1280.0000,128,1163.5315,0.0000,763,772,771,1,259.8734
1290.0000,129,1172.4022,0.0000,769,771,772,1,263.7924
1300.0000,130,1181.2697,0.0000,775,783,783,1,267.7047
1310.0000,131,1190.2619,0.0000,790,790,791,1,271.6557
1320.0000,132,1199.3004,0.0000,794,798,798,1,275.5911
1330.0000,133,1208.3364,0.0000,804,805,804,1,279.5235
1340.0000,134,1217.3933,0.0000,809,808,809,1,280.6798
1350.0000,135,1226.4029,0.0000,814,812,814,1,280.4574
1360.0000,136,1235.3828,0.0000,821,821,818,1,283.0104
1370.0000,137,1244.3874,0.0000,825,827,826,1,282.1173
1380.0000,138,1253.4158,0.0000,833,833,834,1,286.0838
1390.0000,139,1262.4534,0.0000,840,839,842,1,287.2787
1400.0000,140,1271.4978,0.0000,848,844,850,1,288.5036
1410.0000,141,1280.5532,0.0000,855,851,853,1,291.1207
1420.0000,142,1289.5798,0.0000,857,856,857,1,292.3455
1430.0000,143,1298.6018,0.0000,862,864,863,1,293.5794
1440.0000,144,1307.6491,0.0000,871,872,872,1,296.8710
1450.0000,145,1316.7569,0.0000,878,878,879,1,298.1207
1460.0000,146,1325.8590,0.0000,886,885,888,1,301.4320
1470.0000,147,1334.9897,0.0000,892,890,893,1,303.3782
1480.0000,148,1344.1178,0.0000,899,898,898,1,305.3149
1490.0000,149,1353.2622,0.0000,906,905,906,1,308.6343
1500.0000,150,1362.4266,0.0000,914,912,914,1,310.5842
1510.0000,151,1371.6301,0.0000,919,920,920,1,311.8626
1520.0000,152,1380.8375,0.0000,929,927,928,1,311.1110
1530.0000,153,1390.0808,0.0000,938,933,934,1,313.8143
1540.0000,154,1399.3092,0.0000,938,938,941,1,314.4631
1550.0000,155,1408.4767,0.0000,940,941,943,1,314.4290
1560.0000,156,1417.6511,0.0000,950,951,952,1,317.7942
1570.0000,157,1426.8366,0.0000,954,954,954,1,319.0003
1580.0000,158,1435.9951,0.0000,960,963,964,1,323.0481
1590.0000,159,1445.1395,0.0000,963,966,968,1,323.7860
1600.0000,160,1454.2781,0.0000,971,971,972,1,327.1600
1610.0000,161,1463.3893,0.0000,976,976,977,1,330.5158
1620.0000,162,1472.4482,0.0000,979,977,978,1,329.8868
1630.0000,163,1481.5106,0.0000,991,987,985,1,333.2347
1640.0000,164,1490.6179,0.0000,993,994,993,1,332.6419
1650.0000,165,1499.6660,0.0000,996,996,999,1,332.7129
1660.0000,166,1508.6835,0.0000,1000,999,1000,1,334.7599
1670.0000,167,1517.6063,0.0000,1000,1000,1000,1,337.4256
1680.0000,168,1526.4215,0.0000,998,998,1000,1,338.7342
1690.0000,169,1535.1334,0.0000,999,1000,1000,1,340.0103
1700.0000,170,1543.7421,0.0000,1000,999,1000,1,339.9459
1710.0000,171,1552.2549,0.0000,1000,1000,1000,1,342.4913
1720.0000,172,1560.6662,0.0000,999,999,999,1,344.3361
1730.0000,173,1568.9816,0.0000,999,1000,1000,1,345.4903
1740.0000,174,1577.1994,0.0000,999,1000,1000,1,347.9341
1750.0000,175,1585.3241,0.0000,999,1000,1000,1,350.3439
1760.0000,176,1593.3518,0.0000,999,1000,1000,1,350.7397
1770.0000,177,1601.2941,0.0000,1000,1000,1000,1,352.4355
1780.0000,178,1609.1482,0.0000,1000,1000,1000,1,355.4156
1790.0000,179,1616.9163,0.0000,999,1000,1000,1,358.3598
1800.0000,180,1624.5888,0.0000,1000,998,1000,1,359.2822
1810.0000,181,1632.1830,0.0000,999,1000,1000,1,362.8194
1820.0000,182,1639.6932,0.0000,999,999,1000,1,364.3341
1830.0000,183,1647.1222,0.0000,1000,1000,1000,1,365.8195
1840.0000,184,1654.4737,0.0000,999,1000,1000,1,368.6042
1850.0000,185,1661.7419,0.0000,999,1000,1000,1,370.0317
1860.0000,186,1668.9333,0.0000,999,1000,1000,1,372.7570
1870.0000,187,1676.0474,0.0000,1000,1000,1000,1,375.4492
1880.0000,188,1683.0828,0.0000,998,999,1000,1,376.7746
1890.0000,189,1690.0361,0.0000,999,1000,1000,1,378.7437
1900.0000,190,1696.9240,0.0000,999,1000,1000,1,378.6896
1910.0000,191,1703.7393,0.0000,998,999,999,1,378.6175
1920.0000,192,1710.4838,0.0000,999,1000,1000,1,379.8577
1930.0000,193,1717.1605,0.0000,1000,1000,1000,1,380.4165
1940.0000,194,1723.7645,0.0000,1000,1000,1000,1,380.9562
1950.0000,195,1730.3063,0.0000,1000,1000,1000,1,381.8769
1960.0000,196,1736.7803,0.0000,1000,1000,1000,1,384.3633
1970.0000,197,1743.1842,0.0000,1000,1000,1000,1,386.1541
1980.0000,198,1749.5286,0.0000,999,1000,1000,1,388.5892
1990.0000,199,1755.8067,0.0000,999,1000,1000,1,389.0022
2000.0000,200,1762.0252,0.0000,1000,999,1000,1,392.0572
2010.0000,201,1768.1793,0.0000,999,1000,1000,1,393.7529
2020.0000,202,1774.2709,0.0000,1000,1000,1000,1,395.4265
2030.0000,203,1780.3067,0.0000,1000,1000,1000,1,398.4047
2040.0000,204,1786.2805,0.0000,999,1000,1000,1,400.6861
2050.0000,205,1792.1968,0.0000,1000,1000,1000,1,402.9418
2060.0000,206,1798.0554,0.0000,999,1000,1000,1,405.1716
2070.0000,207,1803.8561,0.0000,1000,1000,1000,1,407.3739
2080.0000,208,1809.6055,0.0000,1000,1000,1000,1,410.2230
2090.0000,209,1815.2952,0.0000,999,999,1000,1,412.3738
2100.0000,210,1820.9242,0.0000,998,998,998,1,411.8123
