timestamp,sample_idx,system_occupancy,avg_wait_error,q0_len,q1_len,q2_len,server_busy,little_error
10.0000,1,9.3024,0.0000,9,4,8,1,2.6274
20.0000,2,20.1741,0.0000,19,11,13,1,6.3547
30.0000,3,29.1519,0.0000,19,21,14,1,6.9288
40.0000,4,38.8823,0.0000,23,33,27,1,10.1859
50.0000,5,48.9933,0.0000,26,42,32,1,12.2052
60.0000,6,58.2992,0.0000,29,47,37,1,15.2937
70.0000,7,67.2684,0.0000,35,49,44,1,17.0408
80.0000,8,75.7758,0.0000,45,52,51,1,18.7527
90.0000,9,83.8593,0.0000,47,49,55,1,18.0213
100.0000,10,92.0838,0.0000,55,56,64,1,20.3085
110.0000,11,100.6581,0.0000,66,62,73,1,22.0357
120.0000,12,109.9974,0.0000,78,73,78,1,23.8792
130.0000,13,119.8387,0.0000,87,78,88,1,27.6519
140.0000,14,130.1098,0.0000,92,79,101,1,29.3873
150.0000,15,139.9161,0.0000,101,84,103,1,32.3421
160.0000,16,150.0744,0.0000,110,101,110,1,35.7128
170.0000,17,160.5449,0.0000,117,105,113,1,38.2775
180.0000,18,170.7008,0.0000,123,111,112,1,39.5421
190.0000,19,180.4710,0.0000,126,119,125,1,42.7044
200.0000,20,190.3424,0.0000,136,126,129,1,44.9187
210.0000,21,200.4437,0.0000,144,134,137,1,46.9163
220.0000,22,210.7407,0.0000,153,146,140,1,47.7753
230.0000,23,221.3533,0.0000,159,157,156,1,50.7360
240.0000,24,232.2906,0.0000,169,168,163,1,52.7154
250.0000,25,243.7333,0.0000,183,177,171,1,57.3166
260.0000,26,255.2593,0.0000,186,181,185,1,60.7677
270.0000,27,266.8086,0.0000,200,191,190,1,64.4024
280.0000,28,278.1570,0.0000,204,195,194,1,67.3479
290.0000,29,289.4349,0.0000,212,198,202,1,69.6618
300.0000,30,300.7816,0.0000,219,206,217,1,72.6124
310.0000,31,312.0947,0.0000,224,209,224,1,74.2201
320.0000,32,323.1249,0.0000,228,213,229,1,76.4156
330.0000,33,334.0562,0.0000,235,226,238,1,78.5488
340.0000,34,345.0634,0.0000,240,233,243,1,81.9291
350.0000,35,355.9468,0.0000,249,240,250,1,85.2548
360.0000,36,366.7197,0.0000,250,244,257,1,85.2185
370.0000,37,377.6090,0.0000,261,257,268,1,89.6971
380.0000,38,388.7156,0.0000,269,263,281,1,92.5549
390.0000,39,399.7106,0.0000,275,266,281,1,94.7452
