timestamp,sample_idx,system_occupancy,avg_wait_error,q0_len,q1_len,q2_len,server_busy,little_error
10.0000,1,2.9548,0.0000,0,0,0,1,0.0000
20.0000,2,6.6940,0.0000,7,5,10,1,2.4701
30.0000,3,14.2342,0.0000,14,11,12,1,3.5852
40.0000,4,22.2158,0.0000,20,18,18,1,4.5146
50.0000,5,30.4979,0.0000,26,19,26,1,6.3946
60.0000,6,39.2952,0.0000,36,28,29,1,10.0954
70.0000,7,48.5382,0.0000,39,31,37,1,12.4930
80.0000,8,56.8971,0.0000,43,35,46,1,15.0775
90.0000,9,65.0937,0.0000,51,40,50,1,16.6130
100.0000,10,73.0106,0.0000,56,42,52,1,18.4486
110.0000,11,81.2143,0.0000,63,52,59,1,20.8343
120.0000,12,89.3958,0.0000,68,57,66,1,22.5879
130.0000,13,97.9488,0.0000,77,62,70,1,25.0674
140.0000,14,106.5270,0.0000,79,68,77,1,25.6280
150.0000,15,114.7555,0.0000,88,68,80,1,26.9738
160.0000,16,122.5163,0.0000,89,69,83,1,28.2761
170.0000,17,129.9953,0.0000,92,73,97,1,30.5969
180.0000,18,137.4174,0.0000,93,75,98,1,31.4532
190.0000,19,144.7568,0.0000,98,85,102,1,32.9425
200.0000,20,152.2305,0.0000,105,92,106,1,35.0887
210.0000,21,159.6994,0.0000,108,94,109,1,36.6228
220.0000,22,166.8093,0.0000,110,99,117,1,38.0283
230.0000,23,174.0384,0.0000,115,106,125,1,39.4189
240.0000,24,181.4577,0.0000,120,108,132,1,41.7077
250.0000,25,188.7893,0.0000,124,108,135,1,43.4611
260.0000,26,195.9184,0.0000,129,114,139,1,45.1232
270.0000,27,203.1956,0.0000,131,126,142,1,46.1986
280.0000,28,210.3863,0.0000,138,128,141,1,47.7423
290.0000,29,217.4792,0.0000,149,131,146,1,50.4065
300.0000,30,224.5901,0.0000,150,136,150,1,49.8750
310.0000,31,231.5769,0.0000,155,139,155,1,50.7301
320.0000,32,238.6156,0.0000,162,146,157,1,52.8148
330.0000,33,245.7350,0.0000,170,150,160,1,54.1522
340.0000,34,252.7209,0.0000,178,155,161,1,54.1361
350.0000,35,259.5880,0.0000,176,156,159,1,53.5172
360.0000,36,266.1777,0.0000,179,160,163,1,53.4627
370.0000,37,272.8205,0.0000,184,167,169,1,54.8509
380.0000,38,279.5177,0.0000,187,172,172,1,55.8514
390.0000,39,286.2259,0.0000,189,181,178,1,57.3979
400.0000,40,292.8310,0.0000,188,179,184,1,58.2093
410.0000,41,299.2813,0.0000,195,182,189,1,59.6046
420.0000,42,305.6873,0.0000,197,188,191,1,60.9389
