timestamp,sample_idx,system_occupancy,avg_wait_error,q0_len,q1_len,q2_len,server_busy,little_error
10.0000,1,1.3295,0.0000,5,0,0,1,0.7343
20.0000,2,8.6719,0.0000,15,1,11,1,4.7009
30.0000,3,18.4477,0.0000,23,9,20,1,9.3128
40.0000,4,29.0376,0.0000,33,10,26,1,14.0292
50.0000,5,38.1146,0.0000,38,11,35,1,18.4495
60.0000,6,46.9243,0.0000,48,9,44,1,22.4406
70.0000,7,55.7726,0.0000,57,13,49,1,26.6080
80.0000,8,65.3384,0.0000,67,12,64,1,31.1115
90.0000,9,74.6447,0.0000,72,14,71,1,35.4238
100.0000,10,83.8225,0.0000,81,13,85,1,39.5870
110.0000,11,93.3345,0.0000,88,16,92,1,43.7668
120.0000,12,103.1907,0.0000,101,27,102,1,48.0504
130.0000,13,114.4624,0.0000,112,34,113,1,52.6521
140.0000,14,125.7247,0.0000,128,32,129,1,57.5355
150.0000,15,137.4897,0.0000,139,34,140,1,62.6859
160.0000,16,149.2930,0.0000,150,37,151,1,67.7575
170.0000,17,161.1193,0.0000,160,40,160,1,72.9555
180.0000,18,172.6650,0.0000,169,41,168,1,78.0197
190.0000,19,183.8050,0.0000,175,39,177,1,83.0200
200.0000,20,194.8079,0.0000,184,46,185,1,87.9103
210.0000,21,205.7196,0.0000,194,39,197,1,92.7525
220.0000,22,216.2755,0.0000,207,40,204,1,97.5773
230.0000,23,226.8231,0.0000,213,36,214,1,102.4706
240.0000,24,237.2818,0.0000,224,37,228,1,107.2331
250.0000,25,247.9130,0.0000,234,35,242,1,112.1004
260.0000,26,258.4353,0.0000,250,36,251,1,117.0192
270.0000,27,269.1337,0.0000,266,35,260,1,122.2059
280.0000,28,279.5966,0.0000,276,25,267,1,127.5317
290.0000,29,289.8913,0.0000,283,28,275,1,132.8098
300.0000,30,300.1595,0.0000,296,31,280,1,138.0912
310.0000,31,310.6692,0.0000,307,40,297,1,143.3971
320.0000,32,321.4844,0.0000,315,45,304,1,148.6686
330.0000,33,332.3063,0.0000,320,51,318,1,153.7980
340.0000,34,343.1402,0.0000,330,53,329,1,158.8346
350.0000,35,353.8273,0.0000,344,48,335,1,163.8790
360.0000,36,364.5426,0.0000,357,53,342,1,169.1009
370.0000,37,375.1995,0.0000,362,53,351,1,174.2636
380.0000,38,385.8884,0.0000,375,53,363,1,179.3925
390.0000,39,396.4260,0.0000,385,52,371,1,184.5399
400.0000,40,406.9146,0.0000,396,50,381,1,189.6741
410.0000,41,417.2971,0.0000,405,45,387,1,194.8317
420.0000,42,427.5707,0.0000,414,45,398,1,199.9619
430.0000,43,437.7545,0.0000,429,42,404,1,205.1211
440.0000,44,447.9440,0.0000,442,39,416,1,210.4121
450.0000,45,458.0224,0.0000,449,35,426,1,215.6213
460.0000,46,468.0295,0.0000,460,30,434,1,220.8056
470.0000,47,477.8337,0.0000,465,25,441,1,225.9383
480.0000,48,487.5731,0.0000,477,29,449,1,231.0625
490.0000,49,497.2794,0.0000,483,29,456,1,236.1595
500.0000,50,506.7429,0.0000,490,22,467,1,241.1675
510.0000,51,516.2198,0.0000,509,18,475,1,246.2093
520.0000,52,525.7063,0.0000,514,14,484,1,251.3101
530.0000,53,535.1666,0.0000,524,20,494,1,256.3898
540.0000,54,544.6375,0.0000,529,24,503,1,261.4229
550.0000,55,554.2026,0.0000,545,27,513,1,266.4333
560.0000,56,563.7968,0.0000,551,27,520,1,271.4583
570.0000,57,573.2657,0.0000,559,23,528,1,276.4353
580.0000,58,582.6649,0.0000,566,24,538,1,281.3635
