timestamp,sample_idx,system_occupancy,avg_wait_error,q0_len,q1_len,q2_len,server_busy,little_error
10.0000,1,4.2409,0.0000,2,0,7,1,2.5137
20.0000,2,12.2106,0.0000,5,8,13,1,6.8205
30.0000,3,20.4012,0.0000,7,20,22,1,10.0411
40.0000,4,31.3256,0.0000,12,29,30,1,14.5194
50.0000,5,40.0163,0.0000,13,37,34,1,17.7946
60.0000,6,48.0743,0.0000,11,44,38,1,20.9068
70.0000,7,55.2929,0.0000,9,52,44,1,23.8828
80.0000,8,62.4591,0.0000,12,58,50,1,27.4971
90.0000,9,69.3741,0.0000,7,68,58,1,31.3732
100.0000,10,76.6260,0.0000,7,80,62,1,35.6406
110.0000,11,83.7125,0.0000,7,84,68,1,39.8995
120.0000,12,90.5739,0.0000,5,94,77,1,43.8898
130.0000,13,98.0949,0.0000,6,107,88,1,48.1556
140.0000,14,105.6256,0.0000,1,112,95,1,49.8522
150.0000,15,112.7430,0.0000,0,112,102,1,50.5304
160.0000,16,119.6670,0.0000,2,115,114,1,52.8415
170.0000,17,126.4601,0.0000,1,118,120,1,56.5386
180.0000,18,132.9360,0.0000,3,120,126,1,60.3414
190.0000,19,139.3460,0.0000,4,126,128,1,63.8985
200.0000,20,145.6639,0.0000,0,135,137,1,67.3838
210.0000,21,152.3046,0.0000,1,147,145,1,70.9456
220.0000,22,158.9114,0.0000,4,153,154,1,74.4558
230.0000,23,165.9398,0.0000,4,158,165,1,78.1493
240.0000,24,172.9497,0.0000,5,167,169,1,81.8480
250.0000,25,179.6682,0.0000,2,167,178,1,85.4874
260.0000,26,186.4563,0.0000,5,174,189,1,89.2276
270.0000,27,193.4407,0.0000,1,183,196,1,93.0833
280.0000,28,200.4729,0.0000,1,192,206,1,96.9206
290.0000,29,207.4878,0.0000,3,200,212,1,100.7744
300.0000,30,214.6426,0.0000,1,205,221,1,104.6024
310.0000,31,221.5856,0.0000,1,209,229,1,108.4503
320.0000,32,228.5484,0.0000,1,206,240,1,112.4272
330.0000,33,235.4165,0.0000,2,212,250,1,116.4589
340.0000,34,242.2971,0.0000,4,217,257,1,120.5211
350.0000,35,249.0972,0.0000,1,218,263,1,124.4950
360.0000,36,255.5691,0.0000,0,209,268,1,128.4161
370.0000,37,261.7984,0.0000,3,215,276,1,132.3139
380.0000,38,268.1392,0.0000,3,223,282,1,136.1807
390.0000,39,274.6194,0.0000,3,235,295,1,140.0976
400.0000,40,281.1578,0.0000,2,237,303,1,144.0422
410.0000,41,287.8046,0.0000,4,244,312,1,148.0561
420.0000,42,294.5840,0.0000,0,255,324,1,152.1066
430.0000,43,301.2597,0.0000,0,252,329,1,156.1627
440.0000,44,308.0107,0.0000,7,265,337,1,160.2030
450.0000,45,314.8098,0.0000,0,272,343,1,164.2015
460.0000,46,321.5300,0.0000,2,278,353,1,168.1748
470.0000,47,328.3754,0.0000,2,291,363,1,172.2016
480.0000,48,335.2741,0.0000,0,295,370,1,176.2216
490.0000,49,342.1194,0.0000,2,303,373,1,180.2121
500.0000,50,348.9017,0.0000,5,304,378,1,184.1161
510.0000,51,355.7816,0.0000,3,319,387,1,188.0178
520.0000,52,362.7490,0.0000,4,327,398,1,191.9534
530.0000,53,369.7454,0.0000,4,329,406,1,195.9151
540.0000,54,376.6905,0.0000,3,337,414,1,199.8785
550.0000,55,383.6891,0.0000,0,343,420,1,203.8425
