policy,rho,occupancy_mean,occupancy_std,occupancy_max,occupancy_p99,EN_mean,EW_mean,little_error_mean,little_error_max,utilization
AGING,0.8,2960.992013888889,269.82366782768713,3000.0,3000.0,24295.327441666665,0.0,24295.327441666665,46014.2673,1.0
AGING,0.9,2968.8668981481483,239.9357307098422,3000.0,3000.0,24395.16310627315,0.0,24395.16310627315,46026.8286,1.0
AGING,0.95,2971.3732638888887,230.04535887553402,3000.0,3000.0,24596.617690289353,0.0,24596.617690289353,46339.1705,1.0
AGING,0.999,2973.7219907407407,220.12056284146067,3000.0,3000.0,24601.65661732639,0.0,24601.65661732639,46362.0326,1.0
C_MU_RULE,0.8,1985.346412037037,152.4730896991035,2034.0,2020.0,22571.233892939817,0.0,22571.233892939817,44186.7852,1.0
C_MU_RULE,0.9,1995.5149305555556,134.71650472286504,2068.0,2043.6100000000006,22574.90318755787,0.0,22574.90318755787,44103.8894,1.0
C_MU_RULE,0.95,2007.6082175925926,128.08386751391743,2098.0,2073.0,22523.627221296298,0.0,22523.627221296298,44164.7777,1.0
C_MU_RULE,0.999,2076.6618055555555,143.77129712676654,2292.0,2261.220000000001,22544.21428877315,0.0,22544.21428877315,44534.5016,1.0
LONGEST_QUEUE,0.8,2962.478935185185,264.5993278128108,3000.0,3000.0,24508.59105951389,0.0,24508.59105951389,46393.6823,1.0
LONGEST_QUEUE,0.9,2968.0091435185186,245.95428799105318,3000.0,3000.0,24482.49976920139,0.0,24482.49976920139,46285.4578,1.0
LONGEST_QUEUE,0.95,2972.446296296296,228.51121174966113,3000.0,3000.0,24397.838098020835,0.0,24397.838098020835,46226.6104,1.0
LONGEST_QUEUE,0.999,2973.741550925926,222.27738580583937,3000.0,3000.0,24413.23489810185,0.0,24413.23489810185,46182.545,1.0
MAX_AVG_WAIT,0.8,1987.0601851851852,143.5305159000177,2030.0,2018.0,22664.423446354165,0.0,22664.423446354165,44299.4342,1.0
MAX_AVG_WAIT,0.9,1996.2530092592592,132.88497242187248,2084.0,2054.0,22488.051250520835,0.0,22488.051250520835,44027.0198,1.0
MAX_AVG_WAIT,0.95,2004.1623842592592,131.87948227099463,2113.0,2071.0,22576.106746041667,0.0,22576.106746041667,44206.4394,1.0
MAX_AVG_WAIT,0.999,2403.1012293501535,352.88160110547193,2736.0,2728.89214,22247.789596469906,0.0,22247.789596469906,43457.397,1.0
