feature,importance
little_error_abs,0.190366658078147
little_error,0.18023228869660818
little_error_sq,0.1505479982677234
q2_en,0.10498593345454017
total_occupancy,0.07655026038215383
system_en,0.05572838222798595
q0_en,0.03824403836839425
system_efficiency,0.030091525319034848
q2_lambda,0.0282492197942524
q1_en,0.026505346445851254
system_lambda,0.02370954479586286
stability_ratio,0.021022141389336727
q1_lambda,0.016709548684993237
arrival_rate_est,0.015913426826532216
q0_lambda,0.013534506790511786
queue_imbalance,0.01129937672658144
total_queue_load,0.008769472885998154
q0_len,0.006108893040695954
q2_len,0.0013793174024014996
q1_len,5.21204223947736e-05
