policy,metric,mean,std,median,q1,q3,cv
C_MU_RULE,system_en,22553.494647641783,12514.069863431676,22591.41455,11736.648325,33385.94745,0.5548616770210952
AGING,system_en,24472.191213888887,12651.561012460226,24599.0761,13724.265175,35385.060325,0.5169770414658665
LONGEST_QUEUE,system_en,24450.54095620949,12686.193213674776,24518.6593,13662.703725,35403.252325,0.5188512285219654
MAX_AVG_WAIT,system_en,22714.258881270107,11128.257488515324,23594.821450000003,14468.9021,30553.205,0.48992386439698554
OLDEST_PACKET,system_en,24391.92466818577,12633.833381910785,24473.8325,13637.800975,35296.115125000004,0.5179514758780418
ROUND_ROBIN,system_en,24472.278928891785,12658.931343625176,24588.15425,13718.064999999999,35399.180425,0.5172763590955505
SALLES_UTILITY,system_en,22499.443509719327,12448.175845116706,22512.2726,11765.682875,33267.439125000004,0.5532659436303865
SHORTEST_QUEUE,system_en,22504.565606377313,12507.71717433831,22407.50575,11690.80365,33424.898875,0.5557857633225368
STRICT_PRIORITY,system_en,22406.253520162034,12478.030100484866,22392.6512,11584.789,33209.066549999996,0.5568994427693921
WEIGHTED_ROUND_ROBIN,system_en,24346.350437552082,12610.225576122455,24420.15165,13629.77255,35227.70975,0.5179513704918315
WHITTLE_INDEX,system_en,24405.755753573496,12659.745375237258,24496.30125,13637.022,35335.389075,0.5187196619742004
C_MU_RULE,system_ew,0.0,0.0,0.0,0.0,0.0,0.0
AGING,system_ew,0.0,0.0,0.0,0.0,0.0,0.0
LONGEST_QUEUE,system_ew,0.0,0.0,0.0,0.0,0.0,0.0
MAX_AVG_WAIT,system_ew,0.0,0.0,0.0,0.0,0.0,0.0
OLDEST_PACKET,system_ew,0.0,0.0,0.0,0.0,0.0,0.0
ROUND_ROBIN,system_ew,0.0,0.0,0.0,0.0,0.0,0.0
SALLES_UTILITY,system_ew,0.0,0.0,0.0,0.0,0.0,0.0
SHORTEST_QUEUE,system_ew,0.0,0.0,0.0,0.0,0.0,0.0
STRICT_PRIORITY,system_ew,0.0,0.0,0.0,0.0,0.0,0.0
WEIGHTED_ROUND_ROBIN,system_ew,0.0,0.0,0.0,0.0,0.0,0.0
WHITTLE_INDEX,system_ew,0.0,0.0,0.0,0.0,0.0,0.0
C_MU_RULE,little_error_abs,22553.494647641783,12514.069863431676,22591.41455,11736.648325,33385.94745,0.5548616770210952
AGING,little_error_abs,24472.191213888887,12651.561012460226,24599.0761,13724.265175,35385.060325,0.5169770414658665
LONGEST_QUEUE,little_error_abs,24450.54095620949,12686.193213674776,24518.6593,13662.703725,35403.252325,0.5188512285219654
MAX_AVG_WAIT,little_error_abs,18187.8227193352,14064.670238007138,17112.8064,3651.9845,30553.205,0.7733014805714978
OLDEST_PACKET,little_error_abs,24391.92466818577,12633.833381910785,24473.8325,13637.800975,35296.115125000004,0.5179514758780418
ROUND_ROBIN,little_error_abs,24472.278928891785,12658.931343625176,24588.15425,13718.064999999999,35399.180425,0.5172763590955505
SALLES_UTILITY,little_error_abs,22499.443509719327,12448.175845116706,22512.2726,11765.682875,33267.439125000004,0.5532659436303865
SHORTEST_QUEUE,little_error_abs,22504.565606377313,12507.71717433831,22407.50575,11690.80365,33424.898875,0.5557857633225368
STRICT_PRIORITY,little_error_abs,22406.253520162034,12478.030100484866,22392.6512,11584.789,33209.066549999996,0.5568994427693921
WEIGHTED_ROUND_ROBIN,little_error_abs,24346.350437552082,12610.225576122455,24420.15165,13629.77255,35227.70975,0.5179513704918315
WHITTLE_INDEX,little_error_abs,24405.755753573496,12659.745375237258,24496.30125,13637.022,35335.389075,0.5187196619742004
C_MU_RULE,system_efficiency,22553494647.64178,12514069863.431675,22591414550.0,11736648325.0,33385947450.0,0.5548616770456972
AGING,system_efficiency,24472191213.88889,12651561012.460228,24599076100.0,13724265175.0,35385060325.0,0.5169770414869916
LONGEST_QUEUE,system_efficiency,24450540956.20949,12686193213.674776,24518659300.0,13662703725.0,35403252325.0,0.5188512285431858
MAX_AVG_WAIT,system_efficiency,22714258881.27011,11128257488.515326,23594821450.000004,14468902100.0,30553205000.000004,0.4899238644185545
OLDEST_PACKET,system_efficiency,24391924668.185764,12633833381.910786,24473832500.0,13637800975.0,35296115125.00001,0.5179514758992765
ROUND_ROBIN,system_efficiency,24472278928.89178,12658931343.625177,24588154250.0,13718065000.0,35399180425.00001,0.5172763591166878
SALLES_UTILITY,system_efficiency,22499443509.71933,12448175845.116707,22512272600.0,11765682875.000002,33267439125.000004,0.5532659436549767
SHORTEST_QUEUE,system_efficiency,22504565606.377316,12507717174.33831,22407505750.0,11690803650.000002,33424898875.0,0.5557857633472334
STRICT_PRIORITY,system_efficiency,22406253520.162037,12478030100.484867,22392651200.0,11584789000.0,33209066550.0,0.5568994427942467
WEIGHTED_ROUND_ROBIN,system_efficiency,24346350437.552082,12610225576.122456,24420151650.0,13629772550.000002,35227709750.0,0.5179513705131059
WHITTLE_INDEX,system_efficiency,24405755753.573494,12659745375.23726,24496301250.0,13637022000.000002,35335389075.00001,0.5187196619954545
