rho,metric,scenario_mean,scenario_std,scenario_min,scenario_max,confidence_lower,confidence_upper
0.8,system_en,23577.893549599114,12624.60820769132,4.6322,46393.6823,2177.8590149999995,44194.996987499995
0.8,system_ew,0.0,0.0,0.0,0.0,0.0,0.0
0.8,little_error,23577.893549599114,12624.60820769132,4.6322,46393.6823,2177.8590149999995,44194.996987499995
0.9,system_en,23575.817382906145,12615.571767716994,6.102,46365.4185,2321.2711675,44231.12914499999
0.9,system_ew,0.0,0.0,0.0,0.0,0.0,0.0
0.9,little_error,23575.817382906145,12615.571767716994,6.102,46365.4185,2321.2711675,44231.12914499999
0.95,system_en,23596.624063872052,12619.204773029063,7.5042,46339.1705,2325.9820799999998,44253.119727499994
0.95,system_ew,0.0,0.0,0.0,0.0,0.0,0.0
0.95,little_error,23596.624063872052,12619.204773029063,7.5042,46339.1705,2325.9820799999998,44253.119727499994
0.999,system_en,23444.060162272257,12036.68701191934,6.0659,46378.9284,2309.1209,44105.3265
0.999,system_ew,0.0,0.0,0.0,0.0,0.0,0.0
0.999,little_error,21558.01962802056,13543.941541792243,6.029,46378.9284,972.6707,44105.3265
