policy,rho,metric,trend_slope,trend_r_squared,trend_p_value,mean_value,std_value,autocorr_lag1
AGING,0.8,system_en,5.065143420938847,0.9993635707889779,0.0,24295.327441666668,12637.996788430326,0.9999999727031966
AGING,0.8,system_ew,0.0,0.0,1.0,0.0,0.0,
AGING,0.8,little_error,5.065143420938847,0.9993635707889779,0.0,24295.327441666668,12637.996788430326,0.9999999727031966
AGING,0.9,system_en,5.0563959489531,0.999420223863286,0.0,24395.16310627315,12615.81345975992,0.9999999707900824
AGING,0.9,system_ew,0.0,0.0,1.0,0.0,0.0,
AGING,0.9,little_error,5.0563959489531,0.999420223863286,0.0,24395.16310627315,12615.81345975992,0.9999999707900824
AGING,0.95,system_en,5.083675110444943,0.999381084879668,0.0,24596.617690289357,12684.12390550184,0.9999999709719627
AGING,0.95,system_ew,0.0,0.0,1.0,0.0,0.0,
AGING,0.95,little_error,5.083675110444943,0.999381084879668,0.0,24596.617690289357,12684.12390550184,0.9999999709719627
AGING,0.999,system_en,5.077202400053431,0.9994319996751103,0.0,24601.65661732639,12667.651360663305,0.9999999688846709
AGING,0.999,system_ew,0.0,0.0,1.0,0.0,0.0,
AGING,0.999,little_error,5.077202400053431,0.9994319996751103,0.0,24601.65661732639,12667.651360663305,0.9999999688846709
C_MU_RULE,0.8,system_en,5.012327301031969,0.9999662239429048,0.0,22571.233892939817,12502.446581009186,0.999999902085734
C_MU_RULE,0.8,system_ew,0.0,0.0,1.0,0.0,0.0,
C_MU_RULE,0.8,little_error,5.012327301031969,0.9999662239429048,0.0,22571.233892939817,12502.446581009186,0.999999902085734
C_MU_RULE,0.9,system_en,5.0034667730035185,0.9999648241979795,0.0,22574.90318755787,12480.354149838018,0.9999998327637757
C_MU_RULE,0.9,system_ew,0.0,0.0,1.0,0.0,0.0,
C_MU_RULE,0.9,little_error,5.0034667730035185,0.9999648241979795,0.0,22574.90318755787,12480.354149838018,0.9999998327637757
C_MU_RULE,0.95,system_en,5.006375585575282,0.9999665632189092,0.0,22523.627221296294,12487.598862889217,0.9999997407116082
C_MU_RULE,0.95,system_ew,0.0,0.0,1.0,0.0,0.0,
C_MU_RULE,0.95,little_error,5.006375585575282,0.9999665632189092,0.0,22523.627221296294,12487.598862889217,0.9999997407116082
C_MU_RULE,0.999,system_en,5.045906710749108,0.9997307249439115,0.0,22544.214288773153,12587.687364351921,0.9999993270845785
C_MU_RULE,0.999,system_ew,0.0,0.0,1.0,0.0,0.0,
C_MU_RULE,0.999,little_error,5.045906710749108,0.9997307249439115,0.0,22544.214288773153,12587.687364351921,0.9999993270845785
LONGEST_QUEUE,0.8,system_en,5.1098649815099755,0.999385111199335,0.0,24508.59105951389,12749.44377759569,0.99999997229248
LONGEST_QUEUE,0.8,system_ew,0.0,0.0,1.0,0.0,0.0,
LONGEST_QUEUE,0.8,little_error,5.1098649815099755,0.999385111199335,0.0,24508.59105951389,12749.44377759569,0.99999997229248
LONGEST_QUEUE,0.9,system_en,5.084679146961044,0.9994284888332718,0.0,24482.499769201393,12686.328172919248,0.9999999689336819
LONGEST_QUEUE,0.9,system_ew,0.0,0.0,1.0,0.0,0.0,
LONGEST_QUEUE,0.9,little_error,5.084679146961044,0.9994284888332718,0.0,24482.499769201393,12686.328172919248,0.9999999689336819
LONGEST_QUEUE,0.95,system_en,5.076870630605363,0.9995326467920328,0.0,24397.83809802083,12666.185840099013,0.9999999679518782
LONGEST_QUEUE,0.95,system_ew,0.0,0.0,1.0,0.0,0.0,
LONGEST_QUEUE,0.95,little_error,5.076870630605363,0.9995326467920328,0.0,24397.83809802083,12666.185840099013,0.9999999679518782
LONGEST_QUEUE,0.999,system_en,5.068170394866737,0.9995392255722668,0.0,24413.23489810185,12644.438179221457,0.9999999654210898
LONGEST_QUEUE,0.999,system_ew,0.0,0.0,1.0,0.0,0.0,
LONGEST_QUEUE,0.999,little_error,5.068170394866737,0.9995392255722668,0.0,24413.23489810185,12644.438179221457,0.9999999654210898
MAX_AVG_WAIT,0.8,system_en,5.018317998076416,0.999959418911926,0.0,22664.42344635416,12517.432006272655,0.9999999028148298
MAX_AVG_WAIT,0.8,system_ew,0.0,0.0,1.0,0.0,0.0,
MAX_AVG_WAIT,0.8,little_error,5.018317998076416,0.999959418911926,0.0,22664.42344635416,12517.432006272655,0.9999999028148298
MAX_AVG_WAIT,0.9,system_en,4.985954660126428,0.9999717134104525,0.0,22488.051250520835,12436.630121539929,0.9999998457384408
MAX_AVG_WAIT,0.9,system_ew,0.0,0.0,1.0,0.0,0.0,
MAX_AVG_WAIT,0.9,little_error,4.985954660126428,0.9999717134104525,0.0,22488.051250520835,12436.630121539929,0.9999998457384408
MAX_AVG_WAIT,0.95,system_en,5.007413761153771,0.9999637650384569,0.0,22576.106746041667,12490.20590045057,0.999999777499339
MAX_AVG_WAIT,0.95,system_ew,0.0,0.0,1.0,0.0,0.0,
MAX_AVG_WAIT,0.95,little_error,5.007413761153771,0.9999637650384569,0.0,22576.106746041667,12490.20590045057,0.999999777499339
MAX_AVG_WAIT,0.999,system_en,1.5382222788979805,0.7762338249806738,0.0,22921.344497595623,8709.909206882256,0.9999985216208502
MAX_AVG_WAIT,0.999,system_ew,0.0,0.0,1.0,0.0,0.0,
MAX_AVG_WAIT,0.999,little_error,1.5381870359843495,0.31211587438793365,0.0,11605.646989826975,13735.422739492195,0.9998574505019469
