policy,rho,stability_index,converged
AGING,0.8,0.007895675969608886,True
AGING,0.9,0.0056799970664175884,True
AGING,0.95,0.005012086522975134,True
AGING,0.999,0.0043938447706620256,True
C_MU_RULE,0.8,0.004991243645352507,True
C_MU_RULE,0.9,0.00343009665054504,True
C_MU_RULE,0.95,0.003667636589777552,True
C_MU_RULE,0.999,0.016302850643724404,True
LONGEST_QUEUE,0.8,0.007686826408445063,True
LONGEST_QUEUE,0.9,0.0060448571325619,True
LONGEST_QUEUE,0.95,0.004812618140955615,True
LONGEST_QUEUE,0.999,0.00449509737188215,True
MAX_AVG_WAIT,0.8,0.004282326381513406,True
MAX_AVG_WAIT,0.9,0.003298138569203795,True
MAX_AVG_WAIT,0.95,0.003748478604228422,True
MAX_AVG_WAIT,0.999,0.1110320414031156,False
OLDEST_PACKET,0.8,0.008265840658950582,True
OLDEST_PACKET,0.9,0.005793894088249858,True
OLDEST_PACKET,0.95,0.005134632834082166,True
OLDEST_PACKET,0.999,0.004375818044781242,True
ROUND_ROBIN,0.8,0.007881566841516854,True
ROUND_ROBIN,0.9,0.005662910935757021,True
ROUND_ROBIN,0.95,0.005622602862873089,True
ROUND_ROBIN,0.999,0.004338324866509619,True
SALLES_UTILITY,0.8,0.00442701402934184,True
SALLES_UTILITY,0.9,0.0033360089589558463,True
SALLES_UTILITY,0.95,0.0034070256611061123,True
SALLES_UTILITY,0.999,0.05993889796323312,False
SHORTEST_QUEUE,0.8,0.004770417774320378,True
SHORTEST_QUEUE,0.9,0.0034419063222208353,True
SHORTEST_QUEUE,0.95,0.004258758122251163,True
SHORTEST_QUEUE,0.999,0.031738051798317936,True
STRICT_PRIORITY,0.8,0.005271200592840885,True
STRICT_PRIORITY,0.9,0.003120259870400185,True
STRICT_PRIORITY,0.95,0.0036776851955142454,True
STRICT_PRIORITY,0.999,0.0730065855766393,False
WEIGHTED_ROUND_ROBIN,0.8,0.008122463792215876,True
WEIGHTED_ROUND_ROBIN,0.9,0.00609747949691871,True
WEIGHTED_ROUND_ROBIN,0.95,0.005379119704028676,True
WEIGHTED_ROUND_ROBIN,0.999,0.004812688468527642,True
WHITTLE_INDEX,0.8,0.008554500109607507,True
WHITTLE_INDEX,0.9,0.005683127327962008,True
WHITTLE_INDEX,0.95,0.005188875539367132,True
WHITTLE_INDEX,0.999,0.005302869471480609,True
