policy,rho,occupancyMean,occupancyStd,occupancyP95,occupancyP99,occupancyCI,avgWaitError,littleError,utilization,q0Mean,q1Mean,q2Mean
AGING,0.8,2911.9756078148403,49.96505326034574,2957.67518,2959.0526320000004,1.142684998771956,0.0,39.76578326752893,1.0,999.304424778761,999.2982981620149,999.2923076923076
AGING,0.9,2930.656417467665,39.2845971019558,2966.59168,2967.675572,0.8984263372501357,0.0,39.15884785568414,1.0,999.3982300884956,999.3989108236896,999.3967324710687
AGING,0.95,2934.039083498979,37.42390150306948,2968.26208,2969.297404,0.8558728161511961,0.0,39.32946268209667,1.0,999.4254594962559,999.4789652825051,999.4509189925119
AGING,0.999,2936.3737937236215,36.10935755187133,2969.40076,2970.400204,0.8258096108656706,0.0,39.5762522532335,1.0,999.4933968686181,999.5110959836624,999.4816882232811
LONGEST_QUEUE,0.8,2915.0665464533695,48.55868487704837,2959.4822400000003,2960.822608,1.110521797704915,0.0,69.30503881552076,1.0,999.2747447243022,999.5358747447243,999.7482641252553
LONGEST_QUEUE,0.9,2934.897811082369,37.15349735864636,2968.8829,2969.908248,0.8496887587096847,0.0,78.63950289993193,1.0,999.3726344452008,999.608985704561,999.7944179714091
LONGEST_QUEUE,0.95,2935.1642827229407,37.03397268654772,2969.038,2970.060904,0.8469552671813048,0.0,80.23966713410483,1.0,999.3823008849557,999.6291354663036,999.8255956432947
LONGEST_QUEUE,0.999,2942.489842641253,32.82033253351833,2972.51478,2973.41948,0.750590646733598,0.0,84.73563833900612,1.0,999.4253233492171,999.6690265486726,999.8450646698434
MAX_AVG_WAIT,0.8,2329.7308065622874,41.2238190564921,2366.6475,2367.33126,0.9427757313195465,0.0,983.1261753710007,1.0,697.5983662355344,700.404765146358,1000.0
MAX_AVG_WAIT,0.9,2401.99227724983,45.8567221856116,2440.1368,2441.4386080000004,1.0487287637084253,0.0,985.7297517631042,1.0,738.430224642614,1000.0,723.0559564329476
MAX_AVG_WAIT,0.95,2482.219112525527,67.60599838902723,2534.4148800000003,2537.68994,1.5461278462691552,0.0,987.1017734104834,1.0,748.2168822328115,798.0047651463581,1000.0
MAX_AVG_WAIT,0.999,2747.4055090061265,98.10544721008948,2875.06866,2879.618598,1.5864934934011752,0.0,987.067143151804,1.0,892.4266167460858,963.4129339686862,1000.0
OLDEST_PACKET,0.8,2915.0453662763784,48.1521483962546,2959.0973400000003,2960.4256760000003,1.1012244366944446,0.0,39.26106513274336,1.0,999.2887678692988,999.2660313138189,999.2740639891082
OLDEST_PACKET,0.9,2933.011253533016,37.919210490872786,2967.70448,2968.750004,0.8672003763795737,0.0,39.09259241660993,1.0,999.4019060585432,999.3982300884956,999.398638529612
OLDEST_PACKET,0.95,2937.672611341048,35.316022115567215,2969.97488,2970.942792,0.8076662798193442,0.0,39.32039172226004,1.0,999.4571817562968,999.4654867256637,999.4657590197413
OLDEST_PACKET,0.999,2941.3665662219196,33.215448280114536,2971.74826,2972.6673800000003,0.7596268191570459,0.0,39.30007801225323,1.0,999.4744724302246,999.4869979577944,999.5015656909462
ROUND_ROBIN,0.8,2917.4034241660993,47.07893279763591,2960.46242,2961.759652,1.0766803346679281,0.0,38.85620349897889,1.0,999.4517358747447,999.4471068754254,999.4333560245065
ROUND_ROBIN,0.9,2930.5829867937373,39.56968335729984,2966.7784,2967.870016,0.9049461699348982,0.0,38.88736933968686,1.0,999.5283866575902,999.5444520081688,999.5490810074881
ROUND_ROBIN,0.95,2937.093438761062,35.84188169234208,2969.8795999999998,2970.868048,0.8196925223755008,0.0,38.715056283185845,1.0,999.5712729748128,999.5767188563649,999.5705922396188
ROUND_ROBIN,0.999,2938.1808178080328,35.259744763622095,2970.43716,2971.410792,0.806379234541959,0.0,38.51132373042886,1.0,999.5967324710688,999.6083049693669,999.5915588835943
SHORTEST_QUEUE,0.8,1966.690746167461,21.184005670813324,1986.087,1986.691228,0.4844715238829674,0.0,973.3923048332199,1.0,3.8385296119809396,999.3094622191967,1000.0
SHORTEST_QUEUE,0.9,1978.1917415384617,17.785797407288598,1994.72558,1995.348044,0.40675557339269885,0.0,982.8148283866576,1.0,9.34009530292716,999.7629680054458,1000.0
SHORTEST_QUEUE,0.95,1990.2311758883593,14.880573198343122,2004.29864,2005.556384,0.3403140126415295,0.0,985.1304634309054,1.0,999.8622191967324,17.52430224642614,1000.0
SHORTEST_QUEUE,0.999,2134.6115693533015,56.57652600642724,2216.12936,2220.278184,1.2938872938514092,0.0,987.3056608168823,1.0,1000.0,264.0473791695031,1000.0
STRICT_PRIORITY,0.8,1965.1680020285908,21.994217044697635,1985.4084799999998,1986.0405640000001,0.5030008022959778,0.0,983.1506901701838,1.0,3.8396187882913546,999.2980258679373,1000.0
STRICT_PRIORITY,0.9,1977.1863192920355,18.052732136652,1993.57036,1994.000972,0.4128602864068524,0.0,985.1582649829816,1.0,8.254458815520762,999.7477195371001,1000.0
STRICT_PRIORITY,0.95,1994.357833097345,13.950468513383102,2006.4262,2006.624568,0.3190428120434704,0.0,986.9560981892444,1.0,17.704833219877468,999.8739278420694,1000.0
STRICT_PRIORITY,0.999,2119.7237133424096,21.271988159094516,2150.91932,2152.576016,0.4864836556222649,0.0,987.1641250510551,1.0,106.21620149761743,999.9851599727706,1000.0
