time,sample_idx,total_occupancy,arrival_rate_est,q0_len,q1_len,q2_len,server_busy,q0_EN,q0_EW,q0_lambda,q1_EN,q1_EW,q1_lambda,q2_EN,q2_EW,q2_lambda,system_EN,system_EW,system_lambda,little_error,system_state_id,active_policy
10.0000,1,18,2.8500,8,3,7,1,6.1406,0.0000,1.4000,0.6770,0.0000,0.3000,4.7331,0.0000,1.1000,11.5507,0.0000,2.8000,11.5507,10,0
20.0000,2,34,2.8500,13,13,8,1,9.9513,0.0000,1.0500,4.2480,0.0000,0.7500,7.6240,0.0000,0.7000,21.8232,0.0000,2.5000,21.8232,13,0
30.0000,3,50,2.8500,22,20,8,1,16.7936,0.0000,1.2000,9.8464,0.0000,0.8000,8.7944,0.0000,0.6000,35.4344,0.0000,2.6000,35.4344,14,0
40.0000,4,72,2.8500,36,23,13,1,21.0440,0.0000,1.3000,12.4071,0.0000,0.7500,13.2512,0.0000,0.6000,46.7023,0.0000,2.6500,46.7023,17,0
50.0000,5,99,2.8500,44,31,24,1,30.0019,0.0000,1.2600,16.2182,0.0000,0.8200,16.3549,0.0000,0.7200,62.5751,0.0000,2.8000,62.5751,26,0
60.0000,6,120,2.8500,51,37,32,1,34.2464,0.0000,1.2000,22.3039,0.0000,0.8500,20.3057,0.0000,0.7500,76.8561,0.0000,2.8000,76.8561,26,0
70.0000,7,140,2.8500,60,44,36,1,42.2944,0.0000,1.1857,27.3757,0.0000,0.8429,23.1138,0.0000,0.7143,92.7839,0.0000,2.7429,92.7839,26,0
80.0000,8,154,2.8500,59,52,43,1,47.4143,0.0000,1.0750,31.8834,0.0000,0.8875,27.0863,0.0000,0.7250,106.3841,0.0000,2.6875,106.3841,26,0
90.0000,9,171,2.8500,63,59,49,1,51.7277,0.0000,1.0444,33.5820,0.0000,0.8778,31.3388,0.0000,0.7444,116.6485,0.0000,2.6667,116.6485,26,0
100.0000,10,180,2.8500,65,62,53,1,56.0549,0.0000,1.0300,39.3163,0.0000,0.8700,35.0032,0.0000,0.7100,130.3743,0.0000,2.6100,130.3743,26,0
110.0000,11,199,2.8500,67,70,62,1,61.4892,0.0000,1.0455,46.1268,0.0000,0.8909,38.1419,0.0000,0.7364,145.7579,0.0000,2.6727,145.7579,26,0
120.0000,12,223,2.8500,74,77,72,1,66.6263,0.0000,1.0667,50.9253,0.0000,0.9083,42.5241,0.0000,0.8083,160.0758,0.0000,2.7833,160.0758,26,0
130.0000,13,246,2.8500,82,82,82,1,68.6959,0.0000,1.0615,54.5676,0.0000,0.9000,47.7499,0.0000,0.8615,171.0134,0.0000,2.8231,171.0134,26,0
140.0000,14,254,2.8500,85,81,88,1,74.7861,0.0000,1.0429,60.2139,0.0000,0.8714,52.1557,0.0000,0.8643,187.1558,0.0000,2.7786,187.1558,26,0
150.0000,15,285,2.8500,93,95,97,1,81.4229,0.0000,1.0400,64.0856,0.0000,0.9067,57.8217,0.0000,0.8867,203.3302,0.0000,2.8333,203.3302,26,0
160.0000,16,308,2.8500,108,100,100,1,86.3408,0.0000,1.0813,67.6825,0.0000,0.8875,61.7777,0.0000,0.8688,215.8009,0.0000,2.8375,215.8009,26,0
170.0000,17,327,2.8500,116,104,107,1,92.5165,0.0000,1.1059,73.7560,0.0000,0.8882,66.1495,0.0000,0.8765,232.4221,0.0000,2.8706,232.4221,26,0
