time,sample_idx,total_occupancy,arrival_rate_est,q0_len,q1_len,q2_len,server_busy,q0_EN,q0_EW,q0_lambda,q1_EN,q1_EW,q1_lambda,q2_EN,q2_EW,q2_lambda,system_EN,system_EW,system_lambda,little_error,system_state_id,active_policy
10.0000,1,23,2.8500,9,6,8,1,7.4683,0.0000,1.8000,1.9681,0.0000,0.6000,2.8099,0.0000,0.8000,12.2464,0.0000,3.2000,12.2464,13,0
20.0000,2,37,2.8500,4,15,18,1,13.9604,0.0000,1.3000,7.4050,0.0000,0.7500,7.0671,0.0000,0.9000,28.4325,0.0000,2.9500,28.4325,12,0
30.0000,3,52,2.8500,5,24,23,1,20.2126,0.0000,1.1667,9.2399,0.0000,0.8000,12.3133,0.0000,0.7667,41.7658,0.0000,2.7333,41.7658,24,0
40.0000,4,76,2.8500,13,32,31,1,24.9728,0.0000,1.2000,15.6399,0.0000,0.8000,16.0110,0.0000,0.7750,56.6237,0.0000,2.7750,56.6237,25,0
50.0000,5,89,2.8500,14,42,33,1,27.7857,0.0000,1.1200,18.2609,0.0000,0.8400,18.3070,0.0000,0.6600,64.3537,0.0000,2.6200,64.3537,25,0
60.0000,6,103,2.8500,12,51,40,1,33.9325,0.0000,1.0667,24.7226,0.0000,0.8500,21.2584,0.0000,0.6667,79.9135,0.0000,2.5833,79.9135,25,0
70.0000,7,125,2.8500,12,61,52,1,39.8412,0.0000,1.0571,28.9344,0.0000,0.8714,24.8465,0.0000,0.7429,93.6221,0.0000,2.6714,93.6221,25,0
80.0000,8,144,2.8500,5,75,64,1,42.5028,0.0000,1.0125,34.3865,0.0000,0.9375,29.4822,0.0000,0.8000,106.3716,0.0000,2.7500,106.3716,24,0
90.0000,9,169,2.8500,3,90,76,1,48.9616,0.0000,0.9778,38.2034,0.0000,1.0000,33.7708,0.0000,0.8444,120.9358,0.0000,2.8222,120.9358,24,0
100.0000,10,186,2.8500,5,100,81,1,51.8355,0.0000,0.9700,45.1762,0.0000,1.0000,37.2185,0.0000,0.8100,134.2302,0.0000,2.7800,134.2302,24,0
110.0000,11,210,2.8500,8,112,90,1,57.0587,0.0000,0.9909,50.5877,0.0000,1.0182,41.1925,0.0000,0.8182,148.8389,0.0000,2.8273,148.8389,25,0
120.0000,12,225,2.8500,8,119,98,1,62.3124,0.0000,1.0000,55.4162,0.0000,0.9917,45.3633,0.0000,0.8167,163.0919,0.0000,2.8083,163.0919,25,0
130.0000,13,248,2.8500,18,123,107,1,67.0406,0.0000,1.0231,60.3022,0.0000,0.9462,51.4254,0.0000,0.8231,178.7682,0.0000,2.7923,178.7682,25,0
140.0000,14,269,2.8500,16,135,118,1,72.3369,0.0000,1.0143,64.6609,0.0000,0.9643,55.8197,0.0000,0.8429,192.8175,0.0000,2.8214,192.8175,25,0
150.0000,15,296,2.8500,17,146,133,1,73.4983,0.0000,0.9933,69.9549,0.0000,0.9733,60.4524,0.0000,0.8867,203.9056,0.0000,2.8533,203.9056,25,0
160.0000,16,324,2.8500,22,158,144,1,81.7487,0.0000,1.0188,74.4183,0.0000,0.9875,65.2639,0.0000,0.9000,221.4309,0.0000,2.9062,221.4309,26,0
170.0000,17,344,2.8500,17,171,156,1,87.0099,0.0000,1.0000,79.4816,0.0000,1.0059,69.6524,0.0000,0.9176,236.1440,0.0000,2.9235,236.1440,25,0
180.0000,18,370,2.8500,24,183,163,1,92.3015,0.0000,1.0278,86.2681,0.0000,1.0167,74.8336,0.0000,0.9056,253.4032,0.0000,2.9500,253.4032,26,0
190.0000,19,393,2.8500,23,194,176,1,96.2382,0.0000,1.0211,91.9416,0.0000,1.0211,79.4185,0.0000,0.9263,267.5983,0.0000,2.9684,267.5983,26,0
200.0000,20,409,2.8500,23,201,185,1,102.4385,0.0000,1.0100,97.0413,0.0000,1.0050,85.0424,0.0000,0.9250,284.5222,0.0000,2.9400,284.5222,26,0
210.0000,21,432,2.8500,23,213,196,1,105.6852,0.0000,0.9952,102.2483,0.0000,1.0143,89.6102,0.0000,0.9333,297.5437,0.0000,2.9429,297.5437,26,0
220.0000,22,448,2.8500,20,224,204,1,110.6193,0.0000,0.9909,106.6641,0.0000,1.0182,93.2871,0.0000,0.9273,310.5705,0.0000,2.9364,310.5705,25,0
230.0000,23,469,2.8500,19,235,215,1,116.7375,0.0000,1.0043,112.4030,0.0000,1.0217,99.5579,0.0000,0.9348,328.6984,0.0000,2.9609,328.6984,25,0
240.0000,24,491,2.8500,19,247,225,1,121.3465,0.0000,1.0042,117.6455,0.0000,1.0292,103.4057,0.0000,0.9375,342.3977,0.0000,2.9708,342.3977,25,0
250.0000,25,506,2.8500,17,255,234,1,125.8170,0.0000,0.9960,123.0268,0.0000,1.0200,109.5053,0.0000,0.9360,358.3491,0.0000,2.9520,358.3491,25,0
260.0000,26,528,2.8500,22,262,244,1,131.8534,0.0000,1.0077,123.9879,0.0000,1.0077,113.6610,0.0000,0.9385,369.5023,0.0000,2.9538,369.5023,26,0
270.0000,27,548,2.8500,25,275,248,1,136.0876,0.0000,1.0111,133.3667,0.0000,1.0185,116.7321,0.0000,0.9185,386.1864,0.0000,2.9481,386.1864,26,0
280.0000,28,558,2.8500,25,279,254,1,141.3205,0.0000,1.0250,138.7781,0.0000,0.9964,124.6774,0.0000,0.9071,404.7760,0.0000,2.9286,404.7760,26,0
290.0000,29,578,2.8500,25,287,266,1,145.2830,0.0000,1.0241,143.5550,0.0000,0.9897,128.0399,0.0000,0.9172,416.8779,0.0000,2.9310,416.8779,26,0
300.0000,30,587,2.8500,20,293,274,1,151.8284,0.0000,1.0133,148.3570,0.0000,0.9767,132.1408,0.0000,0.9133,432.3262,0.0000,2.9033,432.3262,25,0
310.0000,31,600,2.8500,16,302,282,1,156.6791,0.0000,1.0032,151.7276,0.0000,0.9742,137.2049,0.0000,0.9097,445.6116,0.0000,2.8871,445.6116,25,0
320.0000,32,619,2.8500,13,310,296,1,161.9261,0.0000,0.9906,157.1862,0.0000,0.9688,143.0741,0.0000,0.9250,462.1865,0.0000,2.8844,462.1865,25,0
330.0000,33,636,2.8500,6,323,307,1,164.7672,0.0000,0.9818,162.6422,0.0000,0.9788,147.7861,0.0000,0.9303,475.1955,0.0000,2.8909,475.1955,25,0
340.0000,34,662,2.8500,11,330,321,1,171.1288,0.0000,0.9912,165.4695,0.0000,0.9706,152.1717,0.0000,0.9441,488.7700,0.0000,2.9059,488.7700,25,0
350.0000,35,677,2.8500,12,337,328,1,172.6878,0.0000,0.9857,172.0444,0.0000,0.9629,153.9063,0.0000,0.9371,498.6385,0.0000,2.8857,498.6385,25,0
360.0000,36,694,2.8500,9,345,340,1,180.3510,0.0000,0.9861,175.7649,0.0000,0.9583,162.0672,0.0000,0.9444,518.1831,0.0000,2.8889,518.1831,25,0
370.0000,37,709,2.8500,10,349,350,1,185.6392,0.0000,0.9838,179.1935,0.0000,0.9432,166.5654,0.0000,0.9459,531.3982,0.0000,2.8730,531.3982,25,0
380.0000,38,726,2.8500,10,357,359,1,190.9988,0.0000,0.9868,186.1537,0.0000,0.9395,170.8132,0.0000,0.9447,547.9657,0.0000,2.8711,547.9657,25,0
390.0000,39,749,2.8500,12,364,373,1,195.3386,0.0000,0.9846,190.2097,0.0000,0.9333,175.7281,0.0000,0.9564,561.2764,0.0000,2.8744,561.2764,25,0
400.0000,40,772,2.8500,16,375,381,1,200.4171,0.0000,0.9875,194.5278,0.0000,0.9375,182.3271,0.0000,0.9525,577.2719,0.0000,2.8775,577.2719,25,0
410.0000,41,795,2.8500,18,381,396,1,205.1400,0.0000,0.9951,199.6556,0.0000,0.9293,187.5491,0.0000,0.9659,592.3446,0.0000,2.8902,592.3446,25,0
420.0000,42,819,2.8500,20,392,407,1,209.6704,0.0000,0.9929,204.0663,0.0000,0.9333,191.4335,0.0000,0.9690,605.1701,0.0000,2.8952,605.1701,25,0
430.0000,43,835,2.8500,18,399,418,1,215.2185,0.0000,0.9930,207.3049,0.0000,0.9279,196.9899,0.0000,0.9721,619.5133,0.0000,2.8930,619.5133,25,0
440.0000,44,856,2.8500,22,407,427,1,220.1814,0.0000,0.9864,213.1795,0.0000,0.9250,200.4100,0.0000,0.9705,633.7710,0.0000,2.8818,633.7710,26,0
450.0000,45,880,2.8500,24,420,436,1,225.1026,0.0000,0.9889,217.2579,0.0000,0.9333,207.4852,0.0000,0.9689,649.8457,0.0000,2.8911,649.8457,26,0
460.0000,46,904,2.8500,21,433,450,1,227.1974,0.0000,0.9870,221.8020,0.0000,0.9413,212.9540,0.0000,0.9783,661.9534,0.0000,2.9065,661.9534,26,0
470.0000,47,928,2.8500,20,443,465,1,234.2348,0.0000,0.9936,226.5307,0.0000,0.9426,217.6427,0.0000,0.9894,678.4082,0.0000,2.9255,678.4082,25,0
480.0000,48,956,2.8500,26,457,473,1,239.4997,0.0000,1.0021,231.1837,0.0000,0.9521,222.6907,0.0000,0.9854,693.3741,0.0000,2.9396,693.3741,26,0
490.0000,49,970,2.8500,24,467,479,1,244.4971,0.0000,0.9959,235.7022,0.0000,0.9531,228.4276,0.0000,0.9776,708.6269,0.0000,2.9265,708.6269,26,0
500.0000,50,988,2.8500,20,479,489,1,249.9377,0.0000,0.9940,240.5854,0.0000,0.9580,233.5177,0.0000,0.9780,724.0408,0.0000,2.9300,724.0408,25,0
510.0000,51,1004,2.8500,19,490,495,1,253.9055,0.0000,0.9843,245.1724,0.0000,0.9608,236.7933,0.0000,0.9706,735.8712,0.0000,2.9157,735.8712,25,0
520.0000,52,1025,2.8500,19,504,502,1,259.6142,0.0000,0.9808,249.6505,0.0000,0.9692,241.1973,0.0000,0.9654,750.4620,0.0000,2.9154,750.4620,25,0
530.0000,53,1037,2.8500,15,509,513,1,264.2069,0.0000,0.9811,253.1805,0.0000,0.9604,248.2620,0.0000,0.9679,765.6493,0.0000,2.9094,765.6493,25,0
540.0000,54,1060,2.8500,19,515,526,1,268.6894,0.0000,0.9852,257.2905,0.0000,0.9537,252.8926,0.0000,0.9741,778.8725,0.0000,2.9130,778.8725,25,0
550.0000,55,1085,2.8500,23,524,538,1,273.6730,0.0000,0.9873,264.1078,0.0000,0.9527,257.5646,0.0000,0.9782,795.3454,0.0000,2.9182,795.3454,26,0
560.0000,56,1099,2.8500,22,532,545,1,278.0742,0.0000,0.9875,268.1136,0.0000,0.9500,262.8637,0.0000,0.9732,809.0515,0.0000,2.9107,809.0515,26,0
570.0000,57,1106,2.8500,18,540,548,1,283.8389,0.0000,0.9825,272.3481,0.0000,0.9474,268.5336,0.0000,0.9614,824.7206,0.0000,2.8912,824.7206,25,0
580.0000,58,1129,2.8500,18,555,556,1,288.6573,0.0000,0.9845,278.6970,0.0000,0.9569,273.6169,0.0000,0.9586,840.9712,0.0000,2.9000,840.9712,25,0
590.0000,59,1143,2.8500,11,563,569,1,291.4398,0.0000,0.9746,282.9843,0.0000,0.9542,277.8231,0.0000,0.9644,852.2472,0.0000,2.8932,852.2472,25,0
600.0000,60,1157,2.8500,0,576,581,1,295.1037,0.0000,0.9667,287.4867,0.0000,0.9600,282.0088,0.0000,0.9683,864.5992,0.0000,2.8950,864.5992,24,0
610.0000,61,1181,2.8500,4,588,589,1,303.0921,0.0000,0.9672,292.9429,0.0000,0.9672,285.9511,0.0000,0.9656,881.9860,0.0000,2.9000,881.9860,24,0
620.0000,62,1197,2.8500,5,594,598,1,307.3480,0.0000,0.9677,296.2205,0.0000,0.9613,288.8056,0.0000,0.9645,892.3741,0.0000,2.8935,892.3741,24,0
630.0000,63,1208,2.8500,0,604,604,1,309.2980,0.0000,0.9651,300.9402,0.0000,0.9619,297.9803,0.0000,0.9587,908.2185,0.0000,2.8857,908.2185,24,0
640.0000,64,1227,2.8500,6,613,608,1,316.8246,0.0000,0.9719,306.4927,0.0000,0.9609,302.2836,0.0000,0.9500,925.6009,0.0000,2.8828,925.6009,25,0
650.0000,65,1240,2.8500,1,620,619,1,321.9164,0.0000,0.9662,310.4732,0.0000,0.9615,307.5040,0.0000,0.9523,939.8936,0.0000,2.8800,939.8936,24,0
660.0000,66,1262,2.8500,3,624,635,1,325.2559,0.0000,0.9636,315.8974,0.0000,0.9591,312.1565,0.0000,0.9621,953.3097,0.0000,2.8848,953.3097,24,0
670.0000,67,1284,2.8500,10,633,641,1,331.1672,0.0000,0.9746,320.3887,0.0000,0.9582,317.3965,0.0000,0.9567,968.9524,0.0000,2.8896,968.9524,25,0
680.0000,68,1298,2.8500,7,641,650,1,335.9718,0.0000,0.9750,326.7267,0.0000,0.9559,318.6684,0.0000,0.9559,981.3669,0.0000,2.8868,981.3669,25,0
690.0000,69,1307,2.8500,5,646,656,1,338.6951,0.0000,0.9739,326.9063,0.0000,0.9493,327.1992,0.0000,0.9507,992.8006,0.0000,2.8739,992.8006,24,0
700.0000,70,1322,2.8500,3,654,665,1,345.5156,0.0000,0.9700,335.0454,0.0000,0.9486,331.4211,0.0000,0.9500,1011.9821,0.0000,2.8686,1011.9821,24,0
710.0000,71,1341,2.8500,1,663,677,1,350.4013,0.0000,0.9676,340.5840,0.0000,0.9521,336.6797,0.0000,0.9535,1027.6649,0.0000,2.8732,1027.6649,24,0
720.0000,72,1371,2.8500,6,677,688,1,354.8057,0.0000,0.9750,344.8911,0.0000,0.9583,340.1147,0.0000,0.9556,1039.8116,0.0000,2.8889,1039.8116,25,0
730.0000,73,1388,2.8500,6,684,698,1,360.1494,0.0000,0.9753,348.4184,0.0000,0.9548,346.0000,0.0000,0.9562,1054.5677,0.0000,2.8863,1054.5677,25,0
740.0000,74,1397,2.8500,0,693,704,1,363.2416,0.0000,0.9757,354.2161,0.0000,0.9541,351.1637,0.0000,0.9514,1068.6214,0.0000,2.8811,1068.6214,24,0
750.0000,75,1406,2.8500,1,695,710,1,367.9175,0.0000,0.9707,359.7532,0.0000,0.9493,355.4512,0.0000,0.9467,1083.1220,0.0000,2.8667,1083.1220,24,0
760.0000,76,1413,2.8500,1,695,717,1,374.2899,0.0000,0.9684,364.4474,0.0000,0.9500,360.4217,0.0000,0.9434,1099.1589,0.0000,2.8618,1099.1589,24,0
770.0000,77,1437,2.8500,1,707,729,1,378.9243,0.0000,0.9675,368.5653,0.0000,0.9558,365.3145,0.0000,0.9468,1112.8041,0.0000,2.8701,1112.8041,24,0
780.0000,78,1449,2.8500,0,712,737,1,382.8279,0.0000,0.9679,372.0531,0.0000,0.9564,367.8243,0.0000,0.9449,1122.7052,0.0000,2.8692,1122.7052,24,0
790.0000,79,1473,2.8500,8,715,750,1,388.4832,0.0000,0.9759,377.8985,0.0000,0.9506,374.1850,0.0000,0.9494,1140.5666,0.0000,2.8759,1140.5666,25,0
