time,sample_idx,total_occupancy,arrival_rate_est,q0_len,q1_len,q2_len,server_busy,q0_EN,q0_EW,q0_lambda,q1_EN,q1_EW,q1_lambda,q2_EN,q2_EW,q2_lambda,system_EN,system_EW,system_lambda,little_error,system_state_id,active_policy
10.0000,1,18,2.7000,4,7,7,1,1.6202,0.0000,0.4000,4.3433,0.0000,1.0000,5.4204,0.0000,1.2000,11.3839,0.0000,2.6000,11.3839,12,0
20.0000,2,42,2.7000,14,13,15,1,5.9342,0.0000,0.8000,7.8600,0.0000,0.9000,12.1051,0.0000,1.2000,25.8993,0.0000,2.9000,25.8993,13,0
30.0000,3,55,2.7000,18,19,18,1,10.1134,0.0000,0.8000,13.0940,0.0000,0.8667,15.3911,0.0000,1.1000,38.5985,0.0000,2.7667,38.5985,13,0
40.0000,4,72,2.7000,23,25,24,1,14.2394,0.0000,0.7500,16.9642,0.0000,0.9000,21.9698,0.0000,1.0250,53.1734,0.0000,2.6750,53.1734,26,0
50.0000,5,93,2.7000,31,31,31,1,18.7314,0.0000,0.8200,21.6225,0.0000,0.9000,26.2704,0.0000,1.0200,66.6243,0.0000,2.7400,66.6243,26,0
60.0000,6,103,2.7000,34,35,34,1,22.7192,0.0000,0.8000,26.0861,0.0000,0.9167,28.9236,0.0000,0.9333,77.7289,0.0000,2.6500,77.7289,26,0
70.0000,7,112,2.7000,34,39,39,1,24.5135,0.0000,0.7143,30.4940,0.0000,0.9000,34.9709,0.0000,0.9143,89.9784,0.0000,2.5286,89.9784,26,0
80.0000,8,133,2.7000,43,44,46,1,29.6512,0.0000,0.7500,35.7078,0.0000,0.9375,39.2342,0.0000,0.9000,104.5933,0.0000,2.5875,104.5933,26,0
90.0000,9,157,2.7000,51,52,54,1,32.8800,0.0000,0.8111,40.1252,0.0000,0.9222,43.7600,0.0000,0.9556,116.7652,0.0000,2.6889,116.7652,26,0
100.0000,10,163,2.7000,53,55,55,1,35.9444,0.0000,0.7800,45.0894,0.0000,0.9200,47.7748,0.0000,0.9400,128.8087,0.0000,2.6400,128.8087,26,0
