time,sample_idx,total_occupancy,arrival_rate_est,q0_len,q1_len,q2_len,server_busy,q0_EN,q0_EW,q0_lambda,q1_EN,q1_EW,q1_lambda,q2_EN,q2_EW,q2_lambda,system_EN,system_EW,system_lambda,little_error,system_state_id,active_policy
10.0000,1,12,2.8500,1,4,7,1,1.5097,0.0000,0.4000,2.7184,0.0000,0.7000,3.7781,0.0000,1.0000,8.0062,0.0000,2.1000,8.0062,9,0
20.0000,2,34,2.8500,1,13,20,1,3.8595,0.0000,0.5500,7.1827,0.0000,0.9000,8.8124,0.0000,1.1500,19.8546,0.0000,2.6000,19.8546,12,0
30.0000,3,61,2.8500,7,27,27,1,9.7653,0.0000,0.9000,12.5909,0.0000,1.0667,14.4781,0.0000,1.0000,36.8344,0.0000,2.9667,36.8344,25,0
40.0000,4,73,2.8500,10,32,31,1,15.5949,0.0000,1.0000,16.3963,0.0000,0.9250,15.2981,0.0000,0.8500,47.2892,0.0000,2.7750,47.2892,25,0
50.0000,5,85,2.8500,7,38,40,1,21.4862,0.0000,1.0600,22.6979,0.0000,0.8600,20.7194,0.0000,0.8600,64.9035,0.0000,2.7800,64.9035,25,0
60.0000,6,104,2.8500,8,45,51,1,27.3461,0.0000,1.1167,26.2498,0.0000,0.8333,26.7227,0.0000,0.9000,80.3186,0.0000,2.8500,80.3186,25,0
70.0000,7,120,2.8500,11,51,58,1,34.0764,0.0000,1.0857,30.3370,0.0000,0.8000,30.8812,0.0000,0.8714,95.2946,0.0000,2.7571,95.2946,25,0
80.0000,8,139,2.8500,15,57,67,1,39.8694,0.0000,1.0875,33.4934,0.0000,0.7750,35.2672,0.0000,0.8750,108.6300,0.0000,2.7375,108.6300,25,0
90.0000,9,149,2.8500,10,61,78,1,42.3601,0.0000,1.0333,32.5825,0.0000,0.7333,39.4036,0.0000,0.9000,114.3462,0.0000,2.6667,114.3462,25,0
100.0000,10,168,2.8500,16,69,83,1,51.2030,0.0000,1.0700,40.2635,0.0000,0.7400,44.0400,0.0000,0.8600,135.5065,0.0000,2.6700,135.5065,25,0
110.0000,11,182,2.8500,17,77,88,1,56.6646,0.0000,1.1000,43.6434,0.0000,0.7455,48.5641,0.0000,0.8273,148.8721,0.0000,2.6727,148.8721,25,0
120.0000,12,207,2.8500,20,86,101,1,62.7157,0.0000,1.1250,46.9174,0.0000,0.7583,51.7277,0.0000,0.8667,161.3607,0.0000,2.7500,161.3607,25,0
130.0000,13,227,2.8500,20,94,113,1,68.4363,0.0000,1.1154,50.5491,0.0000,0.7615,56.6511,0.0000,0.8923,175.6365,0.0000,2.7692,175.6365,25,0
140.0000,14,247,2.8500,24,100,123,1,72.6785,0.0000,1.1143,54.5877,0.0000,0.7500,61.3781,0.0000,0.9000,188.6444,0.0000,2.7643,188.6444,26,0
150.0000,15,271,2.8500,29,106,136,1,80.0738,0.0000,1.1333,56.1712,0.0000,0.7400,65.6977,0.0000,0.9267,201.9427,0.0000,2.8000,201.9427,26,0
160.0000,16,280,2.8500,23,112,145,1,85.0458,0.0000,1.1125,60.3966,0.0000,0.7312,71.1313,0.0000,0.9250,216.5738,0.0000,2.7687,216.5738,26,0
170.0000,17,301,2.8500,24,118,159,1,91.1199,0.0000,1.0765,64.8729,0.0000,0.7235,74.4256,0.0000,0.9529,230.4184,0.0000,2.7529,230.4184,26,0
180.0000,18,316,2.8500,21,130,165,1,95.4272,0.0000,1.0722,68.6234,0.0000,0.7500,81.0027,0.0000,0.9333,245.0532,0.0000,2.7556,245.0532,26,0
190.0000,19,342,2.8500,29,139,174,1,101.9687,0.0000,1.0842,70.9756,0.0000,0.7579,85.0344,0.0000,0.9316,257.9788,0.0000,2.7737,257.9788,26,0
200.0000,20,362,2.8500,32,150,180,1,107.1145,0.0000,1.0700,75.4423,0.0000,0.7750,89.0527,0.0000,0.9150,271.6095,0.0000,2.7600,271.6095,26,0
210.0000,21,391,2.8500,38,162,191,1,112.6417,0.0000,1.0810,78.5690,0.0000,0.7952,95.0828,0.0000,0.9238,286.2935,0.0000,2.8000,286.2935,26,0
220.0000,22,413,2.8500,41,172,200,1,116.8636,0.0000,1.0909,83.9503,0.0000,0.8045,99.5754,0.0000,0.9227,300.3893,0.0000,2.8182,300.3893,26,0
230.0000,23,430,2.8500,42,177,211,1,123.7738,0.0000,1.0870,86.6749,0.0000,0.7913,103.5170,0.0000,0.9304,313.9657,0.0000,2.8087,313.9657,26,0
240.0000,24,444,2.8500,41,187,216,1,123.7019,0.0000,1.0542,92.2574,0.0000,0.8000,108.5482,0.0000,0.9125,324.5075,0.0000,2.7667,324.5075,26,0
250.0000,25,453,2.8500,33,198,222,1,133.4585,0.0000,1.0360,96.5298,0.0000,0.8120,112.7378,0.0000,0.9000,342.7261,0.0000,2.7480,342.7261,26,0
260.0000,26,471,2.8500,28,208,235,1,135.8906,0.0000,1.0077,101.0688,0.0000,0.8192,116.9514,0.0000,0.9154,353.9109,0.0000,2.7423,353.9109,26,0
270.0000,27,488,2.8500,25,218,245,1,141.5663,0.0000,1.0037,104.5545,0.0000,0.8259,121.7111,0.0000,0.9185,367.8319,0.0000,2.7481,367.8319,26,0
280.0000,28,506,2.8500,23,229,254,1,148.0394,0.0000,0.9964,109.7089,0.0000,0.8357,127.4307,0.0000,0.9179,385.1790,0.0000,2.7500,385.1790,26,0
290.0000,29,524,2.8500,23,236,265,1,153.6002,0.0000,0.9931,112.3690,0.0000,0.8310,131.8797,0.0000,0.9241,397.8489,0.0000,2.7483,397.8489,26,0
300.0000,30,538,2.8500,21,242,275,1,157.5007,0.0000,0.9833,117.2284,0.0000,0.8233,136.5286,0.0000,0.9267,411.2577,0.0000,2.7333,411.2577,26,0
310.0000,31,570,2.8500,24,258,288,1,162.6375,0.0000,0.9871,122.7018,0.0000,0.8484,141.5564,0.0000,0.9387,426.8957,0.0000,2.7742,426.8957,26,0
