time,sample_idx,total_occupancy,arrival_rate_est,q0_len,q1_len,q2_len,server_busy,q0_EN,q0_EW,q0_lambda,q1_EN,q1_EW,q1_lambda,q2_EN,q2_EW,q2_lambda,system_EN,system_EW,system_lambda,little_error,system_state_id,active_policy
10.0000,1,18,2.7000,5,4,9,1,2.6671,0.0000,0.9000,2.3897,0.0000,0.6000,2.9496,0.0000,1.0000,8.0064,0.0000,2.5000,8.0064,9,0
20.0000,2,35,2.7000,9,12,14,1,8.1978,0.0000,0.8500,5.1761,0.0000,0.8000,7.1684,0.0000,0.9500,20.5423,0.0000,2.6000,20.5423,13,0
30.0000,3,67,2.7000,20,25,22,1,10.5540,0.0000,0.9667,10.1009,0.0000,1.0000,13.3218,0.0000,1.0333,33.9766,0.0000,3.0000,33.9766,25,0
40.0000,4,86,2.7000,32,32,22,1,20.6151,0.0000,1.1250,15.9241,0.0000,0.9750,18.9574,0.0000,0.9500,55.4966,0.0000,3.0500,55.4966,26,0
50.0000,5,104,2.7000,38,34,32,1,25.2186,0.0000,1.1000,21.6925,0.0000,0.9600,23.5698,0.0000,1.0200,70.4808,0.0000,3.0800,70.4808,26,0
60.0000,6,114,2.7000,36,40,38,1,31.5133,0.0000,1.0333,27.1253,0.0000,0.9833,28.2959,0.0000,0.9667,86.9345,0.0000,2.9833,86.9345,26,0
70.0000,7,138,2.7000,52,44,42,1,36.8457,0.0000,1.1286,31.4548,0.0000,0.9571,32.8501,0.0000,0.9143,101.1506,0.0000,3.0000,101.1506,26,0
80.0000,8,159,2.7000,57,55,47,1,41.3314,0.0000,1.0750,34.7037,0.0000,0.9750,36.8018,0.0000,0.9000,112.8369,0.0000,2.9500,112.8369,26,0
90.0000,9,166,2.7000,66,53,47,1,48.1639,0.0000,1.0778,41.6853,0.0000,0.9444,42.1194,0.0000,0.8889,131.9686,0.0000,2.9111,131.9686,26,0
100.0000,10,193,2.7000,70,64,59,1,50.2241,0.0000,1.0300,47.1392,0.0000,0.9600,46.0932,0.0000,0.9300,143.4566,0.0000,2.9200,143.4566,26,0
110.0000,11,210,2.7000,73,73,64,1,58.1501,0.0000,1.0091,52.1613,0.0000,0.9727,49.8736,0.0000,0.9000,160.1850,0.0000,2.8818,160.1850,26,0
120.0000,12,230,2.7000,79,78,73,1,62.0283,0.0000,1.0250,56.4869,0.0000,0.9667,55.1320,0.0000,0.9083,173.6472,0.0000,2.9000,173.6472,26,0
130.0000,13,245,2.7000,82,83,80,1,68.0987,0.0000,0.9846,60.8810,0.0000,0.9615,59.9915,0.0000,0.9231,188.9713,0.0000,2.8692,188.9713,26,0
140.0000,14,254,2.7000,85,85,84,1,69.0559,0.0000,0.9571,66.7731,0.0000,0.9357,64.4140,0.0000,0.9357,200.2429,0.0000,2.8286,200.2429,26,0
150.0000,15,269,2.7000,87,87,95,1,76.9015,0.0000,0.9467,70.3895,0.0000,0.8933,68.9482,0.0000,0.9733,216.2393,0.0000,2.8133,216.2393,26,0
160.0000,16,291,2.7000,95,89,107,1,78.0013,0.0000,0.9500,75.1230,0.0000,0.8688,73.9909,0.0000,1.0000,227.1153,0.0000,2.8188,227.1153,26,0
170.0000,17,306,2.7000,98,97,111,1,83.1536,0.0000,0.9294,78.5218,0.0000,0.8882,77.3711,0.0000,0.9882,239.0465,0.0000,2.8059,239.0465,26,0
180.0000,18,316,2.7000,103,97,116,1,88.9562,0.0000,0.9278,80.9820,0.0000,0.8722,83.5694,0.0000,0.9778,253.5076,0.0000,2.7778,253.5076,26,0
190.0000,19,326,2.7000,104,100,122,1,91.2361,0.0000,0.9211,87.1986,0.0000,0.8579,89.5427,0.0000,0.9684,267.9773,0.0000,2.7474,267.9774,26,0
200.0000,20,332,2.7000,102,104,126,1,94.1488,0.0000,0.9050,90.7794,0.0000,0.8550,93.2996,0.0000,0.9500,278.2278,0.0000,2.7100,278.2278,26,0
210.0000,21,345,2.7000,109,105,131,1,102.2163,0.0000,0.9095,95.2143,0.0000,0.8571,99.2823,0.0000,0.9381,296.7130,0.0000,2.7048,296.7130,26,0
220.0000,22,371,2.7000,121,113,137,1,106.4803,0.0000,0.9364,98.5344,0.0000,0.8682,102.7114,0.0000,0.9364,307.7261,0.0000,2.7409,307.7261,26,0
230.0000,23,393,2.7000,129,124,140,1,111.3922,0.0000,0.9435,103.4226,0.0000,0.8826,104.5435,0.0000,0.9304,319.3583,0.0000,2.7565,319.3583,26,0
240.0000,24,410,2.7000,132,132,146,1,115.8326,0.0000,0.9333,107.2058,0.0000,0.8917,112.6940,0.0000,0.9375,335.7324,0.0000,2.7625,335.7324,26,0
250.0000,25,437,2.7000,138,145,154,1,120.2048,0.0000,0.9400,111.4248,0.0000,0.9240,117.4962,0.0000,0.9360,349.1259,0.0000,2.8000,349.1259,26,0
260.0000,26,461,2.7000,148,149,164,1,124.8566,0.0000,0.9538,117.0604,0.0000,0.9154,122.7287,0.0000,0.9500,364.6457,0.0000,2.8192,364.6458,26,0
270.0000,27,485,2.7000,155,155,175,1,128.4367,0.0000,0.9556,121.7963,0.0000,0.9185,126.7356,0.0000,0.9704,376.9686,0.0000,2.8444,376.9686,26,0
280.0000,28,503,2.7000,163,160,180,1,134.5453,0.0000,0.9571,126.2846,0.0000,0.9179,132.8643,0.0000,0.9750,393.6942,0.0000,2.8500,393.6942,26,0
290.0000,29,516,2.7000,171,161,184,1,139.4322,0.0000,0.9586,128.3527,0.0000,0.9103,136.1658,0.0000,0.9621,403.9507,0.0000,2.8310,403.9507,26,0
300.0000,30,529,2.7000,177,168,184,1,143.4329,0.0000,0.9667,133.7195,0.0000,0.9167,142.1909,0.0000,0.9433,419.3433,0.0000,2.8267,419.3433,26,0
310.0000,31,547,2.7000,182,176,189,1,147.3500,0.0000,0.9613,140.4467,0.0000,0.9258,143.8251,0.0000,0.9419,431.6219,0.0000,2.8290,431.6219,26,0
320.0000,32,566,2.7000,190,184,192,1,152.3901,0.0000,0.9656,144.9877,0.0000,0.9250,151.5680,0.0000,0.9344,448.9459,0.0000,2.8250,448.9459,26,0
330.0000,33,594,2.7000,201,189,204,1,158.2772,0.0000,0.9818,149.6658,0.0000,0.9242,156.5613,0.0000,0.9455,464.5043,0.0000,2.8515,464.5043,26,0
340.0000,34,611,2.7000,208,199,204,1,163.8021,0.0000,0.9824,154.3760,0.0000,0.9412,160.8699,0.0000,0.9353,479.0480,0.0000,2.8588,479.0480,26,0
350.0000,35,625,2.7000,216,203,206,1,165.6911,0.0000,0.9800,159.0324,0.0000,0.9371,164.9827,0.0000,0.9286,489.7063,0.0000,2.8457,489.7062,26,0
360.0000,36,657,2.7000,222,215,220,1,172.7823,0.0000,0.9750,164.1730,0.0000,0.9472,170.4156,0.0000,0.9500,507.3708,0.0000,2.8722,507.3708,26,0
370.0000,37,675,2.7000,228,221,226,1,178.1433,0.0000,0.9703,168.0940,0.0000,0.9378,175.1189,0.0000,0.9459,521.3562,0.0000,2.8541,521.3562,26,0
380.0000,38,685,2.7000,235,225,225,1,183.3258,0.0000,0.9711,171.8036,0.0000,0.9316,179.0477,0.0000,0.9342,534.1771,0.0000,2.8368,534.1771,26,0
390.0000,39,703,2.7000,246,230,227,1,188.6863,0.0000,0.9872,178.2728,0.0000,0.9256,183.1749,0.0000,0.9256,550.1339,0.0000,2.8385,550.1339,26,0
400.0000,40,718,2.7000,250,240,228,1,191.7788,0.0000,0.9750,182.8004,0.0000,0.9275,188.6462,0.0000,0.9200,563.2254,0.0000,2.8225,563.2255,26,0
410.0000,41,739,2.7000,261,242,236,1,198.2072,0.0000,0.9829,186.8033,0.0000,0.9195,191.9919,0.0000,0.9341,577.0024,0.0000,2.8366,577.0024,26,0
420.0000,42,753,2.7000,268,254,231,1,202.8608,0.0000,0.9786,192.6845,0.0000,0.9286,197.5461,0.0000,0.9238,593.0914,0.0000,2.8310,593.0914,26,0
430.0000,43,772,2.7000,275,262,235,1,207.0612,0.0000,0.9837,197.2762,0.0000,0.9256,202.4147,0.0000,0.9140,606.7521,0.0000,2.8233,606.7521,26,0
440.0000,44,802,2.7000,282,272,248,1,212.2534,0.0000,0.9864,201.3026,0.0000,0.9295,206.9774,0.0000,0.9250,620.5334,0.0000,2.8409,620.5334,26,0
450.0000,45,819,2.7000,291,275,253,1,217.6528,0.0000,0.9844,205.5883,0.0000,0.9267,211.0232,0.0000,0.9289,634.2642,0.0000,2.8400,634.2642,26,0
