time,sample_idx,total_occupancy,arrival_rate_est,q0_len,q1_len,q2_len,server_busy,q0_EN,q0_EW,q0_lambda,q1_EN,q1_EW,q1_lambda,q2_EN,q2_EW,q2_lambda,system_EN,system_EW,system_lambda,little_error,system_state_id,active_policy
10.0000,1,17,2.8500,4,5,8,1,3.6952,0.0000,0.9000,3.8159,0.0000,0.9000,5.6918,0.0000,1.3000,13.2029,0.0000,3.1000,13.2029,9,0
20.0000,2,36,2.8500,13,11,12,1,9.0819,0.0000,1.0500,7.5940,0.0000,0.9500,10.8222,0.0000,1.0000,27.4981,0.0000,3.0000,27.4981,13,0
30.0000,3,67,2.8500,29,19,19,1,15.1781,0.0000,1.3333,13.6112,0.0000,1.0000,15.5963,0.0000,1.0333,44.3856,0.0000,3.3667,44.3856,14,0
40.0000,4,89,2.8500,37,26,26,1,23.7135,0.0000,1.2250,18.9778,0.0000,0.9500,20.6818,0.0000,0.9750,63.3731,0.0000,3.1500,63.3731,26,0
50.0000,5,104,2.8500,44,28,32,1,28.4622,0.0000,1.2000,23.6171,0.0000,0.8800,25.8354,0.0000,0.9800,77.9147,0.0000,3.0600,77.9147,26,0
60.0000,6,108,2.8500,43,28,37,1,35.0928,0.0000,1.1000,26.8407,0.0000,0.8500,29.7733,0.0000,1.0000,91.7068,0.0000,2.9500,91.7068,26,0
70.0000,7,123,2.8500,43,35,45,1,39.7775,0.0000,0.9857,31.2963,0.0000,0.8714,35.7300,0.0000,1.0143,106.8038,0.0000,2.8714,106.8038,26,0
80.0000,8,144,2.8500,51,41,52,1,43.9793,0.0000,0.9875,34.9969,0.0000,0.8500,40.1846,0.0000,1.0000,119.1607,0.0000,2.8375,119.1607,26,0
90.0000,9,166,2.8500,65,47,54,1,47.0385,0.0000,1.0667,39.3379,0.0000,0.8667,43.1333,0.0000,0.9556,129.5097,0.0000,2.8889,129.5097,26,0
100.0000,10,172,2.8500,68,48,56,1,51.2975,0.0000,1.0400,38.9719,0.0000,0.8400,48.8787,0.0000,0.9300,139.1482,0.0000,2.8100,139.1482,26,0
110.0000,11,187,2.8500,72,58,57,1,58.9857,0.0000,1.0091,48.3468,0.0000,0.8818,50.2930,0.0000,0.8818,157.6254,0.0000,2.7727,157.6254,26,0
120.0000,12,199,2.8500,79,60,60,1,62.8858,0.0000,1.0083,52.7253,0.0000,0.8417,57.4383,0.0000,0.8500,173.0495,0.0000,2.7000,173.0495,26,0
130.0000,13,227,2.8500,87,73,67,1,67.8270,0.0000,1.0077,57.0629,0.0000,0.8923,60.7847,0.0000,0.8538,185.6746,0.0000,2.7538,185.6746,26,0
140.0000,14,256,2.8500,94,84,78,1,72.2616,0.0000,1.0000,60.7016,0.0000,0.9286,65.5265,0.0000,0.8857,198.4897,0.0000,2.8143,198.4897,26,0
150.0000,15,273,2.8500,101,91,81,1,76.7099,0.0000,1.0067,64.4293,0.0000,0.9333,68.9618,0.0000,0.8733,210.1011,0.0000,2.8133,210.1011,26,0
160.0000,16,295,2.8500,106,99,90,1,81.6412,0.0000,0.9938,71.6243,0.0000,0.9500,73.2675,0.0000,0.9000,226.5329,0.0000,2.8438,226.5329,26,0
170.0000,17,312,2.8500,108,105,99,1,85.8167,0.0000,0.9765,76.4989,0.0000,0.9529,78.2833,0.0000,0.9235,240.5988,0.0000,2.8529,240.5988,26,0
