time,sample_idx,total_occupancy,arrival_rate_est,q0_len,q1_len,q2_len,server_busy,q0_EN,q0_EW,q0_lambda,q1_EN,q1_EW,q1_lambda,q2_EN,q2_EW,q2_lambda,system_EN,system_EW,system_lambda,little_error,system_state_id,active_policy
10.0000,1,16,2.8500,3,6,7,1,5.6148,0.0000,1.1000,2.5771,0.0000,0.8000,2.8832,0.0000,0.7000,11.0751,0.0000,2.6000,11.0751,12,0
20.0000,2,43,2.8500,6,21,16,1,11.1805,0.0000,1.0500,9.2328,0.0000,1.1500,6.5991,0.0000,0.8000,27.0124,0.0000,3.0000,27.0124,16,0
30.0000,3,62,2.8500,0,34,28,1,13.3825,0.0000,0.8667,16.7245,0.0000,1.3333,12.0867,0.0000,0.9333,42.1938,0.0000,3.1333,42.1938,24,0
40.0000,4,72,2.8500,1,35,36,1,19.3266,0.0000,0.9250,21.2976,0.0000,1.1500,16.9717,0.0000,0.9000,57.5959,0.0000,2.9750,57.5959,24,0
50.0000,5,91,2.8500,1,47,43,1,23.0476,0.0000,0.9400,27.6342,0.0000,1.1800,21.3137,0.0000,0.8600,71.9955,0.0000,2.9800,71.9955,24,0
60.0000,6,103,2.8500,3,52,48,1,28.3072,0.0000,0.8500,34.0256,0.0000,1.1833,23.1370,0.0000,0.8000,85.4698,0.0000,2.8333,85.4697,24,0
70.0000,7,125,2.8500,5,60,60,1,32.0817,0.0000,0.8571,37.0122,0.0000,1.1286,29.5135,0.0000,0.8571,98.6073,0.0000,2.8429,98.6073,24,0
80.0000,8,130,2.8500,0,63,67,1,34.4033,0.0000,0.7875,45.7397,0.0000,1.0750,32.5645,0.0000,0.8375,112.7074,0.0000,2.7000,112.7074,24,0
90.0000,9,152,2.8500,5,74,73,1,39.4149,0.0000,0.8667,50.5273,0.0000,1.0778,37.1378,0.0000,0.8111,127.0800,0.0000,2.7556,127.0799,24,0
100.0000,10,170,2.8500,3,83,84,1,43.5537,0.0000,0.8500,55.1820,0.0000,1.0600,41.5453,0.0000,0.8400,140.2810,0.0000,2.7500,140.2810,24,0
110.0000,11,192,2.8500,4,90,98,1,47.8660,0.0000,0.8727,57.8797,0.0000,1.0273,44.3921,0.0000,0.8909,150.1378,0.0000,2.7909,150.1378,24,0
120.0000,12,201,2.8500,3,93,105,1,50.9305,0.0000,0.8500,63.6842,0.0000,1.0167,50.7751,0.0000,0.8750,165.3898,0.0000,2.7417,165.3898,24,0
130.0000,13,225,2.8500,9,104,112,1,56.3541,0.0000,0.9000,69.7594,0.0000,1.0231,54.7147,0.0000,0.8615,180.8282,0.0000,2.7846,180.8282,25,0
140.0000,14,239,2.8500,6,110,123,1,60.3498,0.0000,0.8786,75.0227,0.0000,0.9929,58.6774,0.0000,0.8786,194.0498,0.0000,2.7500,194.0498,25,0
150.0000,15,273,2.8500,16,121,136,1,63.4573,0.0000,0.9267,79.6222,0.0000,1.0000,63.8548,0.0000,0.9067,206.9343,0.0000,2.8333,206.9343,25,0
160.0000,16,288,2.8500,11,135,142,1,69.6199,0.0000,0.9125,82.9346,0.0000,1.0250,68.7317,0.0000,0.8875,221.2863,0.0000,2.8250,221.2863,25,0
170.0000,17,305,2.8500,10,144,151,1,74.8730,0.0000,0.9059,88.9425,0.0000,1.0176,71.3044,0.0000,0.8882,235.1199,0.0000,2.8118,235.1199,25,0
180.0000,18,333,2.8500,16,156,161,1,79.0343,0.0000,0.9167,93.9731,0.0000,1.0278,77.0646,0.0000,0.8944,250.0720,0.0000,2.8389,250.0720,25,0
190.0000,19,349,2.8500,9,171,169,1,83.9866,0.0000,0.8947,97.8679,0.0000,1.0526,81.6176,0.0000,0.8895,263.4721,0.0000,2.8368,263.4721,25,0
200.0000,20,379,2.8500,13,184,182,1,88.4572,0.0000,0.8950,104.0560,0.0000,1.0650,87.0924,0.0000,0.9100,279.6056,0.0000,2.8700,279.6056,25,0
210.0000,21,391,2.8500,8,196,187,1,91.8694,0.0000,0.8857,109.4541,0.0000,1.0714,91.3525,0.0000,0.8905,292.6760,0.0000,2.8476,292.6760,25,0
220.0000,22,416,2.8500,14,206,196,1,97.1506,0.0000,0.9000,115.6347,0.0000,1.0682,95.0813,0.0000,0.8909,307.8666,0.0000,2.8591,307.8666,25,0
230.0000,23,434,2.8500,10,215,209,1,101.4255,0.0000,0.9130,119.2635,0.0000,1.0609,100.8443,0.0000,0.9087,321.5333,0.0000,2.8826,321.5333,25,0
240.0000,24,454,2.8500,7,225,222,1,106.8705,0.0000,0.9208,126.4101,0.0000,1.0583,105.2637,0.0000,0.9250,338.5443,0.0000,2.9042,338.5443,25,0
250.0000,25,467,2.8500,6,230,231,1,111.0552,0.0000,0.9240,131.5834,0.0000,1.0360,109.7006,0.0000,0.9240,352.3392,0.0000,2.8840,352.3392,25,0
260.0000,26,492,2.8500,11,244,237,1,116.1565,0.0000,0.9346,136.7213,0.0000,1.0500,113.6293,0.0000,0.9115,366.5071,0.0000,2.8962,366.5071,25,0
270.0000,27,508,2.8500,7,253,248,1,118.7116,0.0000,0.9259,141.9134,0.0000,1.0444,119.9161,0.0000,0.9185,380.5411,0.0000,2.8889,380.5411,25,0
280.0000,28,533,2.8500,6,264,263,1,124.3852,0.0000,0.9250,146.0023,0.0000,1.0464,124.0163,0.0000,0.9393,394.4038,0.0000,2.9107,394.4038,25,0
290.0000,29,545,2.8500,9,270,266,1,130.6809,0.0000,0.9379,151.6456,0.0000,1.0310,127.4663,0.0000,0.9172,409.7928,0.0000,2.8862,409.7928,25,0
300.0000,30,569,2.8500,6,282,281,1,135.5005,0.0000,0.9433,156.1121,0.0000,1.0367,134.0635,0.0000,0.9367,425.6760,0.0000,2.9167,425.6760,25,0
310.0000,31,597,2.8500,16,290,291,1,140.2619,0.0000,0.9710,161.7421,0.0000,1.0290,138.8224,0.0000,0.9387,440.8265,0.0000,2.9387,440.8264,25,0
320.0000,32,606,2.8500,11,298,297,1,145.7171,0.0000,0.9625,166.6864,0.0000,1.0219,144.1381,0.0000,0.9281,456.5416,0.0000,2.9125,456.5416,25,0
330.0000,33,617,2.8500,9,303,305,1,150.8346,0.0000,0.9667,172.3128,0.0000,1.0061,147.8086,0.0000,0.9242,470.9559,0.0000,2.8970,470.9559,25,0
340.0000,34,634,2.8500,7,312,315,1,155.2934,0.0000,0.9618,176.5514,0.0000,1.0029,153.6182,0.0000,0.9265,485.4629,0.0000,2.8912,485.4630,25,0
350.0000,35,659,2.8500,8,327,324,1,160.2788,0.0000,0.9714,181.0960,0.0000,1.0171,157.7556,0.0000,0.9257,499.1304,0.0000,2.9143,499.1304,25,0
360.0000,36,680,2.8500,6,337,337,1,162.0156,0.0000,0.9639,186.6128,0.0000,1.0167,162.2513,0.0000,0.9361,510.8797,0.0000,2.9167,510.8797,25,0
370.0000,37,699,2.8500,5,348,346,1,166.7624,0.0000,0.9568,191.9537,0.0000,1.0189,167.9579,0.0000,0.9351,526.6741,0.0000,2.9108,526.6741,24,0
