time,sample_idx,total_occupancy,arrival_rate_est,q0_len,q1_len,q2_len,server_busy,q0_EN,q0_EW,q0_lambda,q1_EN,q1_EW,q1_lambda,q2_EN,q2_EW,q2_lambda,system_EN,system_EW,system_lambda,little_error,system_state_id,active_policy
10.0000,1,9,2.7000,0,6,3,1,2.2600,0.0000,0.6000,2.4574,0.0000,0.7000,4.1159,0.0000,1.1000,8.8333,0.0000,2.4000,8.8333,3,0
20.0000,2,22,2.7000,4,8,10,1,6.2906,0.0000,0.7500,5.1050,0.0000,0.4500,8.8733,0.0000,0.9500,20.2688,0.0000,2.1500,20.2688,12,0
30.0000,3,40,2.7000,7,15,18,1,10.3980,0.0000,0.8667,7.0278,0.0000,0.5333,12.5468,0.0000,0.9000,29.9726,0.0000,2.3000,29.9726,13,0
40.0000,4,58,2.7000,4,26,28,1,16.1981,0.0000,0.9250,10.2758,0.0000,0.6750,18.1783,0.0000,0.9250,44.6521,0.0000,2.5250,44.6521,24,0
50.0000,5,82,2.7000,5,37,40,1,20.6177,0.0000,0.9400,14.9025,0.0000,0.7600,22.0914,0.0000,0.9800,57.6116,0.0000,2.6800,57.6116,24,0
60.0000,6,88,2.7000,2,37,49,1,25.7179,0.0000,0.8667,19.4991,0.0000,0.7667,27.3903,0.0000,0.9667,72.6074,0.0000,2.6000,72.6074,24,0
70.0000,7,114,2.7000,8,49,57,1,30.4429,0.0000,0.9143,23.7566,0.0000,0.8286,31.5266,0.0000,0.9429,85.7261,0.0000,2.6857,85.7261,25,0
80.0000,8,114,2.7000,0,50,64,1,33.3011,0.0000,0.8375,27.9254,0.0000,0.8000,35.0934,0.0000,0.9125,96.3199,0.0000,2.5500,96.3199,24,0
90.0000,9,128,2.7000,4,54,70,1,38.3701,0.0000,0.8667,32.9059,0.0000,0.7667,41.5075,0.0000,0.8778,112.7836,0.0000,2.5111,112.7836,24,0
100.0000,10,148,2.7000,2,65,81,1,42.3488,0.0000,0.8700,37.0548,0.0000,0.8000,44.7915,0.0000,0.9000,124.1952,0.0000,2.5700,124.1952,24,0
110.0000,11,152,2.7000,0,64,88,1,46.8971,0.0000,0.8545,41.0652,0.0000,0.7727,50.3846,0.0000,0.8818,138.3469,0.0000,2.5091,138.3469,24,0
120.0000,12,162,2.7000,1,65,96,1,50.5853,0.0000,0.8750,44.9490,0.0000,0.7667,53.8987,0.0000,0.8750,149.4330,0.0000,2.5167,149.4330,24,0
130.0000,13,182,2.7000,2,74,106,1,54.3296,0.0000,0.8769,48.8330,0.0000,0.7846,58.3346,0.0000,0.8846,161.4972,0.0000,2.5462,161.4972,24,0
140.0000,14,202,2.7000,1,82,119,1,59.8570,0.0000,0.8643,50.9394,0.0000,0.7857,63.3761,0.0000,0.9143,174.1725,0.0000,2.5643,174.1725,24,0
150.0000,15,210,2.7000,0,83,127,1,64.7520,0.0000,0.8867,51.9475,0.0000,0.7467,67.5684,0.0000,0.9067,184.2678,0.0000,2.5400,184.2678,24,0
160.0000,16,231,2.7000,4,91,136,1,69.2660,0.0000,0.9062,58.6233,0.0000,0.7500,70.9948,0.0000,0.9062,198.8842,0.0000,2.5625,198.8842,24,0
170.0000,17,237,2.7000,3,96,138,1,74.4089,0.0000,0.9059,64.2288,0.0000,0.7353,75.6528,0.0000,0.8647,214.2906,0.0000,2.5059,214.2906,24,0
180.0000,18,251,2.7000,0,103,148,1,76.2616,0.0000,0.8833,67.9200,0.0000,0.7556,79.2226,0.0000,0.8722,223.4042,0.0000,2.5111,223.4042,24,0
190.0000,19,259,2.7000,0,105,154,1,82.2461,0.0000,0.8737,72.0327,0.0000,0.7737,85.1417,0.0000,0.8579,239.4205,0.0000,2.5053,239.4205,24,0
200.0000,20,269,2.7000,1,110,158,1,85.9971,0.0000,0.8750,74.6827,0.0000,0.7650,88.1834,0.0000,0.8350,248.8632,0.0000,2.4750,248.8632,24,0
210.0000,21,287,2.7000,3,112,172,1,91.7390,0.0000,0.8952,79.4485,0.0000,0.7762,92.9395,0.0000,0.8619,264.1269,0.0000,2.5333,264.1269,24,0
220.0000,22,294,2.7000,3,114,177,1,96.7084,0.0000,0.8864,81.8829,0.0000,0.7545,96.3450,0.0000,0.8455,274.9363,0.0000,2.4864,274.9363,24,0
230.0000,23,309,2.7000,4,120,185,1,99.8080,0.0000,0.8826,86.6750,0.0000,0.7478,99.5568,0.0000,0.8435,286.0397,0.0000,2.4739,286.0397,24,0
240.0000,24,328,2.7000,3,128,197,1,105.2406,0.0000,0.8792,90.2150,0.0000,0.7542,104.4998,0.0000,0.8583,299.9553,0.0000,2.4917,299.9553,24,0
250.0000,25,355,2.7000,4,141,210,1,109.7221,0.0000,0.8880,94.4250,0.0000,0.7760,109.0325,0.0000,0.8760,313.1796,0.0000,2.5400,313.1796,24,0
