time,sample_idx,total_occupancy,arrival_rate_est,q0_len,q1_len,q2_len,server_busy,q0_EN,q0_EW,q0_lambda,q1_EN,q1_EW,q1_lambda,q2_EN,q2_EW,q2_lambda,system_EN,system_EW,system_lambda,little_error,system_state_id,active_policy
10.0000,1,17,2.4000,1,6,10,1,1.1200,0.0000,0.5000,2.2084,0.0000,1.1000,5.5108,0.0000,1.2000,8.8392,0.0000,2.8000,8.8392,12,0
20.0000,2,26,2.4000,0,10,16,1,2.6804,0.0000,0.4000,9.3370,0.0000,1.0500,8.5822,0.0000,0.9000,20.5997,0.0000,2.3500,20.5997,12,0
30.0000,3,42,2.4000,0,18,24,1,6.0133,0.0000,0.6667,14.9717,0.0000,1.0667,14.0273,0.0000,0.8667,35.0123,0.0000,2.6000,35.0123,21,0
40.0000,4,47,2.4000,0,18,29,1,10.5483,0.0000,0.6000,19.5784,0.0000,1.0000,17.0013,0.0000,0.7750,47.1280,0.0000,2.3750,47.1280,21,0
50.0000,5,57,2.4000,2,24,31,1,13.9304,0.0000,0.6200,24.6541,0.0000,1.0000,19.0031,0.0000,0.6600,57.5876,0.0000,2.2800,57.5876,24,0
60.0000,6,69,2.4000,1,31,37,1,17.4694,0.0000,0.6833,29.2797,0.0000,0.9500,23.4482,0.0000,0.6500,70.1973,0.0000,2.2833,70.1973,24,0
70.0000,7,78,2.4000,0,30,48,1,19.2185,0.0000,0.6571,33.8342,0.0000,0.9000,25.9738,0.0000,0.7143,79.0266,0.0000,2.2714,79.0266,24,0
80.0000,8,89,2.4000,0,33,56,1,23.1246,0.0000,0.6500,36.1849,0.0000,0.8750,29.1098,0.0000,0.7250,88.4192,0.0000,2.2500,88.4192,24,0
90.0000,9,104,2.4000,5,36,63,1,27.5842,0.0000,0.6667,41.2260,0.0000,0.8556,33.1423,0.0000,0.7222,101.9525,0.0000,2.2444,101.9525,24,0
100.0000,10,117,2.4000,2,42,73,1,31.5712,0.0000,0.6800,45.6777,0.0000,0.8300,36.5537,0.0000,0.7500,113.8026,0.0000,2.2600,113.8026,24,0
110.0000,11,128,2.4000,0,47,81,1,34.8330,0.0000,0.7091,49.3162,0.0000,0.8182,39.3887,0.0000,0.7545,123.5379,0.0000,2.2818,123.5379,24,0
120.0000,12,145,2.4000,3,52,90,1,39.2569,0.0000,0.7333,52.9902,0.0000,0.8333,44.2042,0.0000,0.7667,136.4513,0.0000,2.3333,136.4513,24,0
130.0000,13,166,2.4000,5,62,99,1,42.9241,0.0000,0.7231,56.8146,0.0000,0.8462,47.0923,0.0000,0.7769,146.8310,0.0000,2.3462,146.8310,24,0
140.0000,14,178,2.4000,0,70,108,1,46.0399,0.0000,0.7143,60.5161,0.0000,0.8571,51.4832,0.0000,0.7857,158.0392,0.0000,2.3571,158.0392,24,0
150.0000,15,192,2.4000,3,76,113,1,51.0712,0.0000,0.7600,64.4638,0.0000,0.8467,55.3499,0.0000,0.7667,170.8849,0.0000,2.3733,170.8849,24,0
160.0000,16,202,2.4000,3,81,118,1,54.5837,0.0000,0.7500,69.4098,0.0000,0.8313,59.8700,0.0000,0.7500,183.8635,0.0000,2.3312,183.8635,24,0
170.0000,17,212,2.4000,4,85,123,1,58.4437,0.0000,0.7471,72.9886,0.0000,0.8118,63.9554,0.0000,0.7353,195.3877,0.0000,2.2941,195.3877,24,0
180.0000,18,229,2.4000,3,93,133,1,63.2401,0.0000,0.7667,76.8865,0.0000,0.8111,67.5353,0.0000,0.7500,207.6619,0.0000,2.3278,207.6619,24,0
190.0000,19,238,2.4000,0,97,141,1,66.7279,0.0000,0.7947,80.2132,0.0000,0.7947,71.4026,0.0000,0.7526,218.3437,0.0000,2.3421,218.3437,24,0
200.0000,20,248,2.4000,4,100,144,1,69.9801,0.0000,0.8150,82.1981,0.0000,0.7700,75.1191,0.0000,0.7300,227.2973,0.0000,2.3150,227.2973,24,0
210.0000,21,255,2.4000,0,103,152,1,74.6712,0.0000,0.8095,86.5583,0.0000,0.7667,77.7054,0.0000,0.7333,238.9350,0.0000,2.3095,238.9350,24,0
220.0000,22,268,2.4000,1,105,162,1,81.2204,0.0000,0.8091,89.6500,0.0000,0.7591,82.3125,0.0000,0.7455,253.1829,0.0000,2.3136,253.1829,24,0
230.0000,23,281,2.4000,2,111,168,1,85.1393,0.0000,0.8174,92.7942,0.0000,0.7609,85.3109,0.0000,0.7391,263.2443,0.0000,2.3174,263.2443,24,0
240.0000,24,296,2.4000,2,115,179,1,89.1073,0.0000,0.8125,98.0458,0.0000,0.7667,89.4484,0.0000,0.7542,276.6015,0.0000,2.3333,276.6015,24,0
250.0000,25,305,2.4000,3,116,186,1,94.1134,0.0000,0.8240,101.9340,0.0000,0.7600,92.6505,0.0000,0.7520,288.6979,0.0000,2.3360,288.6979,24,0
