time,sample_idx,total_occupancy,arrival_rate_est,q0_len,q1_len,q2_len,server_busy,q0_EN,q0_EW,q0_lambda,q1_EN,q1_EW,q1_lambda,q2_EN,q2_EW,q2_lambda,system_EN,system_EW,system_lambda,little_error,system_state_id,active_policy
10.0000,1,12,2.4000,3,7,2,1,3.5701,0.0000,0.8000,4.6877,0.0000,1.1000,1.6082,0.0000,0.4000,9.8659,0.0000,2.3000,9.8659,3,0
20.0000,2,15,2.4000,7,6,2,1,8.6308,0.0000,0.7500,6.3269,0.0000,0.7000,2.0366,0.0000,0.4000,16.9942,0.0000,1.8500,16.9942,4,0
30.0000,3,32,2.4000,17,10,5,1,12.6397,0.0000,0.9333,10.8217,0.0000,0.7000,5.5821,0.0000,0.4667,29.0435,0.0000,2.1000,29.0435,4,0
40.0000,4,50,2.4000,23,20,7,1,16.7063,0.0000,0.9000,14.8817,0.0000,0.8250,8.2973,0.0000,0.4250,39.8853,0.0000,2.1500,39.8853,14,0
50.0000,5,72,2.4000,31,28,13,1,22.0017,0.0000,0.9400,18.7177,0.0000,0.8600,11.5839,0.0000,0.5200,52.3034,0.0000,2.3200,52.3034,17,0
60.0000,6,90,2.4000,40,32,18,1,26.9037,0.0000,1.0000,24.7073,0.0000,0.8667,14.5876,0.0000,0.6000,66.1986,0.0000,2.4667,66.1986,17,0
70.0000,7,99,2.4000,42,36,21,1,31.1617,0.0000,0.9429,26.8426,0.0000,0.8571,18.4247,0.0000,0.6143,76.4290,0.0000,2.4143,76.4290,26,0
80.0000,8,105,2.4000,47,35,23,1,35.9507,0.0000,0.9375,29.1523,0.0000,0.7875,21.7277,0.0000,0.6125,86.8308,0.0000,2.3375,86.8308,26,0
90.0000,9,117,2.4000,50,39,28,1,41.9349,0.0000,0.9333,35.6967,0.0000,0.8000,24.3431,0.0000,0.6556,101.9746,0.0000,2.3889,101.9746,26,0
100.0000,10,135,2.4000,53,46,36,1,45.4234,0.0000,0.9100,40.9309,0.0000,0.8400,29.2405,0.0000,0.7100,115.5948,0.0000,2.4600,115.5948,26,0
110.0000,11,148,2.4000,57,46,45,1,50.9238,0.0000,0.9000,44.3907,0.0000,0.8000,33.5060,0.0000,0.7727,128.8206,0.0000,2.4727,128.8206,26,0
120.0000,12,163,2.4000,63,51,49,1,53.8569,0.0000,0.9000,48.6833,0.0000,0.8000,35.4959,0.0000,0.7583,138.0361,0.0000,2.4583,138.0361,26,0
130.0000,13,173,2.4000,66,59,48,1,58.3801,0.0000,0.8769,52.7899,0.0000,0.8231,38.8887,0.0000,0.7231,150.0587,0.0000,2.4231,150.0587,26,0
140.0000,14,183,2.4000,72,59,52,1,63.5949,0.0000,0.8786,56.2012,0.0000,0.7857,45.9554,0.0000,0.7143,165.7515,0.0000,2.3786,165.7515,26,0
150.0000,15,202,2.4000,75,69,58,1,67.0326,0.0000,0.8667,60.8051,0.0000,0.8267,49.9853,0.0000,0.7333,177.8230,0.0000,2.4267,177.8230,26,0
160.0000,16,216,2.4000,79,73,64,1,71.9661,0.0000,0.8562,63.5872,0.0000,0.8125,53.5013,0.0000,0.7438,189.0545,0.0000,2.4125,189.0545,26,0
170.0000,17,220,2.4000,82,76,62,1,74.3671,0.0000,0.8529,69.0386,0.0000,0.8118,57.9091,0.0000,0.7176,201.3148,0.0000,2.3824,201.3148,26,0
180.0000,18,240,2.4000,84,81,75,1,78.1427,0.0000,0.8333,72.5428,0.0000,0.8111,62.0299,0.0000,0.7667,212.7155,0.0000,2.4111,212.7155,26,0
190.0000,19,247,2.4000,88,84,75,1,83.0278,0.0000,0.8316,76.1031,0.0000,0.8105,62.3468,0.0000,0.7474,221.4778,0.0000,2.3895,221.4778,26,0
200.0000,20,257,2.4000,95,85,77,1,87.5822,0.0000,0.8450,80.9008,0.0000,0.7950,68.4465,0.0000,0.7400,236.9295,0.0000,2.3800,236.9295,26,0
210.0000,21,275,2.4000,103,90,82,1,91.7951,0.0000,0.8571,85.0565,0.0000,0.7952,73.2896,0.0000,0.7476,250.1411,0.0000,2.4000,250.1411,26,0
220.0000,22,292,2.4000,107,98,87,1,95.8901,0.0000,0.8455,86.9966,0.0000,0.8000,77.9119,0.0000,0.7409,260.7986,0.0000,2.3864,260.7986,26,0
230.0000,23,312,2.4000,113,105,94,1,100.3691,0.0000,0.8435,92.4996,0.0000,0.8087,80.4024,0.0000,0.7478,273.2710,0.0000,2.4000,273.2710,26,0
240.0000,24,320,2.4000,114,110,96,1,102.6472,0.0000,0.8292,96.7452,0.0000,0.8083,85.6264,0.0000,0.7417,285.0187,0.0000,2.3792,285.0187,26,0
250.0000,25,328,2.4000,117,114,97,1,108.3760,0.0000,0.8200,100.8189,0.0000,0.8080,88.8281,0.0000,0.7280,298.0229,0.0000,2.3560,298.0229,26,0
260.0000,26,345,2.4000,125,119,101,1,112.0320,0.0000,0.8269,104.6406,0.0000,0.8038,92.3355,0.0000,0.7231,309.0081,0.0000,2.3538,309.0081,26,0
270.0000,27,362,2.4000,131,125,106,1,114.3302,0.0000,0.8296,108.6322,0.0000,0.8074,95.3069,0.0000,0.7296,318.2693,0.0000,2.3667,318.2693,26,0
280.0000,28,368,2.4000,136,123,109,1,118.5479,0.0000,0.8321,111.1611,0.0000,0.7857,98.8414,0.0000,0.7286,328.5504,0.0000,2.3464,328.5504,26,0
290.0000,29,379,2.4000,138,133,108,1,122.4232,0.0000,0.8207,115.8545,0.0000,0.8034,103.1941,0.0000,0.7103,341.4718,0.0000,2.3345,341.4718,26,0
300.0000,30,392,2.4000,139,140,113,1,126.1690,0.0000,0.8067,118.7803,0.0000,0.8100,106.6473,0.0000,0.7100,351.5965,0.0000,2.3267,351.5965,26,0
310.0000,31,390,2.4000,141,140,109,1,131.5475,0.0000,0.8000,123.7464,0.0000,0.7968,109.3455,0.0000,0.6903,364.6394,0.0000,2.2871,364.6394,26,0
320.0000,32,405,2.4000,151,141,113,1,134.5972,0.0000,0.8187,128.2666,0.0000,0.7875,111.6398,0.0000,0.6937,374.5036,0.0000,2.3000,374.5036,26,0
330.0000,33,426,2.4000,157,151,118,1,137.9472,0.0000,0.8273,132.8382,0.0000,0.8091,117.6319,0.0000,0.7000,388.4173,0.0000,2.3364,388.4173,26,0
340.0000,34,448,2.4000,161,158,129,1,143.7002,0.0000,0.8206,136.7796,0.0000,0.8118,119.6074,0.0000,0.7176,400.0872,0.0000,2.3500,400.0872,26,0
350.0000,35,468,2.4000,166,164,138,1,145.9067,0.0000,0.8229,140.8557,0.0000,0.8171,125.0414,0.0000,0.7343,411.8038,0.0000,2.3743,411.8038,26,0
360.0000,36,489,2.4000,173,171,145,1,151.7139,0.0000,0.8278,144.4270,0.0000,0.8222,128.5973,0.0000,0.7417,424.7382,0.0000,2.3917,424.7382,26,0
370.0000,37,510,2.4000,179,182,149,1,155.4070,0.0000,0.8297,149.0785,0.0000,0.8378,131.8565,0.0000,0.7432,436.3421,0.0000,2.4108,436.3421,26,0
380.0000,38,532,2.4000,187,189,156,1,159.6538,0.0000,0.8368,153.5705,0.0000,0.8421,135.7065,0.0000,0.7500,448.9308,0.0000,2.4289,448.9308,26,0
390.0000,39,544,2.4000,185,194,165,1,162.8155,0.0000,0.8205,157.4720,0.0000,0.8436,140.4570,0.0000,0.7641,460.7446,0.0000,2.4282,460.7446,26,0
400.0000,40,552,2.4000,186,197,169,1,167.5331,0.0000,0.8100,159.7312,0.0000,0.8375,143.6728,0.0000,0.7600,470.9371,0.0000,2.4075,470.9371,26,0
