time,sample_idx,total_occupancy,arrival_rate_est,q0_len,q1_len,q2_len,server_busy,q0_EN,q0_EW,q0_lambda,q1_EN,q1_EW,q1_lambda,q2_EN,q2_EW,q2_lambda,system_EN,system_EW,system_lambda,little_error,system_state_id,active_policy
10.0000,1,12,2.8500,4,5,3,1,3.8932,0.0000,0.9000,1.8669,0.0000,0.7000,1.7441,0.0000,0.5000,7.5042,0.0000,2.1000,7.5042,0,0
20.0000,2,39,2.8500,13,14,12,1,9.6954,0.0000,1.2000,7.5760,0.0000,1.0000,5.4853,0.0000,0.7000,22.7567,0.0000,2.9000,22.7567,13,0
30.0000,3,44,2.8500,13,14,17,1,15.2846,0.0000,0.9333,11.2891,0.0000,0.9333,9.0743,0.0000,0.7000,35.6479,0.0000,2.5667,35.6479,13,0
40.0000,4,58,2.8500,20,20,18,1,19.9525,0.0000,0.9750,17.7435,0.0000,0.9250,11.2589,0.0000,0.7750,48.9549,0.0000,2.6750,48.9549,13,0
50.0000,5,68,2.8500,22,23,23,1,24.1021,0.0000,1.0000,21.5619,0.0000,0.9000,15.4883,0.0000,0.7800,61.1524,0.0000,2.6800,61.1524,26,0
60.0000,6,91,2.8500,29,30,32,1,28.2953,0.0000,0.9833,26.4321,0.0000,0.9833,22.4155,0.0000,0.8167,77.1429,0.0000,2.7833,77.1429,26,0
70.0000,7,113,2.8500,37,38,38,1,34.1542,0.0000,0.9714,32.2352,0.0000,0.9857,24.8924,0.0000,0.8571,91.2818,0.0000,2.8143,91.2818,26,0
80.0000,8,134,2.8500,43,46,45,1,39.1693,0.0000,0.9375,38.2021,0.0000,1.0625,31.5990,0.0000,0.9000,108.9704,0.0000,2.9000,108.9704,26,0
90.0000,9,146,2.8500,50,46,50,1,43.6743,0.0000,0.9444,39.8466,0.0000,0.9778,36.9395,0.0000,0.9000,120.4604,0.0000,2.8222,120.4604,26,0
100.0000,10,164,2.8500,55,51,58,1,48.1428,0.0000,0.9300,47.7072,0.0000,0.9300,41.8186,0.0000,0.9100,137.6687,0.0000,2.7700,137.6687,26,0
110.0000,11,178,2.8500,60,58,60,1,53.5069,0.0000,0.9636,52.3734,0.0000,0.9091,46.2583,0.0000,0.9000,152.1387,0.0000,2.7727,152.1387,26,0
120.0000,12,198,2.8500,66,66,66,1,57.6577,0.0000,0.9917,56.4130,0.0000,0.9167,50.2514,0.0000,0.9000,164.3221,0.0000,2.8083,164.3221,26,0
130.0000,13,207,2.8500,69,69,69,1,61.4930,0.0000,0.9538,59.5933,0.0000,0.8692,55.5399,0.0000,0.8769,176.6262,0.0000,2.7000,176.6262,26,0
140.0000,14,231,2.8500,77,76,78,1,67.0064,0.0000,0.9500,64.0825,0.0000,0.8929,59.6720,0.0000,0.8857,190.7609,0.0000,2.7286,190.7609,26,0
150.0000,15,245,2.8500,81,81,83,1,72.3593,0.0000,0.9533,68.3678,0.0000,0.8933,64.7517,0.0000,0.8867,205.4788,0.0000,2.7333,205.4788,26,0
160.0000,16,270,2.8500,91,88,91,1,74.7213,0.0000,0.9688,73.4715,0.0000,0.8875,69.1060,0.0000,0.9000,217.2988,0.0000,2.7563,217.2988,26,0
170.0000,17,291,2.8500,97,98,96,1,81.7659,0.0000,0.9765,77.7290,0.0000,0.9059,72.4507,0.0000,0.8765,231.9456,0.0000,2.7588,231.9456,26,0
180.0000,18,317,2.8500,109,104,104,1,87.3245,0.0000,1.0278,81.7359,0.0000,0.9111,77.2327,0.0000,0.8889,246.2931,0.0000,2.8278,246.2932,26,0
190.0000,19,347,2.8500,116,115,116,1,91.2464,0.0000,1.0263,87.1272,0.0000,0.9211,81.3902,0.0000,0.9211,259.7637,0.0000,2.8684,259.7637,26,0
200.0000,20,358,2.8500,118,119,121,1,97.6721,0.0000,1.0000,90.9652,0.0000,0.9100,87.5790,0.0000,0.9300,276.2163,0.0000,2.8400,276.2163,26,0
210.0000,21,385,2.8500,130,125,130,1,103.1930,0.0000,1.0286,95.5962,0.0000,0.9000,92.8699,0.0000,0.9381,291.6591,0.0000,2.8667,291.6591,26,0
220.0000,22,411,2.8500,135,139,137,1,108.1893,0.0000,1.0091,100.4252,0.0000,0.9273,97.0636,0.0000,0.9545,305.6781,0.0000,2.8909,305.6781,26,0
230.0000,23,431,2.8500,144,143,144,1,112.9837,0.0000,1.0043,105.5793,0.0000,0.9304,102.9513,0.0000,0.9565,321.5143,0.0000,2.8913,321.5143,26,0
240.0000,24,442,2.8500,147,147,148,1,117.9775,0.0000,0.9958,110.1890,0.0000,0.9250,107.3782,0.0000,0.9542,335.5447,0.0000,2.8750,335.5447,26,0
250.0000,25,457,2.8500,149,154,154,1,120.2827,0.0000,0.9680,114.1258,0.0000,0.9280,112.1757,0.0000,0.9600,346.5843,0.0000,2.8560,346.5843,26,0
260.0000,26,470,2.8500,157,158,155,1,127.8982,0.0000,0.9692,119.4156,0.0000,0.9269,118.0794,0.0000,0.9423,365.3933,0.0000,2.8385,365.3933,26,0
270.0000,27,480,2.8500,160,160,160,1,132.6213,0.0000,0.9593,123.2830,0.0000,0.9148,122.4588,0.0000,0.9333,378.3631,0.0000,2.8074,378.3631,26,0
280.0000,28,500,2.8500,166,167,167,1,135.8273,0.0000,0.9607,128.0269,0.0000,0.9179,127.0046,0.0000,0.9357,390.8587,0.0000,2.8143,390.8587,26,0
290.0000,29,518,2.8500,172,174,172,1,141.4018,0.0000,0.9517,132.8367,0.0000,0.9207,131.0513,0.0000,0.9345,405.2897,0.0000,2.8069,405.2897,26,0
300.0000,30,548,2.8500,182,180,186,1,146.4967,0.0000,0.9600,135.6187,0.0000,0.9167,137.1759,0.0000,0.9533,419.2913,0.0000,2.8300,419.2913,26,0
310.0000,31,569,2.8500,191,187,191,1,151.5915,0.0000,0.9677,141.5414,0.0000,0.9097,141.6946,0.0000,0.9645,434.8275,0.0000,2.8419,434.8275,26,0
320.0000,32,589,2.8500,197,191,201,1,154.3333,0.0000,0.9656,144.9985,0.0000,0.8938,147.3780,0.0000,0.9750,446.7097,0.0000,2.8344,446.7097,26,0
330.0000,33,604,2.8500,203,199,202,1,160.1928,0.0000,0.9606,150.4298,0.0000,0.8909,152.2781,0.0000,0.9727,462.9007,0.0000,2.8242,462.9007,26,0
340.0000,34,622,2.8500,205,207,210,1,160.5007,0.0000,0.9441,154.9164,0.0000,0.9000,157.5472,0.0000,0.9735,472.9643,0.0000,2.8176,472.9643,26,0
350.0000,35,650,2.8500,219,216,215,1,170.4377,0.0000,0.9686,159.8284,0.0000,0.9029,162.6094,0.0000,0.9686,492.8755,0.0000,2.8400,492.8755,26,0
360.0000,36,662,2.8500,220,220,222,1,174.5777,0.0000,0.9583,164.0791,0.0000,0.9028,167.4939,0.0000,0.9639,506.1508,0.0000,2.8250,506.1508,26,0
370.0000,37,677,2.8500,225,223,229,1,179.7238,0.0000,0.9568,165.6250,0.0000,0.9000,172.5020,0.0000,0.9676,517.8507,0.0000,2.8243,517.8508,26,0
380.0000,38,695,2.8500,231,231,233,1,183.3691,0.0000,0.9658,173.0696,0.0000,0.9000,177.4127,0.0000,0.9711,533.8515,0.0000,2.8368,533.8515,26,0
390.0000,39,721,2.8500,238,239,244,1,188.2658,0.0000,0.9641,175.8498,0.0000,0.9026,182.0521,0.0000,0.9795,546.1677,0.0000,2.8462,546.1677,26,0
400.0000,40,740,2.8500,245,247,248,1,191.5624,0.0000,0.9600,182.3089,0.0000,0.9100,187.6566,0.0000,0.9850,561.5278,0.0000,2.8550,561.5278,26,0
410.0000,41,754,2.8500,253,250,251,1,199.0986,0.0000,0.9659,185.9780,0.0000,0.9024,190.9921,0.0000,0.9854,576.0687,0.0000,2.8537,576.0687,26,0
420.0000,42,763,2.8500,253,255,255,1,197.5340,0.0000,0.9500,191.1515,0.0000,0.9000,198.0030,0.0000,0.9786,586.6885,0.0000,2.8286,586.6885,26,0
430.0000,43,786,2.8500,262,261,263,1,207.4797,0.0000,0.9535,194.9613,0.0000,0.8953,203.1936,0.0000,0.9884,605.6345,0.0000,2.8372,605.6345,26,0
440.0000,44,803,2.8500,266,269,268,1,213.1314,0.0000,0.9477,198.8671,0.0000,0.9000,207.5535,0.0000,0.9886,619.5520,0.0000,2.8364,619.5520,26,0
450.0000,45,814,2.8500,271,271,272,1,217.8729,0.0000,0.9422,204.4674,0.0000,0.9022,213.5231,0.0000,0.9867,635.8634,0.0000,2.8311,635.8634,26,0
460.0000,46,825,2.8500,274,275,276,1,221.5230,0.0000,0.9304,208.6852,0.0000,0.9065,218.3718,0.0000,0.9870,648.5800,0.0000,2.8239,648.5800,26,0
470.0000,47,841,2.8500,280,280,281,1,224.7397,0.0000,0.9319,212.4361,0.0000,0.9043,220.9626,0.0000,0.9809,658.1385,0.0000,2.8170,658.1385,26,0
480.0000,48,859,2.8500,287,284,288,1,230.3629,0.0000,0.9354,216.9708,0.0000,0.8938,228.3214,0.0000,0.9792,675.6551,0.0000,2.8083,675.6551,26,0
