timestamp,sampleIndex,EN,EW,queueSize1,queueSize2,queueSize3,measuredLambda,measuredOccupancy,littleError
0.000000,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000
10.000000,1,2.321945,0.747238,5,7,4,2.800000,0.996592,0.229678
20.000000,2,4.863420,1.957687,8,9,14,2.600000,0.998296,-0.226566
30.000000,3,7.134072,3.529817,13,13,14,2.400000,0.998864,-1.337489
40.000000,4,9.992836,3.531966,25,23,24,2.775000,0.999148,0.191632
50.000000,5,13.360737,4.164732,28,32,32,2.760000,0.999318,1.866076
60.000000,6,16.401430,5.594801,35,36,35,2.683333,0.999432,1.388715
70.000000,7,19.545324,8.134499,39,41,41,2.757143,0.999513,-2.882651
80.000000,8,22.443632,10.455874,44,45,43,2.750000,0.999574,-6.310022
90.000000,9,25.305661,10.585127,50,55,53,2.822222,0.999621,-4.567921
100.000000,10,28.346293,11.144994,62,57,61,2.840000,0.999659,-3.305489
110.000000,11,31.679529,11.507185,68,70,70,2.909091,0.999690,-1.795917
120.000000,12,34.965521,12.221476,76,75,76,2.891667,0.999716,-0.374913
130.000000,13,38.298489,14.516045,83,81,82,2.953846,0.999738,-4.579675
140.000000,14,41.736253,14.396612,90,100,85,2.985714,0.999757,-1.247918
150.000000,15,45.218605,15.977269,97,99,93,2.960000,0.999773,-2.074111
160.000000,16,48.725736,15.805890,104,104,108,2.968750,0.999787,1.802000
170.000000,17,52.382296,16.301592,115,115,114,3.005882,0.999800,3.381628
180.000000,18,56.012641,17.910541,119,121,125,3.027778,0.999811,1.783502
190.000000,19,59.660857,18.861710,130,131,128,3.047368,0.999821,2.182276
200.000000,20,63.351752,19.907735,137,136,138,3.055000,0.999830,2.533621
210.000000,21,66.965796,21.935576,143,139,142,3.042857,0.999838,0.218971
220.000000,22,70.513168,22.478725,150,151,152,3.077273,0.999845,1.339999
230.000000,23,74.204763,22.973566,161,162,160,3.113043,0.999852,2.687055
240.000000,24,77.933880,24.446676,166,170,168,3.120833,0.999858,1.639880
250.000000,25,81.652721,26.262910,173,173,175,3.120000,0.999864,-0.287557
260.000000,26,85.330547,26.659197,178,180,183,3.100000,0.999869,2.687037
270.000000,27,88.943036,27.743985,187,187,186,3.092593,0.999874,3.142193
280.000000,28,92.559305,28.259718,193,197,192,3.085714,0.999878,5.357889
290.000000,29,96.254888,28.801133,203,204,203,3.103448,0.999882,6.872063
300.000000,30,99.940390,29.941700,209,210,211,3.100000,0.999886,7.121121
310.000000,31,103.642121,30.357395,217,220,218,3.103226,0.999890,9.436270
320.000000,32,107.361172,31.602501,226,227,227,3.121875,0.999894,8.702114
330.000000,33,111.099334,32.616068,238,234,233,3.133333,0.999897,8.902322
340.000000,34,114.813499,33.845244,238,239,239,3.100000,0.999900,9.893243
350.000000,35,118.479951,35.412213,244,248,247,3.114286,0.999903,8.196201
360.000000,36,122.191797,36.712781,254,256,256,3.136111,0.999905,7.056437
370.000000,37,125.809001,38.661573,256,258,257,3.097297,0.999908,6.062614
380.000000,38,129.361595,40.039846,262,262,266,3.094737,0.999910,5.448809
390.000000,39,132.881376,40.390142,273,270,270,3.089744,0.999913,8.086194
400.000000,40,136.372516,40.940239,277,280,277,3.082500,0.999915,10.174230
410.000000,41,139.877702,43.012374,284,282,285,3.085366,0.999917,7.168791
420.000000,42,143.400277,43.279332,291,289,292,3.073810,0.999919,10.367854
430.000000,43,146.886259,44.052906,298,294,296,3.055814,0.999921,12.268772
440.000000,44,150.353336,44.719237,305,306,300,3.056818,0.999923,13.654761
450.000000,45,153.825906,45.642420,314,315,308,3.068889,0.999924,13.754390
460.000000,46,157.343407,46.767821,317,320,321,3.069565,0.999926,13.786529
470.000000,47,160.894675,47.182490,327,329,328,3.074468,0.999927,15.833616
480.000000,48,164.464807,46.883064,339,338,333,3.070833,0.999929,20.494733
490.000000,49,168.037117,48.138665,343,345,339,3.063265,0.999930,20.575615
500.000000,50,171.638851,48.553473,352,351,352,3.072000,0.999932,22.482580
510.000000,51,175.186007,50.439145,354,357,356,3.058824,0.999933,20.901563
520.000000,52,178.720818,51.626302,364,361,365,3.063462,0.999934,20.565628
530.000000,53,182.257754,53.660573,369,370,369,3.066038,0.999936,17.732411
540.000000,54,185.763516,55.226265,373,373,376,3.055556,0.999937,17.016594
550.000000,55,189.237552,57.185452,377,377,379,3.041818,0.999938,15.289804
560.000000,56,192.643411,58.797301,382,380,381,3.023214,0.999939,14.886569
570.000000,57,196.002784,59.520158,387,387,391,3.022807,0.999940,16.084831
580.000000,58,199.373556,60.398603,397,398,394,3.027586,0.999941,16.511578
590.000000,59,202.736888,62.290859,399,399,401,3.013559,0.999942,15.019690
600.000000,60,206.065476,63.266522,406,405,409,3.013333,0.999943,15.422356
610.000000,61,209.389888,64.262269,413,413,414,3.011475,0.999944,15.865646
620.000000,62,212.725010,65.389517,422,422,418,3.014516,0.999945,15.607256
630.000000,63,216.091560,66.503565,432,427,425,3.017460,0.999946,15.419690
640.000000,64,219.436444,68.056044,431,432,432,3.003125,0.999947,15.055638
650.000000,65,222.787541,69.154899,440,442,441,3.016923,0.999948,14.152530
660.000000,66,226.134325,69.484895,450,449,446,3.013636,0.999948,16.732118
670.000000,67,229.473186,70.478677,453,452,454,3.001493,0.999949,17.931962
680.000000,68,232.808277,72.076065,458,459,460,3.000000,0.999950,16.580081
690.000000,69,236.135098,72.639764,468,464,468,3.000000,0.999951,18.215807
700.000000,70,239.507074,74.039727,476,478,478,3.021429,0.999951,15.801328
710.000000,71,242.893245,76.437163,483,483,484,3.026761,0.999952,11.536253
720.000000,72,246.278836,76.982266,490,489,488,3.016667,0.999953,14.048999
730.000000,73,249.664669,78.152458,496,498,499,3.026027,0.999953,13.173189
740.000000,74,253.046205,78.714869,506,508,501,3.024324,0.999954,14.986912
750.000000,75,256.424999,81.027686,507,510,512,3.022667,0.999955,11.505314
760.000000,76,259.852946,80.531563,526,522,522,3.043421,0.999955,14.761491
770.000000,77,263.318445,81.370120,530,532,528,3.040260,0.999956,15.932144
780.000000,78,266.806120,81.621808,537,539,540,3.042308,0.999956,18.487467
790.000000,79,270.271137,83.213278,547,541,543,3.036709,0.999957,17.576638
800.000000,80,273.746051,84.708796,554,550,553,3.047500,0.999957,15.595994
810.000000,81,277.192990,86.913713,555,555,555,3.035802,0.999958,13.340126
820.000000,82,280.623459,88.441238,557,563,562,3.032927,0.999958,12.387655
830.000000,83,284.046823,88.821328,570,569,569,3.036145,0.999959,14.372428
840.000000,84,287.496102,90.011811,574,576,578,3.035714,0.999959,14.245961
850.000000,85,290.944455,90.923052,584,584,583,3.037647,0.999960,14.752314
860.000000,86,294.395986,91.729381,591,590,590,3.034884,0.999960,16.007980
870.000000,87,297.826090,93.034600,594,595,597,3.028736,0.999961,16.048883
880.000000,88,301.243065,94.129311,600,603,600,3.023864,0.999961,16.608865
890.000000,89,304.687470,95.100276,611,612,613,3.039326,0.999962,15.646745
900.000000,90,308.146492,95.830204,617,621,621,3.040000,0.999962,16.822673
910.000000,91,311.625048,96.311470,628,628,627,3.040659,0.999963,18.774676
920.000000,92,315.084767,98.504835,629,633,635,3.038043,0.999963,15.822795
930.000000,93,318.534096,98.526239,634,641,644,3.033333,0.999963,19.671172
940.000000,94,321.991883,99.343038,638,649,654,3.032979,0.999964,20.686561
950.000000,95,325.439149,102.112823,648,651,651,3.027368,0.999964,16.306012
960.000000,96,328.833293,103.390249,654,653,656,3.018750,0.999965,16.723978
970.000000,97,332.235852,103.534304,663,665,663,3.022680,0.999965,19.284739
980.000000,98,335.646323,105.427532,666,668,668,3.015306,0.999965,17.750042
990.000000,99,339.035191,106.679694,670,677,677,3.018182,0.999966,17.056477
1000.000000,100,342.436815,107.930533,680,682,684,3.021000,0.999966,16.378674
1010.000000,101,345.811661,109.721176,686,684,686,3.011881,0.999966,15.344514
1020.000000,102,349.157142,110.444977,688,688,692,3.000000,0.999967,17.822213
1030.000000,103,352.483780,110.702780,694,697,697,2.995146,0.999967,20.912832
1040.000000,104,355.805865,111.848817,701,701,703,2.991346,0.999967,21.227335
1050.000000,105,359.140712,111.740070,710,711,709,2.990476,0.999968,24.984693
1060.000000,106,362.490294,112.955867,717,716,718,2.991509,0.999968,24.581752
1070.000000,107,365.828481,114.681804,724,724,722,2.992523,0.999968,22.640502
1080.000000,108,369.171289,116.524220,733,733,730,3.001852,0.999968,19.382844
1090.000000,109,372.512195,118.157268,735,736,738,2.996330,0.999969,18.473994
1100.000000,110,375.862996,118.369343,747,748,745,3.003636,0.999969,20.324534
1110.000000,111,379.238346,118.801644,756,756,753,3.005405,0.999969,22.191242
1120.000000,112,382.618074,119.455201,765,762,758,3.002679,0.999970,23.932503
1130.000000,113,386.005816,120.500981,769,770,771,3.007080,0.999970,23.649769
1140.000000,114,389.399926,120.942960,776,778,777,3.004386,0.999970,26.040594
1150.000000,115,392.802460,123.137674,782,782,782,3.003478,0.999970,22.961134
1160.000000,116,396.177493,124.357030,791,787,788,3.003448,0.999971,22.677586
1170.000000,117,399.540707,126.474107,792,796,788,2.997436,0.999971,20.442677
1180.000000,118,402.913862,126.711255,803,801,802,3.003390,0.999971,22.350566
1190.000000,119,406.275755,129.179209,803,804,805,2.994958,0.999971,19.389451
1200.000000,120,409.608066,130.755863,810,808,809,2.991667,0.999972,18.430111
1210.000000,121,412.941523,131.853189,813,819,813,2.989256,0.999972,18.798559
1220.000000,122,416.276980,132.750364,822,822,824,2.990984,0.999972,19.222817
1230.000000,123,419.599565,134.010285,828,827,827,2.985366,0.999972,19.529836
1240.000000,124,422.921061,135.020106,833,835,838,2.988710,0.999973,19.385164
1250.000000,125,426.254652,135.636665,841,843,843,2.987200,0.999973,21.080806
1260.000000,126,429.577009,136.917852,849,845,852,2.986508,0.999973,20.670757
1270.000000,127,432.895359,138.745635,853,853,855,2.984252,0.999973,18.843424
1280.000000,128,436.212326,139.747532,862,859,866,2.989063,0.999973,18.498217
1290.000000,129,439.540226,140.218031,867,864,876,2.986047,0.999974,20.842663
1300.000000,130,442.851993,141.682489,875,870,871,2.976923,0.999974,21.074123
