timestamp,sample_idx,system_occupancy,avg_wait_error,q0_len,q1_len,q2_len,server_busy,little_error
10.0000,1,9.1792,0.0000,6,5,6,1,2.4637
20.0000,2,14.5741,0.0000,7,6,7,1,2.0110
30.0000,3,17.5972,0.0000,9,10,8,1,2.8332
40.0000,4,21.4129,0.0000,12,13,13,1,3.1975
50.0000,5,26.4455,0.0000,17,19,19,1,5.1157
60.0000,6,33.6213,0.0000,24,25,25,1,7.2464
70.0000,7,40.9501,0.0000,32,33,31,1,10.2109
80.0000,8,49.4840,0.0000,40,40,39,1,12.6254
90.0000,9,57.4615,0.0000,42,47,43,1,14.5756
100.0000,10,65.4685,0.0000,47,47,48,1,15.3989
110.0000,11,72.9503,0.0000,52,51,52,1,18.3325
120.0000,12,80.3664,0.0000,60,56,59,1,20.0393
130.0000,13,88.3289,0.0000,64,60,66,1,22.0470
140.0000,14,96.4210,0.0000,71,69,72,1,21.9827
150.0000,15,104.5816,0.0000,74,75,75,1,24.6735
160.0000,16,112.5716,0.0000,80,81,81,1,26.7720
170.0000,17,120.6336,0.0000,87,85,87,1,29.4581
180.0000,18,128.7627,0.0000,92,90,90,1,29.7433
190.0000,19,136.8003,0.0000,100,97,98,1,32.4865
200.0000,20,144.9405,0.0000,100,101,101,1,35.7917
210.0000,21,153.1122,0.0000,110,106,110,1,38.4636
220.0000,22,161.2960,0.0000,113,114,114,1,41.0170
230.0000,23,169.3935,0.0000,118,118,116,1,42.2979
240.0000,24,177.3130,0.0000,122,122,119,1,42.9011
250.0000,25,185.2139,0.0000,129,127,125,1,46.1603
260.0000,26,192.9506,0.0000,131,130,131,1,47.9698
270.0000,27,200.5530,0.0000,133,135,134,1,48.3959
280.0000,28,208.0888,0.0000,138,140,140,1,46.0890
290.0000,29,215.3955,0.0000,142,141,146,1,48.2014
300.0000,30,222.5774,0.0000,145,145,147,1,49.6788
310.0000,31,229.8039,0.0000,150,151,152,1,49.9879
320.0000,32,237.0671,0.0000,156,157,156,1,51.3263
330.0000,33,244.2737,0.0000,157,161,161,1,50.6761
340.0000,34,251.3822,0.0000,164,164,165,1,51.7954
350.0000,35,258.3955,0.0000,167,169,170,1,53.1105
360.0000,36,265.6309,0.0000,174,175,176,1,55.9688
370.0000,37,272.8289,0.0000,178,181,181,1,56.8113
380.0000,38,279.9784,0.0000,182,182,182,1,58.8539
390.0000,39,286.8782,0.0000,187,186,184,1,60.2290
400.0000,40,293.7826,0.0000,189,189,189,1,61.2844
410.0000,41,300.6062,0.0000,191,196,199,1,62.6533
420.0000,42,307.4609,0.0000,197,198,200,1,63.7717
430.0000,43,314.4109,0.0000,203,203,205,1,65.1420
440.0000,44,321.2477,0.0000,207,206,206,1,65.8814
450.0000,45,328.0160,0.0000,212,210,211,1,64.9241
460.0000,46,334.8104,0.0000,215,217,217,1,67.5441
470.0000,47,341.5891,0.0000,219,221,221,1,70.7211
480.0000,48,348.3590,0.0000,223,226,226,1,72.0470
490.0000,49,355.2153,0.0000,229,228,230,1,75.1761
500.0000,50,362.0399,0.0000,235,237,238,1,77.6954
510.0000,51,369.0705,0.0000,243,245,247,1,80.2362
520.0000,52,376.2855,0.0000,250,250,252,1,82.1948
530.0000,53,383.3883,0.0000,251,252,252,1,83.4691
540.0000,54,390.4045,0.0000,256,256,259,1,85.3355
550.0000,55,397.3699,0.0000,259,259,260,1,87.1682
560.0000,56,404.3524,0.0000,265,264,265,1,89.6346
570.0000,57,411.2584,0.0000,265,268,267,1,88.2491
580.0000,58,418.1399,0.0000,271,274,274,1,91.3443
590.0000,59,425.0707,0.0000,277,278,278,1,93.7749
600.0000,60,431.9234,0.0000,279,280,279,1,93.6347
610.0000,61,438.7048,0.0000,283,285,282,1,94.1601
620.0000,62,445.4132,0.0000,285,285,285,1,95.3217
630.0000,63,452.0651,0.0000,287,290,294,1,97.7169
640.0000,64,458.7964,0.0000,298,300,298,1,100.1292
650.0000,65,465.5881,0.0000,301,302,302,1,101.2739
660.0000,66,472.3601,0.0000,306,306,307,1,102.4188
670.0000,67,479.1031,0.0000,308,311,311,1,104.8335
680.0000,68,485.8740,0.0000,316,314,318,1,107.2427
690.0000,69,492.6413,0.0000,318,319,319,1,108.3197
700.0000,70,499.3230,0.0000,324,323,321,1,107.4375
710.0000,71,506.0604,0.0000,328,329,329,1,105.2857
720.0000,72,512.8646,0.0000,334,333,335,1,107.1421
730.0000,73,519.7063,0.0000,340,342,341,1,105.8232
740.0000,74,526.5445,0.0000,344,344,345,1,107.7222
750.0000,75,533.4175,0.0000,349,349,347,1,108.9863
760.0000,76,540.2023,0.0000,350,351,352,1,109.6043
770.0000,77,547.0114,0.0000,356,358,359,1,112.7743
780.0000,78,553.8472,0.0000,362,361,362,1,112.1008
790.0000,79,560.6794,0.0000,369,369,366,1,114.6743
800.0000,80,567.4769,0.0000,369,368,371,1,114.6188
810.0000,81,574.2860,0.0000,375,379,375,1,116.6325
820.0000,82,581.0858,0.0000,378,377,379,1,119.2099
830.0000,83,587.7576,0.0000,380,380,381,1,118.7976
840.0000,84,594.4329,0.0000,385,385,385,1,120.1855
850.0000,85,601.0726,0.0000,389,387,390,1,121.5624
860.0000,86,607.7647,0.0000,394,394,395,1,124.1172
870.0000,87,614.3879,0.0000,394,394,395,1,126.0536
880.0000,88,620.9435,0.0000,399,400,400,1,127.9372
890.0000,89,627.5048,0.0000,403,403,404,1,128.0265
