timestamp,sample_idx,system_occupancy,avg_wait_error,q0_len,q1_len,q2_len,server_busy,little_error
10.0000,1,6.5884,0.0000,4,2,6,1,2.0407
20.0000,2,13.2070,0.0000,7,9,12,1,4.9249
30.0000,3,21.5478,0.0000,18,12,13,1,7.5411
40.0000,4,28.6840,0.0000,24,11,22,1,10.5065
50.0000,5,35.0343,0.0000,36,3,27,1,14.1413
60.0000,6,40.5261,0.0000,33,1,35,1,15.9925
70.0000,7,45.0018,0.0000,33,5,39,1,18.9360
80.0000,8,50.4689,0.0000,31,14,50,1,22.2531
90.0000,9,55.6904,0.0000,26,19,59,1,25.7707
100.0000,10,61.4832,0.0000,18,28,75,1,29.9521
110.0000,11,67.5502,0.0000,18,34,83,1,34.4732
120.0000,12,73.3294,0.0000,8,41,91,1,38.8691
130.0000,13,79.1845,0.0000,9,47,104,1,43.3604
140.0000,14,85.2829,0.0000,11,52,109,1,47.9307
150.0000,15,91.7104,0.0000,9,62,126,1,52.5130
160.0000,16,98.4072,0.0000,0,68,129,1,57.2181
170.0000,17,104.6935,0.0000,5,74,138,1,61.6932
180.0000,18,111.1930,0.0000,2,84,143,1,66.0762
190.0000,19,117.6459,0.0000,2,79,155,1,70.4224
200.0000,20,124.1165,0.0000,13,83,162,1,74.8123
210.0000,21,130.7740,0.0000,26,83,167,1,79.1209
220.0000,22,137.6201,0.0000,31,77,179,1,83.3742
230.0000,23,144.7573,0.0000,38,85,191,1,87.7901
240.0000,24,152.2297,0.0000,48,84,200,1,92.3121
250.0000,25,159.9548,0.0000,56,93,208,1,96.8258
260.0000,26,167.9787,0.0000,67,94,222,1,101.3646
270.0000,27,176.1242,0.0000,77,86,228,1,105.9345
280.0000,28,183.8799,0.0000,83,80,232,1,110.3373
290.0000,29,191.5050,0.0000,96,72,243,1,114.7308
300.0000,30,199.0246,0.0000,102,66,250,1,119.1730
310.0000,31,206.2849,0.0000,110,68,256,1,123.4909
320.0000,32,213.4549,0.0000,113,62,262,1,127.7452
330.0000,33,220.6446,0.0000,123,64,275,1,132.0456
340.0000,34,227.8497,0.0000,132,57,282,1,136.3683
350.0000,35,234.9205,0.0000,139,54,290,1,140.6360
360.0000,36,241.9799,0.0000,147,55,296,1,144.8477
370.0000,37,249.1482,0.0000,157,55,306,1,149.0487
380.0000,38,256.4120,0.0000,169,51,316,1,153.2956
390.0000,39,263.7262,0.0000,176,53,323,1,157.5214
400.0000,40,271.0895,0.0000,183,53,328,1,161.7185
410.0000,41,278.5410,0.0000,192,51,340,1,165.9424
420.0000,42,285.9790,0.0000,204,39,355,1,170.2718
430.0000,43,293.3914,0.0000,206,37,360,1,174.6554
440.0000,44,300.5449,0.0000,214,32,366,1,178.9501
450.0000,45,307.7025,0.0000,224,33,373,1,183.2252
460.0000,46,314.8152,0.0000,229,33,380,1,187.3990
470.0000,47,321.7984,0.0000,235,30,385,1,191.5519
480.0000,48,328.8504,0.0000,239,35,397,1,195.6943
490.0000,49,335.9572,0.0000,248,33,402,1,199.8819
500.0000,50,343.0262,0.0000,253,32,407,1,203.9804
510.0000,51,349.8895,0.0000,263,23,410,1,207.9953
520.0000,52,356.7566,0.0000,270,22,422,1,212.0179
530.0000,53,363.6295,0.0000,279,24,430,1,216.0375
540.0000,54,370.6507,0.0000,286,27,441,1,220.1000
550.0000,55,377.7530,0.0000,291,27,451,1,224.2092
560.0000,56,384.9012,0.0000,297,32,456,1,228.2969
570.0000,57,391.9791,0.0000,308,24,463,1,232.3526
580.0000,58,399.0936,0.0000,313,28,473,1,236.4249
