timestamp,sample_idx,system_occupancy,avg_wait_error,q0_len,q1_len,q2_len,server_busy,little_error
10.0000,1,9.4315,0.0000,5,6,6,1,2.1521
20.0000,2,20.6419,0.0000,17,14,18,1,6.5701
30.0000,3,33.4495,0.0000,22,21,22,1,9.2823
40.0000,4,44.0746,0.0000,26,29,32,1,12.2161
50.0000,5,54.5718,0.0000,33,36,36,1,13.1203
60.0000,6,64.7961,0.0000,43,41,40,1,15.4534
70.0000,7,73.6558,0.0000,45,44,39,1,17.2507
80.0000,8,81.5032,0.0000,52,50,44,1,18.0402
90.0000,9,89.9183,0.0000,71,52,47,1,21.6014
100.0000,10,98.4565,0.0000,75,50,54,1,22.8337
110.0000,11,106.6755,0.0000,86,58,57,1,26.6180
120.0000,12,115.5211,0.0000,88,68,65,1,30.3417
130.0000,13,123.8828,0.0000,96,70,66,1,32.5277
140.0000,14,132.1727,0.0000,100,76,74,1,33.9344
150.0000,15,140.6636,0.0000,104,84,83,1,37.1720
160.0000,16,149.1610,0.0000,108,87,88,1,38.8930
170.0000,17,157.6347,0.0000,113,94,95,1,41.1620
180.0000,18,166.2916,0.0000,122,102,103,1,43.5545
190.0000,19,174.9603,0.0000,122,100,115,1,42.5857
200.0000,20,183.3782,0.0000,126,104,120,1,44.8018
210.0000,21,191.9039,0.0000,134,113,125,1,48.2883
220.0000,22,200.3652,0.0000,131,123,128,1,48.2831
230.0000,23,208.7865,0.0000,137,130,137,1,50.7356
240.0000,24,217.2003,0.0000,139,134,147,1,50.4906
250.0000,25,225.3954,0.0000,136,141,151,1,49.4726
260.0000,26,233.6231,0.0000,144,146,157,1,51.6167
270.0000,27,241.7589,0.0000,148,152,159,1,52.3135
280.0000,28,249.8347,0.0000,155,162,163,1,54.9284
290.0000,29,258.0671,0.0000,161,169,165,1,56.1787
300.0000,30,266.3045,0.0000,173,177,172,1,57.9857
310.0000,31,274.8941,0.0000,177,185,181,1,60.4988
320.0000,32,283.4781,0.0000,180,189,191,1,63.1257
330.0000,33,292.3783,0.0000,186,201,200,1,65.8788
340.0000,34,301.2374,0.0000,192,207,205,1,67.2677
350.0000,35,309.9882,0.0000,197,208,210,1,69.3472
360.0000,36,318.7638,0.0000,198,221,214,1,72.7034
370.0000,37,327.4713,0.0000,202,227,221,1,74.6783
380.0000,38,336.2866,0.0000,211,238,226,1,74.7479
390.0000,39,345.1733,0.0000,220,242,230,1,76.1101
400.0000,40,354.0202,0.0000,220,246,236,1,77.4675
410.0000,41,362.7710,0.0000,230,249,245,1,79.5504
420.0000,42,371.5311,0.0000,234,254,246,1,81.4976
430.0000,43,380.1210,0.0000,243,254,251,1,82.2709
440.0000,44,388.7670,0.0000,247,264,256,1,85.6665
450.0000,45,397.3878,0.0000,251,268,264,1,87.7780
460.0000,46,405.8381,0.0000,254,269,266,1,87.2173
470.0000,47,414.1240,0.0000,258,276,276,1,89.2269
480.0000,48,422.5227,0.0000,260,281,281,1,90.6650
490.0000,49,430.8034,0.0000,264,284,284,1,93.3008
500.0000,50,439.0477,0.0000,273,287,293,1,94.6262
510.0000,51,447.2809,0.0000,278,291,296,1,95.8921
520.0000,52,455.3682,0.0000,282,297,298,1,98.4200
530.0000,53,463.4517,0.0000,289,299,308,1,99.0170
540.0000,54,471.6047,0.0000,294,305,312,1,101.5447
550.0000,55,479.6289,0.0000,297,303,315,1,100.8493
560.0000,56,487.6042,0.0000,301,312,320,1,103.2936
570.0000,57,495.5653,0.0000,307,318,324,1,106.3689
580.0000,58,503.5278,0.0000,310,324,325,1,106.9413
590.0000,59,511.4488,0.0000,326,327,330,1,107.5035
600.0000,60,519.5210,0.0000,332,334,338,1,110.6056
610.0000,61,527.5938,0.0000,343,339,339,1,111.7691
620.0000,62,535.7351,0.0000,345,348,345,1,114.8628
630.0000,63,543.8631,0.0000,345,359,354,1,118.0041
640.0000,64,551.9933,0.0000,351,361,360,1,116.7583
650.0000,65,560.1601,0.0000,358,365,366,1,118.6495
