timestamp,sampleIndex,averageNumberInSystem,averageWaitingTime,queueSize1,queueSize2,queueSize3,measuredArrivalRate,measuredOccupancy,littlesLawError
0.000000,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000
10.000000,1,2.278751,1.226991,3,5,4,2.600000,0.985069,-0.911425
20.000000,2,4.635229,1.733894,10,16,7,2.650000,0.992535,0.040409
30.000000,3,8.076882,2.695189,18,23,11,2.600000,0.995023,1.069389
40.000000,4,11.227770,4.696353,26,25,19,2.750000,0.996267,-1.687200
50.000000,5,14.495493,4.671763,34,30,30,2.780000,0.997014,1.507993
60.000000,6,17.844472,5.523685,41,37,34,2.733333,0.997512,2.746399
70.000000,7,21.274392,6.533883,46,51,44,2.900000,0.997867,2.326130
80.000000,8,24.770337,9.071083,53,59,42,2.887500,0.998134,-1.422416
90.000000,9,28.187066,9.543428,58,66,56,2.944444,0.998341,0.086973
100.000000,10,31.671359,10.263797,71,68,63,2.950000,0.998507,1.393156
110.000000,11,35.367382,10.846466,77,79,73,3.000000,0.998643,2.827985
120.000000,12,38.990729,12.478251,84,79,80,2.958333,0.998756,2.075902
130.000000,13,42.647820,13.857102,88,93,91,3.053846,0.998851,0.330361
140.000000,14,46.240783,16.219650,99,93,89,3.007143,0.998934,-2.534022
150.000000,15,49.723471,16.565557,108,102,95,3.013333,0.999005,-0.194074
160.000000,16,53.135580,17.277598,112,104,108,2.993750,0.999067,1.410770
170.000000,17,56.602034,18.716430,122,108,114,3.005882,0.999122,0.342648
180.000000,18,60.122160,19.293092,129,118,126,3.050000,0.999171,1.278231
190.000000,19,63.712754,20.740929,139,124,130,3.057895,0.999214,0.289176
200.000000,20,67.219092,21.956537,144,130,139,3.060000,0.999253,0.032090
210.000000,21,70.679292,24.100093,154,131,141,3.047619,0.999289,-2.768610
220.000000,22,74.102144,24.801697,159,144,150,3.077273,0.999321,-2.219442
230.000000,23,77.648565,25.776461,165,153,161,3.104348,0.999351,-2.370537
240.000000,24,81.210641,26.631280,173,165,166,3.120833,0.999378,-1.901144
250.000000,25,84.829305,27.951271,183,173,169,3.128000,0.999403,-2.602269
260.000000,26,88.393895,28.986946,186,176,177,3.096154,0.999426,-1.354151
270.000000,27,91.928931,29.573244,194,186,182,3.096296,0.999447,0.361406
280.000000,28,95.372316,31.995285,196,189,183,3.060714,0.999467,-2.556111
290.000000,29,98.733571,33.576232,199,195,192,3.062069,0.999485,-4.079166
300.000000,30,102.053936,34.619825,205,201,199,3.056667,0.999502,-3.767329
310.000000,31,105.300841,37.103948,208,204,201,3.035484,0.999518,-7.327595
320.000000,32,108.516795,38.950020,215,210,207,3.046875,0.999533,-10.159046
330.000000,33,111.755254,39.655914,221,221,215,3.060606,0.999548,-9.615878
340.000000,34,114.992788,40.269031,228,224,220,3.035294,0.999561,-7.235564
350.000000,35,118.209429,41.872321,236,230,227,3.048571,0.999573,-9.441332
360.000000,36,121.442305,42.873952,244,243,233,3.072222,0.999585,-10.276003
370.000000,37,124.727953,43.520766,254,246,235,3.048649,0.999596,-7.951571
380.000000,38,128.012708,43.473957,263,259,242,3.060526,0.999607,-5.040480
390.000000,39,131.317365,44.179797,266,267,250,3.051282,0.999617,-3.487657
400.000000,40,134.589754,46.152404,269,269,254,3.030000,0.999627,-5.252029
410.000000,41,137.820103,47.388976,280,273,262,3.041463,0.999636,-6.311733
420.000000,42,141.063754,47.977433,283,282,267,3.026190,0.999645,-4.125097
430.000000,43,144.265886,48.624466,287,286,275,3.009302,0.999653,-2.059833
440.000000,44,147.448907,50.986997,290,285,282,2.995455,0.999661,-5.280324
450.000000,45,150.603829,52.544535,296,288,293,3.002222,0.999668,-7.146541
460.000000,46,153.771215,53.240324,303,300,297,3.006522,0.999675,-6.296976
470.000000,47,156.944009,54.993983,306,306,302,3.000000,0.999682,-8.037940
480.000000,48,160.072683,56.564667,305,308,311,2.981250,0.999689,-8.560731
490.000000,49,163.155380,57.678830,312,311,318,2.975510,0.999695,-8.468567
500.000000,50,166.253628,58.354898,316,322,327,2.982000,0.999701,-7.760680
510.000000,51,169.368712,59.310283,325,328,329,2.974510,0.999707,-7.050305
520.000000,52,172.483579,59.929224,332,340,336,2.984615,0.999713,-6.382105
530.000000,53,175.644918,61.003291,342,343,347,2.994340,0.999718,-7.019652
540.000000,54,178.816835,61.936180,350,350,350,2.988889,0.999724,-6.303525
550.000000,55,181.987248,61.895447,360,358,357,2.989091,0.999729,-3.023870
560.000000,56,185.184426,61.802793,369,364,364,2.982143,0.999733,0.879667
570.000000,57,188.398709,62.734489,374,372,371,2.980702,0.999738,1.405908
580.000000,58,191.617856,64.822917,378,375,378,2.977586,0.999743,-1.397966
590.000000,59,194.812619,65.364945,388,382,381,2.972881,0.999747,0.490392
600.000000,60,197.996343,66.517015,394,392,384,2.971667,0.999751,0.329947
610.000000,61,201.178177,68.263728,399,396,388,2.963934,0.999755,-1.151036
620.000000,62,204.334405,70.035246,404,400,396,2.964516,0.999759,-3.286212
630.000000,63,207.513943,70.269516,412,404,412,2.973016,0.999763,-1.398443
640.000000,64,210.718489,70.676608,420,413,414,2.965625,0.999767,1.118173
650.000000,65,213.921845,72.770179,425,421,420,2.972308,0.999770,-2.373519
660.000000,66,217.104571,74.595542,432,423,422,2.962121,0.999774,-3.856467
670.000000,67,220.257751,75.304671,437,429,427,2.952239,0.999777,-2.059620
680.000000,68,223.422995,75.652155,441,442,436,2.957353,0.999780,-0.307126
690.000000,69,226.620040,75.862355,449,454,441,2.959420,0.999784,2.111447
700.000000,70,229.861734,77.403437,462,463,449,2.980000,0.999787,-0.800509
710.000000,71,233.144090,78.431577,470,470,462,2.992958,0.999790,-1.598306
720.000000,72,236.439704,78.938565,480,473,466,2.983333,0.999793,0.939652
730.000000,73,239.728140,80.844387,485,482,472,2.989041,0.999795,-1.919054
740.000000,74,242.991122,82.956779,492,481,475,2.978378,0.999798,-4.085555
750.000000,75,246.242636,83.636996,499,489,487,2.986667,0.999801,-3.553193
760.000000,76,249.503465,85.693554,512,496,487,2.993421,0.999804,-7.013424
770.000000,77,252.777092,87.182459,517,502,491,2.988312,0.999806,-7.751269
780.000000,78,256.032797,88.362821,522,512,494,2.985897,0.999809,-7.809525
790.000000,79,259.297872,88.023837,530,524,503,2.989873,0.999811,-3.882257
800.000000,80,262.624522,88.458755,538,540,513,3.006250,0.999813,-3.304609
810.000000,81,265.960447,89.025439,543,544,524,3.002469,0.999816,-1.335684
820.000000,82,269.291260,91.231248,550,542,530,2.996341,0.999818,-4.068711
830.000000,83,272.596102,92.358317,554,554,534,2.996386,0.999820,-4.145025
840.000000,84,275.927743,92.699365,565,561,542,3.000000,0.999822,-2.170354
850.000000,85,279.252897,94.567635,569,568,546,2.997647,0.999824,-4.227495
860.000000,86,282.548166,96.090834,573,573,551,2.991860,0.999826,-4.942200
870.000000,87,285.845887,96.138649,578,584,559,2.990805,0.999828,-1.686025
880.000000,88,289.150213,97.676185,581,590,564,2.985227,0.999830,-2.435399
890.000000,89,292.431947,99.787681,591,597,570,2.995506,0.999832,-6.482613
900.000000,90,295.735976,101.438477,598,601,574,2.992222,0.999834,-7.790490
910.000000,91,299.022864,102.354627,603,612,578,2.991209,0.999836,-7.141196
920.000000,92,302.318154,103.104707,613,615,589,2.994565,0.999838,-6.435614
930.000000,93,305.589909,104.578564,621,616,590,2.983871,0.999839,-6.459032
940.000000,94,308.837992,106.010802,632,617,594,2.980851,0.999841,-7.164419
950.000000,95,312.072652,107.575733,631,623,606,2.980000,0.999843,-8.503032
960.000000,96,315.301374,108.226960,638,626,613,2.973958,0.999844,-6.561096
970.000000,97,318.515110,110.634720,641,632,614,2.969072,0.999846,-9.967357
980.000000,98,321.707133,112.702274,645,632,619,2.961224,0.999848,-12.029602
990.000000,99,324.879687,113.883363,651,633,634,2.964646,0.999849,-12.744222
1000.000000,100,328.069323,115.065011,656,640,644,2.968000,0.999851,-13.443630
1010.000000,101,331.236491,116.707653,661,644,645,2.959406,0.999852,-14.148831
