timestamp,sampleIndex,averageNumberInSystem,averageWaitingTime,queueSize1,queueSize2,queueSize3,measuredArrivalRate,measuredOccupancy,littlesLawError
0.000000,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000
10.000000,1,4.010702,1.180547,7,7,5,2.900000,0.992088,0.587115
20.000000,2,6.665470,2.154758,16,10,13,2.800000,0.996044,0.632147
30.000000,3,10.080237,3.032785,24,17,17,2.700000,0.997363,1.891718
40.000000,4,13.330373,5.168615,28,24,26,2.850000,0.998022,-1.400179
50.000000,5,16.694689,4.930175,33,35,35,2.860000,0.998418,2.594387
60.000000,6,20.111630,6.156711,39,40,39,2.766667,0.998681,3.078062
70.000000,7,23.583578,7.124911,53,47,49,2.957143,0.998870,2.514199
80.000000,8,27.031769,8.829282,64,48,55,2.962500,0.999011,0.875022
90.000000,9,30.627574,10.189836,68,60,60,2.988889,0.999121,0.171285
100.000000,10,34.259653,10.155191,75,68,73,3.020000,0.999209,3.590976
110.000000,11,37.942145,12.074702,79,75,78,3.009091,0.999281,1.608268
120.000000,12,41.636189,11.840804,90,84,87,3.033333,0.999341,5.719083
130.000000,13,45.322471,14.550890,99,90,91,3.084615,0.999391,0.438573
140.000000,14,49.060396,14.515367,101,99,108,3.100000,0.999435,4.062759
150.000000,15,52.806595,16.213826,107,105,111,3.073333,0.999473,2.976104
160.000000,16,56.541587,16.052775,121,112,117,3.075000,0.999506,7.179303
170.000000,17,60.398985,16.703828,128,123,127,3.105882,0.999535,8.518861
180.000000,18,64.209316,18.488815,138,127,133,3.116667,0.999560,6.585844
190.000000,19,68.017964,19.483517,143,139,141,3.136842,0.999584,6.901247
200.000000,20,71.853795,20.511807,152,145,146,3.125000,0.999604,7.754397
210.000000,21,75.600295,22.932233,155,153,149,3.119048,0.999623,4.073569
220.000000,22,79.265436,23.524849,164,163,160,3.154545,0.999640,5.055230
230.000000,23,83.064461,24.132666,172,173,171,3.182609,0.999656,6.259627
240.000000,24,86.893440,25.647410,178,179,179,3.183333,0.999670,5.249185
250.000000,25,90.704649,27.254149,185,183,188,3.188000,0.999684,3.818422
260.000000,26,94.467452,27.851225,193,190,192,3.165385,0.999696,6.307613
270.000000,27,98.158670,28.794349,198,195,202,3.155556,0.999707,7.296501
280.000000,28,101.847705,29.532426,203,207,206,3.146429,0.999717,8.926035
290.000000,29,105.610246,30.065894,211,217,216,3.162069,0.999727,10.539814
300.000000,30,109.359117,31.051766,218,224,223,3.156667,0.999736,11.339040
310.000000,31,113.119745,31.728389,224,235,230,3.158065,0.999745,12.919446
320.000000,32,116.893868,32.913700,232,246,237,3.175000,0.999753,12.392871
330.000000,33,120.683849,34.161536,242,253,244,3.184848,0.999760,11.884532
340.000000,34,124.448265,35.255726,245,257,249,3.150000,0.999767,13.392727
350.000000,35,128.160872,37.142984,251,265,256,3.160000,0.999774,10.789042
360.000000,36,131.915825,38.404388,263,274,263,3.183333,0.999780,9.661857
370.000000,37,135.576038,40.402130,264,277,264,3.143243,0.999786,8.582316
380.000000,38,139.168017,41.746349,275,280,269,3.139474,0.999792,8.106452
