timestamp,sampleIndex,averageNumberInSystem,averageWaitingTime,queueSize1,queueSize2,queueSize3,measuredArrivalRate,measuredOccupancy,littlesLawError
0.000000,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000
10.000000,1,2.735587,0.682416,6,6,5,2.800000,0.996217,0.824823
20.000000,2,5.392478,1.982971,8,13,12,2.650000,0.998109,0.137605
30.000000,3,7.705403,4.163511,15,17,10,2.433333,0.998739,-2.425808
40.000000,4,10.576386,3.966723,24,27,23,2.800000,0.999054,-0.530439
50.000000,5,13.955568,4.625555,26,36,31,2.760000,0.999243,1.189037
60.000000,6,17.004935,5.762875,33,37,38,2.700000,0.999370,1.445173
70.000000,7,20.152249,8.484692,35,46,42,2.771429,0.999460,-3.362468
80.000000,8,22.964197,9.934532,41,43,56,2.800000,0.999527,-4.852493
90.000000,9,26.054690,10.764242,44,58,60,2.844444,0.999580,-4.563599
100.000000,10,29.283602,10.517014,58,66,66,2.890000,0.999622,-1.110569
110.000000,11,32.634104,12.253051,64,73,69,2.890909,0.999656,-2.788352
120.000000,12,36.037322,12.691038,73,81,75,2.900000,0.999685,-0.766689
130.000000,13,39.622767,13.028380,82,94,90,3.030769,0.999709,0.136752
140.000000,14,43.129200,16.777909,88,89,86,2.942857,0.999730,-6.245789
150.000000,15,46.418348,17.013501,96,96,95,2.953333,0.999748,-3.828192
160.000000,16,49.661274,17.664784,102,109,95,2.937500,0.999764,-2.229029
170.000000,17,52.978377,18.986338,112,113,101,2.952941,0.999777,-3.087162
180.000000,18,56.365500,19.473952,118,125,112,3.000000,0.999790,-2.056355
190.000000,19,59.837328,20.856982,129,129,117,3.010526,0.999801,-2.953166
200.000000,20,63.294280,21.301575,136,140,125,3.030000,0.999811,-1.249492
210.000000,21,66.867492,21.280920,149,147,136,3.061905,0.999820,1.707341
220.000000,22,70.435230,23.596794,155,156,136,3.063636,0.999828,-1.856764
230.000000,23,74.019485,24.995643,160,164,145,3.082609,0.999836,-3.032301
240.000000,24,77.527413,26.993510,169,165,150,3.079167,0.999842,-5.590104
250.000000,25,81.009401,28.196515,178,169,158,3.088000,0.999849,-6.061437
260.000000,26,84.491409,28.437914,181,176,168,3.069231,0.999855,-2.791112
270.000000,27,87.925774,30.213207,184,182,172,3.051852,0.999860,-4.280457
280.000000,28,91.297725,30.607441,189,193,178,3.046429,0.999865,-1.945657
290.000000,29,94.673798,32.189832,192,202,184,3.048276,0.999870,-3.449690
300.000000,30,98.018162,33.210884,198,207,192,3.043333,0.999874,-3.053629
310.000000,31,101.419073,33.759903,205,220,196,3.048387,0.999878,-1.494181
320.000000,32,104.866055,34.698599,214,230,204,3.071875,0.999882,-1.723702
330.000000,33,108.341279,35.752986,219,236,216,3.081818,0.999885,-1.842923
340.000000,34,111.802618,36.446880,226,241,219,3.055882,0.999889,0.425241
350.000000,35,115.244695,37.680000,238,250,223,3.074286,0.999892,-0.594390
360.000000,36,118.745390,39.321816,246,257,231,3.091667,0.999895,-2.824557
370.000000,37,122.217101,39.783046,257,261,233,3.070270,0.999898,0.072396
380.000000,38,125.654804,42.092356,259,265,238,3.057895,0.999900,-3.059190
390.000000,39,128.976797,43.300536,259,271,247,3.043590,0.999903,-2.812270
400.000000,40,132.294879,43.800823,263,282,253,3.037500,0.999905,-0.750119
410.000000,41,135.682233,44.133910,276,292,261,3.058537,0.999908,0.697054
420.000000,42,139.054968,45.788157,278,296,264,3.033333,0.999910,0.164224
430.000000,43,142.386803,46.212090,282,301,273,3.018605,0.999912,2.890775
440.000000,44,145.759040,45.855533,289,314,284,3.029545,0.999914,6.837619
450.000000,45,149.198401,46.246085,299,321,297,3.046667,0.999916,8.301995
460.000000,46,152.653759,48.540856,303,322,303,3.036957,0.999918,5.237290
470.000000,47,156.056077,49.615823,308,330,310,3.036170,0.999920,5.413994
480.000000,48,159.435865,50.095700,306,341,320,3.025000,0.999921,7.896371
490.000000,49,162.860133,50.324541,312,349,332,3.028571,0.999923,10.448666
500.000000,50,166.262305,52.455591,314,355,338,3.024000,0.999924,7.636597
510.000000,51,169.647320,53.542264,321,363,340,3.015686,0.999926,8.180649
520.000000,52,172.996488,55.747489,330,364,344,3.013462,0.999927,5.003575
530.000000,53,176.379046,55.860125,344,370,356,3.030189,0.999929,7.112328
540.000000,54,179.773386,57.114771,352,374,360,3.022222,0.999930,7.159856
550.000000,55,183.140173,58.216442,359,378,366,3.014545,0.999931,7.644061
560.000000,56,186.465539,59.231784,366,381,370,3.000000,0.999932,8.770188
570.000000,57,189.778166,60.734641,368,387,378,2.994737,0.999934,7.893898
580.000000,58,193.096133,61.090802,374,397,389,3.001724,0.999935,9.718398
590.000000,59,196.435143,62.435181,384,402,389,2.993220,0.999936,9.552891
600.000000,60,199.732926,64.407952,389,407,392,2.986667,0.999937,7.367843
610.000000,61,203.008692,65.188612,394,418,397,2.985246,0.999938,8.404655
620.000000,62,206.289218,65.733403,400,428,408,2.993548,0.999939,9.513096
630.000000,63,209.646020,66.109836,409,435,420,3.001587,0.999940,11.211577
640.000000,64,212.973986,67.870686,414,438,421,2.985937,0.999941,10.316360
650.000000,65,216.272150,69.533277,419,450,427,2.995385,0.999942,7.993244
660.000000,66,219.603847,69.855162,428,460,431,2.993939,0.999943,10.461727
670.000000,67,222.917960,70.875937,433,464,436,2.982090,0.999944,11.559569
680.000000,68,226.183919,73.331847,436,463,444,2.975000,0.999944,8.021675
690.000000,69,229.407216,75.637905,443,463,446,2.965217,0.999945,5.124386
700.000000,70,232.654075,77.176720,456,472,454,2.985714,0.999946,2.226439
710.000000,71,235.942699,78.199755,463,479,468,2.998592,0.999947,1.453575
